dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed5p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed5p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed7p5,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed7p5,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
