denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,28.506581743860522,2.070809915295009,0.050000000000000044,20
restormer,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,28.077201293273014,1.6414294647075,0.0,20
restormer,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,27.365595202289324,0.9298233737238071,0.09999999999999998,20
restormer,blur,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,30.107897576610373,3.6721257480448566,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,30.148788168024076,3.7130163394585622,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,30.1587840569062,3.723012228340681,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,13.538405018393002,0.9565662415622576,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,13.534547520230891,0.9527087434001456,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,13.553761297573274,0.9719225207425289,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,12.816445527326096,0.23460675049534957,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,12.712478019567184,0.1306392427364406,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,12.649565239552114,0.067726462721369,0.0,20
tv,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,fixed3p0,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,pnp_hqs,fixed5p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,pnp_hqs,linear15p0_to_3p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,pnp_hqs,linear15p0_to_3p0,0.8,0.5,0.0,0.15,26.510340424968394,0.07456859640288052,0.5,20
tv,blur,red_gd,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,30.05740822465328,3.621636396087761,0.0,20
tv,blur,red_gd,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,30.176620960123216,3.7408491315577024,0.0,20
tv,blur,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,30.187896819000713,3.7521249904351963,0.0,20
tv,blur,red_gd,fixed4p1,0.8,3.846153846153847,1.4142135623730951,0.02,30.05740822465328,3.621636396087761,0.0,20
tv,blur,red_gd,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,30.176620960123216,3.7408491315577024,0.0,20
tv,blur,red_gd,fixed4p1,0.8,3.960396039603961,1.4142135623730951,0.005,30.187896819000713,3.7521249904351963,0.0,20
tv,blur,red_gd,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,30.05740822465328,3.621636396087761,0.0,20
tv,blur,red_gd,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,30.176620960123216,3.7408491315577024,0.0,20
tv,blur,red_gd,fixed5p0,0.8,3.960396039603961,1.4142135623730951,0.005,30.187896819000713,3.7521249904351963,0.0,20
tv,inpaint,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,fixed3p0,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,pnp_hqs,fixed5p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,pnp_hqs,linear15p0_to_3p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,pnp_hqs,linear15p0_to_3p0,0.8,0.5,0.0,0.15,26.097832574950935,13.515993798120189,0.0,20
tv,inpaint,red_gd,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,16.463450830987227,3.8816120541564842,0.0,20
tv,inpaint,red_gd,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,14.546440729722088,1.9646019528913432,0.0,20
tv,inpaint,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,13.565567673005201,0.9837288961744595,0.0,20
tv,inpaint,red_gd,fixed4p1,0.8,3.846153846153847,1.4142135623730951,0.02,16.463450830987227,3.8816120541564842,0.0,20
tv,inpaint,red_gd,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,14.546440729722088,1.9646019528913432,0.0,20
tv,inpaint,red_gd,fixed4p1,0.8,3.960396039603961,1.4142135623730951,0.005,13.565567673005201,0.9837288961744595,0.0,20
tv,inpaint,red_gd,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,16.463450830987227,3.8816120541564842,0.0,20
tv,inpaint,red_gd,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,14.546440729722088,1.9646019528913432,0.0,20
tv,inpaint,red_gd,fixed5p0,0.8,3.960396039603961,1.4142135623730951,0.005,13.565567673005201,0.9837288961744595,0.0,20
wavelet,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,26.541705621659254,0.10593379309373603,0.6,20
wavelet,blur,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,26.100801179638644,-0.3349706489268707,0.8,20
wavelet,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,25.93351356400575,-0.5022582645597666,0.9,20
wavelet,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,25.697666392249328,-0.7381054363161862,0.9,20
wavelet,blur,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,28.41303540848326,1.977263579917746,0.0,20
wavelet,blur,pnp_hqs,fixed3p0,0.8,0.5,0.0,0.15,28.26052866769006,1.8247568391245488,0.0,20
wavelet,blur,pnp_hqs,fixed5p0,0.4,0.5,0.0,0.15,27.965948170516207,1.5301763419506906,0.09999999999999998,20
wavelet,blur,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,27.578852546319023,1.1430807177535072,0.09999999999999998,20
wavelet,blur,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,27.043725603712137,0.6079537751466206,0.35,20
wavelet,blur,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,26.62326289392205,0.18749106535653354,0.6,20
wavelet,blur,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,27.008474387930317,0.5727025593648003,0.5,20
wavelet,blur,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,26.625510165945247,0.18973833737973167,0.6,20
wavelet,blur,pnp_hqs,linear15p0_to_3p0,0.4,0.5,0.0,0.15,26.36195173581394,-0.07382009275157644,0.6,20
wavelet,blur,pnp_hqs,linear15p0_to_3p0,0.8,0.5,0.0,0.15,26.058953378981606,-0.37681844958390515,0.9,20
wavelet,blur,red_gd,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,29.768063874854004,3.332292046288488,0.0,20
wavelet,blur,red_gd,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,30.029369095238827,3.593597266673311,0.0,20
wavelet,blur,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,30.12710877120341,3.6913369426378937,0.0,20
wavelet,blur,red_gd,fixed4p1,0.8,3.846153846153847,1.4142135623730951,0.02,29.622991093849674,3.1872192652841598,0.0,20
wavelet,blur,red_gd,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,29.959685343340176,3.523913514774658,0.0,20
wavelet,blur,red_gd,fixed4p1,0.8,3.960396039603961,1.4142135623730951,0.005,30.096742136564927,3.6609703079994134,0.0,20
wavelet,blur,red_gd,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,29.530767801886576,3.0949959733210592,0.0,20
