dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.00794344616959185,20.99991043197833,0.004694344040099632,23.284250849032716,2.2843404170543877,True,20,20
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.00794344616959185,20.99991043197833,0.005068747711537434,22.950993245220836,1.9510828132425075,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0024424596525012476,26.12172601750764,0.0014791235939268024,28.299955353217115,2.1782293357094744,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0024424596525012476,26.12172601750764,0.0013549829647639588,28.680661648305477,2.558935630797837,True,20,320
val_images,test002.png,1,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.0038857217897405277,24.105282972786505,0.0015868136549243037,27.994740709702842,3.889457736916338,True,20,20
val_images,test002.png,1,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.0038857217897405277,24.105282972786505,0.0019256358566679486,27.15425835794906,3.0489753851625565,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0012647587002074636,28.97992324420603,0.0010549453720515097,29.76770028736752,0.7877770431614906,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0012647587002074636,28.97992324420603,0.0005658343907348413,32.473106601797106,3.493183357591075,True,20,320
val_images,test003.png,2,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.004781530374084769,23.204330810766116,0.0031647968383032455,24.996541639517655,1.7922108287515393,True,20,20
val_images,test003.png,2,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.004781530374084769,23.204330810766116,0.0027121325732690363,25.666890852946615,2.462560042180499,True,20,320
val_images,test003.png,2,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0013798994979516452,28.601525433628705,0.0014054296390103383,28.5219089189535,-0.07961651467520525,False,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0013798994979516452,28.601525433628705,0.0007567251819353765,31.210618135498006,2.609092701869301,True,20,320
val_images,test004.png,3,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.0020246732357020033,26.93645058070325,0.0019056888549463936,27.199480059068154,0.26302947836490276,True,20,20
val_images,test004.png,3,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.0020246732357020033,26.93645058070325,0.0011549951925164121,29.374198234497065,2.4377476537938136,True,20,320
val_images,test004.png,3,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0006392373163385837,31.94337880429217,0.00039992030724736796,33.98026542599272,2.0368866217005497,True,20,20
val_images,test004.png,3,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0006392373163385837,31.94337880429217,0.00034651002472709864,34.60284196490316,2.6594631606109935,True,20,320
val_images,test005.png,4,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.004926484373608534,23.07462890417408,0.002623455667170529,25.811262703891735,2.736633799717655,True,20,20
val_images,test005.png,4,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.004926484373608534,23.07462890417408,0.0030964742739051842,25.09132523840243,2.0166963342283495,True,20,320
val_images,test005.png,4,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0017113705028505553,27.66655957773648,0.001001373175499842,29.994040465384995,2.327480887648516,True,20,20
val_images,test005.png,4,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0017113705028505553,27.66655957773648,0.0008610963596310655,30.649482467873792,2.9829228901373135,True,20,320
val_images,test006.png,5,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.0017023417058098717,27.689532609067587,0.0009447035604593012,30.247044478438426,2.5575118693708383,True,20,20
val_images,test006.png,5,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.0017023417058098717,27.689532609067587,0.0010151935704161262,29.934511414468815,2.244978805401228,True,20,320
val_images,test006.png,5,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0007966287913185002,30.98744001611358,0.0003805346869576532,34.196057497535925,3.208617481422344,True,20,20
val_images,test006.png,5,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0007966287913185002,30.98744001611358,0.0003138020403369303,35.03344236962628,4.046002353512698,True,20,320
val_images,test007.png,6,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.005343052151312775,22.72210586828356,0.0030906927719865805,25.099441635107237,2.377335766823677,True,20,20
val_images,test007.png,6,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.005343052151312775,22.72210586828356,0.0022823573318471466,26.416163603119635,3.6940577348360755,True,20,320
val_images,test007.png,6,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0014893783445953921,28.269949650428686,0.0007217973271634977,31.415847304786357,3.1458976543576718,True,20,20
val_images,test007.png,6,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0014893783445953921,28.269949650428686,0.0006228123794805944,32.05642763659026,3.7864779861615716,True,20,320
val_images,test008.png,7,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.008423827960554011,20.744905113079707,0.005367386599817602,22.702371224098723,1.9574661110190164,True,20,20
val_images,test008.png,7,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.008423827960554011,20.744905113079707,0.00530468207960724,22.753406391348587,2.0085012782688807,True,20,320
val_images,test008.png,7,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.002220046394786221,26.536379495182327,0.001538881304685862,28.127948764049776,1.591569268867449,True,20,20
val_images,test008.png,7,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.002220046394786221,26.536379495182327,0.0014265612310337692,28.457095827665402,1.9207163324830745,True,20,320
val_images,test009.png,8,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.004286913605213656,23.678552688003197,0.0019122500917482116,27.184553095685718,3.506000407682521,True,20,20
val_images,test009.png,8,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.004286913605213656,23.678552688003197,0.001984957948377925,27.022486893950077,3.34393420594688,True,20,320
val_images,test009.png,8,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0011437163597809398,29.416816666753224,0.0007158255857731382,31.45192782669257,2.0351111599393477,True,20,20
val_images,test009.png,8,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0011437163597809398,29.416816666753224,0.0005468555771577411,32.621273543339775,3.2044568765865513,True,20,320
val_images,test010.png,9,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.0025351892830878485,25.95989609690921,0.0022264767271863322,26.523818400824453,0.5639223039152448,True,20,20
val_images,test010.png,9,upright,0.0,321,481,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,True,16,20,0.0025351892830878485,25.95989609690921,0.00149475325350695,28.25430492613564,2.2944088292264304,True,20,320
val_images,test010.png,9,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0007805232442487697,31.07614158970992,0.0004642502819978082,33.33247823786233,2.2563366481524127,True,20,20
val_images,test010.png,9,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,False,16,20,0.0007805232442487697,31.07614158970992,0.0004354365530456291,33.610751165910095,2.5346095762001752,True,20,320
