dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.00794344616959185,20.99991043197833,0.004243793089257985,23.722457987537517,2.7225475555591885,True,20,20
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.00794344616959185,20.99991043197833,0.004247566474967129,23.718598156406706,2.718687724428378,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.0024424596525012476,26.12172601750764,0.0012028981901729381,29.197711285347832,3.075985267840192,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.0024424596525012476,26.12172601750764,0.0012051285267137323,29.189666332003725,3.0679403144960844,True,20,320
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.0038857217897405277,24.105282972786505,0.0014951359052114536,28.253193289443832,4.1479103166573275,True,20,20
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.0038857217897405277,24.105282972786505,0.0014883287459457476,28.27301130093206,4.167728328145554,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.0012647587002074636,28.97992324420603,0.0004419184853979373,33.546578315709716,4.5666550715036855,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.0012647587002074636,28.97992324420603,0.0004423321345189933,33.54251508884221,4.562591844636177,True,20,320
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.004781530374084769,23.204330810766116,0.0024100441073234224,26.179750091297436,2.9754192805313195,True,20,20
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.004781530374084769,23.204330810766116,0.002408854245727238,26.181894773745967,2.9775639629798505,True,20,320
