dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,iteration,se,psnr,effective_denoiser_sigma,sampled_angles
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,1,0.09646156248178338,10.156457076668753,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,2,0.09492775491929634,10.226067902494014,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,3,0.09390711832543137,10.273014861973223,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,4,0.09315416480452356,10.307977235783808,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,5,0.09257170743748057,10.335217258587313,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,6,0.09209824616479481,10.357486400333805,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,7,0.09169056079654386,10.376753710363698,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,8,0.09132238904258316,10.39422735657061,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,9,0.09098967644048915,10.410078793191628,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,10,0.09068973477414632,10.424418682127106,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,11,0.09041891439485207,10.4374071158126,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,12,0.0901642992148233,10.449653884353369,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,13,0.0899377363606113,10.460580473714465,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,14,0.08974498810252474,10.469897956766019,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,15,0.08958460596646847,10.477666121927754,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,16,0.08944466692331857,10.484455488341336,15.0,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,17,0.0893175933662366,10.490629873677783,15.0,none
