dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,0.08901333790368024,10.505449130858498,0.46896778869025546,True,20,20
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,True,16,20,0.09916350431248057,10.036481342168242,0.021755748835553333,16.6242596364446,6.587778294276356,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,False,0,20,0.026605105858338012,15.750350087332222,0.020980408629061743,16.781860574380552,1.0315104870483296,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,False,16,20,0.026605105858338012,15.750350087332222,0.006324005883160744,21.99007734719737,6.239727259865148,True,20,320
val_images,test002.png,1,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.22027214722312177,6.570404146605951,0.19421767476926813,7.1171124968305,0.5467083502245487,True,20,20
val_images,test002.png,1,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,True,16,20,0.22027214722312177,6.570404146605951,0.052402966751335815,12.806441250914348,6.236037104308397,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,False,0,20,0.05899401657628053,12.291920341151219,0.047962705345737815,13.190963284174499,0.8990429430232805,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,False,16,20,0.05899401657628053,12.291920341151219,0.014900893315975381,18.267876946367725,5.975956605216506,True,20,320
val_images,test003.png,2,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.12216364824790643,9.130580061556628,0.11150258954362342,9.52715046414502,0.3965704025883916,True,20,20
val_images,test003.png,2,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,True,16,20,0.12216364824790643,9.130580061556628,0.02332759315637528,16.321300675854552,7.190720614297923,True,20,320
val_images,test003.png,2,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,False,0,20,0.0324603939961989,14.886462131192564,0.02559959074048728,15.917669776791188,1.0312076455986237,True,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,False,16,20,0.0324603939961989,14.886462131192564,0.006209991968514867,22.0690896150328,7.182627483840237,True,20,320
val_images,test004.png,3,upright,0.0,321,481,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.07235630431271495,11.405236233708631,0.06289164709506415,12.014070312067284,0.6088340783586528,True,20,20
