dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,0.09524747553103464,10.21146526176967,0.17498391960142712,True,20,20
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09916350431248057,10.036481342168242,0.07964995858755634,10.98814445665743,0.9516631144891878,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,False,0,20,0.026605105858338012,15.750350087332222,0.025181626559326764,15.989162208951482,0.2388121216192598,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,False,16,20,0.026605105858338012,15.750350087332222,0.0216244225357482,16.65055481222066,0.900204724888436,True,20,320
val_images,test002.png,1,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.22027214722312177,6.570404146605951,0.21347337475712436,6.706562841852524,0.13615869524657231,True,20,20
val_images,test002.png,1,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.22027214722312177,6.570404146605951,0.17449626072700777,7.5821387508317635,1.0117346042258122,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,False,0,20,0.05899401657628053,12.291920341151219,0.05569356575049959,12.541949757501929,0.25002941635070997,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,False,16,20,0.05899401657628053,12.291920341151219,0.0470652351177013,13.27299767421822,0.9810773330670006,True,20,320
val_images,test003.png,2,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.12216364824790643,9.130580061556628,0.11702149809991516,9.317343463862823,0.1867634023061946,True,20,20
val_images,test003.png,2,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.12216364824790643,9.130580061556628,0.09817128218486279,10.080155367819847,0.9495753062632186,True,20,320
val_images,test003.png,2,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,False,0,20,0.0324603939961989,14.886462131192564,0.030876707431639932,15.103690172906123,0.21722804171355925,True,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,False,16,20,0.0324603939961989,14.886462131192564,0.026716830783925356,15.732150602191089,0.8456884709985246,True,20,320
val_images,test004.png,3,upright,0.0,321,481,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.07235630431271495,11.405236233708631,0.0667866704939573,11.753102068144162,0.347865834435531,True,20,20
val_images,test004.png,3,upright,0.0,321,481,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.07235630431271495,11.405236233708631,0.05751562945269137,12.40214122915414,0.996904995445508,True,20,320
val_images,test004.png,3,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,False,0,20,0.019284805722595406,17.14784731909672,0.018484860521604703,17.33183822068205,0.18399090158533227,True,20,20
val_images,test004.png,3,rot45_padded,45.0,1000,1000,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,False,16,20,0.019284805722595406,17.14784731909672,0.016036336044894364,17.94894851591249,0.8011011968157717,True,20,320
