dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.00794344616959185,20.99991043197833,0.007127964741838146,21.47034457184286,0.47043413986452975,True,20,20
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.00794344616959185,20.99991043197833,0.007371993094282735,21.324150802782903,0.32424037080457424,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.0024424596525012476,26.12172601750764,0.0020218683973238886,26.942471158944123,0.8207451414364826,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.0024424596525012476,26.12172601750764,0.002020053710565213,26.946370830820978,0.8246448133133377,True,20,320
val_images,test002.png,1,upright,0.0,481,321,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.0038857217897405277,24.105282972786505,0.0030156435002934748,25.206200006691372,1.1009170339048673,True,20,20
val_images,test002.png,1,upright,0.0,481,321,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.0038857217897405277,24.105282972786505,0.002943544140751498,25.31129447216831,1.2060114993818054,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.0012647587002074636,28.97992324420603,0.0008211833439295211,30.855598680116977,1.8756754359109458,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.0012647587002074636,28.97992324420603,0.0008166245027117195,30.879775932682225,1.8998526884761944,True,20,320
val_images,test003.png,2,upright,0.0,481,321,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.004781530374084769,23.204330810766116,0.004168402599627957,23.800303419271277,0.5959726085051607,True,20,20
val_images,test003.png,2,upright,0.0,481,321,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.004781530374084769,23.204330810766116,0.0043248176148521136,23.640322027733802,0.43599121696768606,True,20,320
val_images,test003.png,2,rot45_padded,45.0,1000,1000,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.0013798994979516452,28.601525433628705,0.0011827863159210353,29.27093708625428,0.6694116526255733,True,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.0013798994979516452,28.601525433628705,0.0011760815542917458,29.295625614649673,0.6941001810209677,True,20,320
val_images,test004.png,3,upright,0.0,321,481,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.0020246732357020033,26.93645058070325,0.0020553248214951448,26.871195328948613,-0.06525525175463898,False,20,20
val_images,test004.png,3,upright,0.0,321,481,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.0020246732357020033,26.93645058070325,0.0022164658800127184,26.543389497859202,-0.3930610828440493,False,20,320
