dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.00794344616959185,20.99991043197833,0.004250768614751736,23.715325346638984,2.7154149146606557,True,20,20
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.00794344616959185,20.99991043197833,0.004262253227453293,23.703607517080062,2.7036970851017337,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.0024424596525012476,26.12172601750764,0.0011986777055532306,29.212975721266755,3.0912497037591145,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.0024424596525012476,26.12172601750764,0.0011973070131419687,29.217944736393548,3.0962187188859076,True,20,320
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.0038857217897405277,24.105282972786505,0.0014829370765488382,28.288772764074814,4.183489791288309,True,20,20
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.0038857217897405277,24.105282972786505,0.001473073909937409,28.317754623408703,4.212471650622199,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.0012647587002074636,28.97992324420603,0.000440219511749521,33.56330712220303,4.583383877996997,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.0012647587002074636,28.97992324420603,0.000439087523812141,33.574489027191596,4.5945657829855655,True,20,320
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.004781530374084769,23.204330810766116,0.002408108111586773,26.183240194027544,2.9789093832614277,True,20,20
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.004781530374084769,23.204330810766116,0.002413820830808455,26.17294969151264,2.968618880746522,True,20,320
