dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.09916350431248057,10.036481342168242,0.007055850972585205,21.514506005615246,11.478024663447004,True,20,20
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.09916350431248057,10.036481342168242,0.00783883186750285,21.057486504909907,11.021005162741664,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.026605105858338012,15.750350087332222,0.002158029343201019,26.659426544150897,10.909076456818674,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.026605105858338012,15.750350087332222,0.002128679814998085,26.718896579778026,10.968546492445803,True,20,320
val_images,test002.png,1,upright,0.0,481,321,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.22027214722312177,6.570404146605951,0.0030151786211241095,25.206869548768196,18.636465402162244,True,20,20
val_images,test002.png,1,upright,0.0,481,321,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.22027214722312177,6.570404146605951,0.0032994694289765827,24.815558912110216,18.245154765504264,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.05899401657628053,12.291920341151219,0.0008988735831263248,30.463013828064526,18.171093486913307,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.05899401657628053,12.291920341151219,0.0008685887867648652,30.611857815563106,18.319937474411887,True,20,320
val_images,test003.png,2,upright,0.0,481,321,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.12216364824790643,9.130580061556628,0.004157334514966305,23.811850290999885,14.681270229443257,True,20,20
val_images,test003.png,2,upright,0.0,481,321,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.12216364824790643,9.130580061556628,0.004488716108440846,23.47877860946392,14.348198547907291,True,20,320
val_images,test003.png,2,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.0324603939961989,14.886462131192564,0.0012303969333594905,29.09954759976577,14.213085468573206,True,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.0324603939961989,14.886462131192564,0.0012082576636878335,29.17840441554874,14.291942284356177,True,20,320
val_images,test004.png,3,upright,0.0,321,481,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.07235630431271495,11.405236233708631,0.0024294426067183626,26.14493356275777,14.73969732904914,True,20,20
val_images,test004.png,3,upright,0.0,321,481,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.07235630431271495,11.405236233708631,0.002841257262883559,25.464894411125613,14.059658177416981,True,20,320
val_images,test004.png,3,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.019284805722595406,17.14784731909672,0.0007965036284750347,30.988122414283286,13.840275095186566,True,20,20
val_images,test004.png,3,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.019284805722595406,17.14784731909672,0.0007849180567405543,31.051756800228496,13.903909481131777,True,20,320
val_images,test005.png,4,upright,0.0,321,481,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.2793443492917792,5.538601093269778,0.004348716439609766,23.616389098163072,18.077788004893293,True,20,20
val_images,test005.png,4,upright,0.0,321,481,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.2793443492917792,5.538601093269778,0.005579472116234675,22.534068884909573,16.995467791639797,True,20,320
val_images,test005.png,4,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.07488152912758014,11.25625295614909,0.0015920486729732934,27.98043658909538,16.72418363294629,True,20,20
val_images,test005.png,4,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.07488152912758014,11.25625295614909,0.001539086298894696,28.127370279378617,16.871117323229527,True,20,320
val_images,test006.png,5,upright,0.0,321,481,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.24827088838479025,6.0507420173041275,0.0012539471069219718,29.01720782210556,22.966465804801434,True,20,20
