dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,final_se,final_psnr,gap_psnr,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.00794344616959185,20.99991043197833,0.004241336929445422,23.724972260579204,2.725061828600875,True,20,20
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.00794344616959185,20.99991043197833,0.004240984298743216,23.72533335411501,2.72542292213668,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.0024424596525012476,26.12172601750764,0.0011969065932755307,29.219397406611392,3.097671389103752,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.0024424596525012476,26.12172601750764,0.0011931560150125543,29.23302765022873,3.1113016327210907,True,20,320
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.0038857217897405277,24.105282972786505,0.0014972683802787505,28.24700346866468,4.141720495878175,True,20,20
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.0038857217897405277,24.105282972786505,0.001491095192074158,28.2649463013998,4.159663328613295,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.0012647587002074636,28.97992324420603,0.00044324379697670334,33.53357333465655,4.553650090450521,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.0012647587002074636,28.97992324420603,0.0004392889136246109,33.57249756926827,4.592574325062241,True,20,320
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.004781530374084769,23.204330810766116,0.002419553908127214,26.162646972828362,2.9583161620622462,True,20,20
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.004781530374084769,23.204330810766116,0.0024162600470806336,26.16856327114407,2.9642324603779535,True,20,320
