dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,22.57521462996535,15.447961538512782,0.0083520126314096,0.0345461151806099,0.0,7.1272530914525705,10,20.78208857523401,14.616007833254908
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,16.72118234171399,15.447961538512782,0.027985588250829,0.0345461151806099,0.0,1.2732208032012062,10,15.530655598880712,14.616007833254908
val_images,upright,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,17.441852551848527,9.715716015148704,0.0277258428458501,0.129267911918437,0.0,7.726136536699821,10,15.571152427355909,8.885092663511303
val_images,upright,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,10.386340253432556,9.715716015148704,0.1125534801918362,0.129267911918437,0.0,0.6706242382838518,10,9.48641071922961,8.885092663511303
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,16.325329317564865,15.447961538512782,0.0281321869521836,0.0345461151806099,0.0,0.8773677790520822,10,15.507965051491484,14.616007833254908
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,15.666778638394836,15.447961538512782,0.0329848753411723,0.0345461151806099,0.0,0.2188170998820505,10,14.81685152897558,14.616007833254908
val_images,upright,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,10.715560017597172,9.715716015148704,0.1032376943537731,0.129267911918437,0.0,0.9998440024484684,10,9.86161703281743,8.885092663511303
val_images,upright,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.966112416257356,9.715716015148704,0.1236124084829426,0.129267911918437,0.0,0.2503964011086487,10,9.07937931632436,8.885092663511303
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,16,20,31.93957013615093,28.959984049555874,0.0007230616702847,0.0013868018804579,0.0,2.979586086595059,10,31.40824659936257,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,30.90881300818428,28.959984049555874,0.0009162081274313,0.0013868018804579,0.0999999999999999,1.948828958628405,10,30.380058600354367,28.57985578126147
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,16,20,26.461853915803875,23.911559607575157,0.0026039929791651,0.0045853180648705,0.0,2.550294308228722,10,25.843601910385416,23.3863053370668
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.10435047953677,23.911559607575157,0.0027516608806642,0.0045853180648705,0.0,2.192790871961612,10,25.604050903243312,23.3863053370668
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,32.77631104169721,28.959984049555874,0.0006107065360447,0.0013868018804579,0.0,3.816326992141339,10,32.14167431972388,28.57985578126147
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,32.760482966138014,28.959984049555874,0.0006116469301878,0.0013868018804579,0.0,3.8004989165821343,10,32.13499199617295,28.57985578126147
val_images,upright,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,27.5660869814472,23.911559607575157,0.0020977067166925,0.0045853180648705,0.0,3.654527373872047,10,26.78255231216648,23.3863053370668
val_images,upright,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,27.557085147674385,23.911559607575157,0.0020998509749764,0.0045853180648705,0.0,3.6455255400992272,10,26.778115257622485,23.3863053370668
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,29.28112718815188,15.447961538512782,0.0013130566466083,0.0345461151806099,0.0,13.833165649639096,10,28.81716537597693,14.616007833254908
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.001331359922811,0.0345461151806099,0.0,13.755238487083975,10,28.7570452051338,14.616007833254908
val_images,upright,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,23.70293157969588,9.715716015148704,0.0047024969578954,0.129267911918437,0.0,13.987215564547174,10,23.276714767280676,8.885092663511303
val_images,upright,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.279096326852148,9.715716015148704,0.0041874698284402,0.129267911918437,0.0,14.563380311703444,10,23.78048309122649,8.885092663511303
val_images,rot45_padded,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,19.375606339935008,15.447961538512782,0.015022718649602,0.0345461151806099,0.0,3.927644801422224,10,18.23251466287958,14.616007833254908
val_images,rot45_padded,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,19.301904841401477,15.447961538512782,0.0153675661382194,0.0345461151806099,0.0,3.85394330288869,10,18.13394909106604,14.616007833254908
val_images,upright,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,13.656233983022137,9.715716015148704,0.0561894845583038,0.129267911918437,0.0,3.940517967873432,10,12.503449517903306,8.885092663511303
val_images,upright,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,13.624996820572983,9.715716015148704,0.0570103932798543,0.129267911918437,0.0,3.909280805424277,10,12.440459630533764,8.885092663511303
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,29.7402310361315,28.959984049555874,0.0012032698577727,0.0013868018804579,0.0999999999999999,0.7802469865756283,10,29.196369623537414,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312,0.0013868018804579,0.1999999999999999,0.756799836278141,10,29.179247484687508,28.57985578126147
