denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,28.506581743860522,2.070809915295009,0.050000000000000044,20
restormer,blur,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,30.1587840569062,3.723012228340681,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,13.553761297573274,0.9719225207425289,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,12.816445527326096,0.23460675049534957,0.0,20
tv,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,27.09288655466745,0.657114726101935,0.19999999999999996,20
tv,blur,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,30.187896819000713,3.7521249904351963,0.0,20
tv,inpaint,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,26.741148176224453,14.159309399393711,0.0,20
tv,inpaint,red_gd,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,16.463450830987227,3.8816120541564842,0.0,20
wavelet,blur,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,28.41303540848326,1.977263579917746,0.0,20
wavelet,blur,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,30.12710877120341,3.6913369426378937,0.0,20
wavelet,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,21.743065348586246,9.161226571755503,0.0,20
wavelet,inpaint,red_gd,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,12.645423492838432,0.0635847160076883,0.0,20
