denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,26.532309417052254,4.153339832130507,0.0,20
restormer,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,26.043323602036214,3.66435401711446,0.0,20
restormer,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,25.40613847624148,3.0271688913197305,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,26.47473707766168,4.095767492739926,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,26.430055488313297,4.051085903391545,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,26.37627975449946,3.9973101695777133,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,10.159791671872476,0.6335098666491732,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,10.167744825689429,0.6414630204661249,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,10.170375135173677,0.6440933299503737,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,9.697131230412646,0.1708494251893417,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,9.624804249019773,0.09852244379647034,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,9.579846290231163,0.05356448500786119,0.0,20
wavelet,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,23.47691911291778,1.097949527996031,0.09999999999999998,20
wavelet,blur,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,22.789266501762178,0.41029691684042485,0.35,20
wavelet,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,22.160810580806416,-0.2181590041153358,0.8,20
wavelet,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,21.79082622501877,-0.5881433599029823,1.0,20
wavelet,blur,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,24.805671398689963,2.4267018137682133,0.0,20
wavelet,blur,pnp_hqs,fixed3p0,0.8,0.5,0.0,0.15,24.44114308707678,2.06217350215503,0.0,20
wavelet,blur,pnp_hqs,fixed5p0,0.4,0.5,0.0,0.15,24.37026783625814,1.991298251336388,0.0,20
wavelet,blur,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,24.2116581085457,1.8326885236239456,0.0,20
wavelet,blur,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,24.10865709946414,1.7296875145423893,0.0,20
wavelet,blur,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,23.69852461223707,1.3195550273153165,0.0,20
wavelet,blur,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,24.203840663596935,1.824871078675185,0.0,20
wavelet,blur,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,23.872146845435896,1.4931772605141445,0.0,20
