dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,0.004386364632612967,23.57895268839638,0.6672581188498244,1.793830006342553,0.1464009786969045,True,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.00729424411408686,21.370197063873547,0.5189611750151454,0.004412192152746869,23.553455821202284,0.6738750436587416,2.183258757328737,0.15491386864359624,True,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.005741449301470247,22.409784657583952,0.6100910878856994,0.003442169809673894,24.631677087948454,0.742489600331306,2.221892430364502,0.13239851244560652,True,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.006521475482670571,21.856541341014015,0.601482571662154,0.0035539133300569957,24.492931676215896,0.7320670269865114,2.636390335201881,0.13058445532435736,True,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.008431096273378007,20.741159515289933,0.6219194072034318,0.0056868374291686756,22.451291868391166,0.7444525764290659,1.7101323531012333,0.12253316922563418,True,20,20
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.008876490156402612,20.517587242021456,0.6202620123357195,0.00567814964316223,22.457931661702823,0.7464427301627041,1.9403444196813666,0.1261807178269846,True,20,20
val_images_circle,circle,test004.png,3,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.002775769756448992,25.56616560425646,0.7580479122626465,0.0017776676003117002,27.501494429418415,0.8469463914849429,1.9353288251619531,0.08889847922229643,True,20,20
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.0031912173679883287,24.96043613072945,0.7583175215280096,0.0018952652444831578,27.223300014456527,0.8362916960300681,2.262863883727075,0.07797417450205857,True,20,20
val_images_circle,circle,test005.png,4,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.007105301945321385,21.48417461663243,0.6256857136676062,0.003834251573954316,24.163193954757535,0.7603098498615438,2.679019338125105,0.13462413619393765,True,20,20
val_images_circle,circle,test005.png,4,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.007667706857919,21.153344988745356,0.6349260370689762,0.003930728053465345,24.05527001706446,0.7539751187672317,2.901925028319102,0.11904908169825545,True,20,20
val_images_circle,circle,test006.png,5,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.0029180221433120317,25.34911416801122,0.8306657140075656,0.0016127503696938318,27.92432849879752,0.8717785944530979,2.5752143307863022,0.041112880445532296,True,20,20
val_images_circle,circle,test006.png,5,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.004607568341868038,23.365282143777865,0.819511188228676,0.001724853643908775,27.63247749483101,0.8636006252859068,4.267195351053147,0.044089437057230785,True,20,20
