dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,iteration,se,psnr,ssim,effective_denoiser_sigma,sampled_angles
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,1,0.004943115765561644,23.059992184374856,0.6135086461732928,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,2,0.004428555867217247,23.537378722301415,0.6390163253937349,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,3,0.0041790558406096245,23.789218257679316,0.6580323726388271,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,4,0.003982359086324204,23.998595825361313,0.6686699646596697,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,5,0.0038643466172489246,24.129239259399874,0.6782004671351926,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,6,0.0037486018775178247,24.261306816319053,0.6847765094972309,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,7,0.0036759115506873746,24.3463494709837,0.690809485950403,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,8,0.0035964746253105994,24.441229994884452,0.695439888215151,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,9,0.0035458662705269836,24.502776474907037,0.6997232324426396,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,10,0.0034868426818802385,24.5756764652496,0.7032159294955002,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,11,0.003448970734126984,24.623104907764436,0.7064668400459873,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,12,0.0034028985925582105,24.681509928226745,0.709221525691663,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,13,0.0033731453497603285,24.719649445389905,0.7117975394662018,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,14,0.0033359453078400446,24.767810781476022,0.7140396782901894,3.25,none
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,15,0.003311741230060219,24.79943605083846,0.716143080820724,3.25,none
