dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.0676270979940847,11.698792485675089,0.2203155760535652,0.057894611797211,12.373618538136562,0.3075097429288434,0.6748260524614746,0.0871941668752781,True,20,20
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,True,16,20,0.0676270979940847,11.698792485675089,0.2203155760535652,0.0101834093316551,19.9210679900898,0.6358937688522969,8.222275504414712,0.4155781927987316,True,20,320
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,False,0,20,0.0682298898853127,11.66025329617641,0.2223639199522767,0.0590623510097146,12.286892696935892,0.295351797696982,0.6266394007594815,0.0729878777447053,True,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,False,16,20,0.0682298898853127,11.66025329617641,0.2223639199522767,0.0177989904205766,17.496046306802747,0.5533141331460257,5.835793010626336,0.3309502131937489,True,20,320
val_images_circle,circle,test002.png,1,upright,0.0,False,321,321,80892.0,0.7850467562675476,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.1575269123298657,8.026452394749866,0.1122473555597277,0.1413310436291598,8.497624340746388,0.1242907692509766,0.471171945996522,0.0120434136912488,True,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,321,321,80892.0,0.7850467562675476,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,True,16,20,0.1575269123298657,8.026452394749866,0.1122473555597277,0.0331032226755658,14.801297245902528,0.4746284011397913,6.774844851152663,0.3623810455800635,True,20,320
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,False,0,20,0.1576044110397116,8.024316316218583,0.1148417119481226,0.14327497453884,8.438296600479637,0.120452029281493,0.4139802842610542,0.0056103173333704,True,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,False,16,20,0.1576044110397116,8.024316316218583,0.1148417119481226,0.0474110571462019,13.241203609087698,0.3770887616989973,5.216887292869116,0.2622470497508747,True,20,320
val_images_circle,circle,test003.png,2,upright,0.0,False,321,321,80892.0,0.7850467562675476,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,True,0,20,0.1363525450987118,8.653367512902966,0.1153840971990431,0.1243357993914725,9.0540380909204,0.1391476492190204,0.4006705780174346,0.0237635520199772,True,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,321,321,80892.0,0.7850467562675476,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,True,16,20,0.1363525450987118,8.653367512902966,0.1153840971990431,0.0263220607801142,15.796801123834443,0.5615447332554517,7.14343361093148,0.4461606360564085,True,20,320
