denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,18.903911170242523,-1.4251903080214237,1.0,40
restormer,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,20.729954035154158,0.4008525568902125,0.22499999999999998,40
restormer,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,22.80732576946324,2.4782242911992958,0.0,40
restormer,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,23.947954327307805,3.6188528490438587,0.0,40
restormer,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,24.24759242292873,3.918490944664785,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.02,22.883310248647483,2.5542087703835366,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.05,22.678662942953743,2.3495614646897947,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.1,22.376125349850128,2.047023871586183,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.2,21.830567139538367,1.5014656612744228,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.5,20.41178976272469,0.08268828446074705,0.5,40
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.02,22.9346430323563,2.6055415540923508,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.05,22.561063598659402,2.231962120395457,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.1,22.05057909633098,1.7214776180670353,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.2,21.151701621851327,0.8226001435873813,0.050000000000000044,40
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.5,18.240092609424075,-2.089008868839869,0.975,40
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.02,22.972626561261414,2.643525082997466,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.05,22.40259781646867,2.073496338204725,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.1,21.54028423536592,1.2111827571019738,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.2,19.86969989910168,-0.45940157916226865,0.775,40
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.5,16.120736962523015,-4.208364515740933,1.0,40
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,23.04325747270213,2.7141559944381846,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.05,22.16044806616856,1.8313465879046127,0.0,40
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.1,20.840844614276747,0.5117431360128011,0.22499999999999998,40
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.2,19.321075786492635,-1.008025691771311,0.85,40
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-248.74457545337904,-269.073676931643,1.0,40
restormer,inpaint,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,27.615006651788036,18.2395936419559,0.0,40
restormer,inpaint,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,27.489804671978483,18.114391662146343,0.0,40
restormer,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,27.245212193479357,17.86979918364722,0.0,40
restormer,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,26.411184751122004,17.035771741289864,0.0,40
restormer,inpaint,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,25.50398566287471,16.128572653042575,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.02,24.630500639522744,15.255087629690607,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.05,25.314980597120368,15.939567587288229,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.1,25.37748669263597,16.002073682803832,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.2,24.382825874204062,15.007412864371924,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.5,21.792626650646607,12.41721364081447,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.02,25.128392118502926,15.75297910867079,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.05,25.406347108241707,16.030934098409567,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.1,24.287639760583488,14.91222675075135,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.2,22.44152666271961,13.066113652887472,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.5,19.30344603425347,9.928033024421328,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.02,25.473218520291624,16.097805510459487,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.05,24.44479976813853,15.069386758306393,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.1,22.675502243404246,13.300089233572109,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.2,20.60922776583207,11.233814755999932,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.5,16.8074680397825,7.43205502995036,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.02,25.0221804698072,15.646767459975061,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.05,22.84662327245691,13.471210262624771,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.1,20.682874726470292,11.307461716638153,0.0,40
