dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.012961542642311662,18.87343307016846,0.3912108747233966,-1.1077465420703305,0.03641847019019184,False,20,20
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.013123539429676683,18.819490195736925,0.38929188402393194,-1.0757566126056304,0.03257782851593405,False,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.013074476439740008,18.835756931975475,0.39707668471911434,-0.9458302921886563,0.03956155655420529,False,20,20
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.013208182552192785,18.791569372572173,0.390381776833836,-0.998030407967498,0.035530621492409986,False,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.012602639293797981,18.99538493715758,0.37591991868788016,-1.3868046173235342,0.053183807190451515,False,20,20
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.012564378448679477,19.00858990794875,0.3702056015594096,-1.4180177863435226,0.0413720336141466,False,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.013327994899520319,18.75235182137063,0.36889150721067665,-1.4183232654265616,0.041901433481276396,False,20,20
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.012365016756178458,19.078052907777415,0.3773422965520545,-1.2333420867251306,0.046287029604368535,False,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.014437437187179356,18.405098922405415,0.37140712597506553,-0.8568922572990907,0.016970423334507767,False,20,20
val_images_circle,circle,test003.png,2,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011848151683807373,19.263493944751282,0.36228590373751485,0.013877606090111069,18.57685443933143,0.38035817689533474,-0.6866395054198513,0.018072273157819896,False,20,20
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01208299376536673,19.17825448604345,0.36332763511905497,0.014185790608155514,18.481464549198694,0.37778013714348413,-0.6967899368447554,0.014452502024429159,False,20,20
val_images_circle,circle,test003.png,2,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011992978898784782,19.210729304441358,0.3588012743599807,0.014515412004688118,18.381706326657106,0.37345835528796234,-0.8290229777842519,0.014657080927981625,False,20,20
val_images_circle,circle,test004.png,3,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.006212146689050872,22.067582977127664,0.3774189756867181,0.012248870498000034,19.119039569404322,0.3006157370707239,-2.948543407723342,-0.0768032386159942,False,20,20
val_images_circle,circle,test004.png,3,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006215629698354987,22.065148669149075,0.38108111031447783,0.012129656876189799,19.161514842847094,0.30677800238886965,-2.9036338263019807,-0.07430310792560818,False,20,20
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006544050506030017,21.84153357502153,0.38244530660829307,0.01190193922636672,19.243822716582656,0.3076327256697615,-2.597710858438873,-0.07481258093853155,False,20,20
