dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,18.9512159411779,20.37095094919361,0.36865046295938614,0.3643720312963558,0.01278202495997465,0.009441415871245952,1.0,-1.4197350080157118,0.004278431663030308,10,18.934003387223186,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,20.775806042483534,20.37095094919361,0.4453036006492905,0.3643720312963558,0.008484427762936942,0.009441415871245952,0.19999999999999996,0.4048550932899236,0.08093156935293463,10,20.713774435972667,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,22.813320611411662,20.37095094919361,0.5481688632240778,0.3643720312963558,0.005433090276355985,0.009441415871245952,0.0,2.4423696622180513,0.18379683192772203,10,22.649530786589867,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,23.938835417157826,20.37095094919361,0.6278176030026207,0.3643720312963558,0.004318841763689548,0.009441415871245952,0.0,3.567884467964217,0.2634455717062648,10,23.646327076022757,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,24.2827136652937,20.37095094919361,0.6937985335724263,0.3643720312963558,0.0041836118773569035,0.009441415871245952,0.0,3.9117627161000867,0.3294265022760705,10,23.784486127021516,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.02,vanilla,0,40,adjoint,22.884997342130095,20.37095094919361,0.6249366422242757,0.3643720312963558,0.005615682522707348,0.009441415871245952,0.0,2.5140463929364847,0.26056461092791977,10,22.50597452611455,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.05,vanilla,0,40,adjoint,22.68238463484938,20.37095094919361,0.605012159709689,0.3643720312963558,0.005876437772678424,0.009441415871245952,0.0,2.311433685655771,0.24064012841333318,10,22.308858583588584,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.1,vanilla,0,40,adjoint,22.404178353336995,20.37095094919361,0.5749870421011237,0.3643720312963558,0.006255018145223207,0.009441415871245952,0.0,2.0332274041433847,0.21061501080476783,10,22.037714261210198,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.2,vanilla,0,40,adjoint,21.90329371551119,20.37095094919361,0.5340022026738034,0.3643720312963558,0.006958019582531121,0.009441415871245952,0.0,1.5323427663175804,0.16963017137744757,10,21.575143533157597,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.5,vanilla,0,40,adjoint,20.38107496483936,20.37095094919361,0.4299029289921628,0.3643720312963558,0.009608118669896186,0.009441415871245952,0.6,0.010124015645746809,0.06553089769580696,10,20.173616415998623,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,adjoint,22.931152668122003,20.37095094919361,0.6229552981219715,0.3643720312963558,0.005563518650169614,0.009441415871245952,0.0,2.560201718928394,0.2585832668256156,10,22.54650451760191,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,2.0,15.0,0.05,vanilla,0,40,adjoint,22.57766676893525,20.37095094919361,0.5878197054319744,0.3643720312963558,0.006022311520727375,0.009441415871245952,0.0,2.2067158197416363,0.22344767413561856,10,22.202367831584194,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,2.0,15.0,0.1,vanilla,0,40,adjoint,22.07088104504675,20.37095094919361,0.5448362471182135,0.3643720312963558,0.006739608283284344,0.009441415871245952,0.0,1.6999300958531385,0.1804642158218577,10,21.713653446148015,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,2.0,15.0,0.2,vanilla,0,40,adjoint,20.93094880215923,20.37095094919361,0.4780222880689403,0.3643720312963558,0.008517707035511354,0.009441415871245952,0.09999999999999998,0.559997852965618,0.11365025677258456,10,20.696773014598353,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,2.0,15.0,0.5,vanilla,0,40,adjoint,18.5885941231489,20.37095094919361,0.39711192891567565,0.3643720312963558,0.014573147855227505,0.009441415871245952,1.0,-1.7823568260447125,0.032739897619319856,10,18.364466288411613,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,0,40,adjoint,22.991959946295804,20.37095094919361,0.6195590393452705,0.3643720312963558,0.005495806491073173,0.009441415871245952,0.0,2.6210089971021935,0.25518700804891464,10,22.599685673128867,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.05,vanilla,0,40,adjoint,22.42384499843012,20.37095094919361,0.5689796254604678,0.3643720312963558,0.006230137468893317,0.009441415871245952,0.0,2.052894049236508,0.20460759416411195,10,22.055023704639236,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.1,vanilla,0,40,adjoint,21.59753022426367,20.37095094919361,0.49229435498201396,0.3643720312963558,0.007384574601921855,0.009441415871245952,0.0,1.2265792750700595,0.12792232368565812,10,21.31674517733098,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.2,vanilla,0,40,adjoint,20.09488049657938,20.37095094919361,0.44847788508934305,0.3643720312963558,0.010707960626747035,0.009441415871245952,0.7,-0.27607045261423374,0.0841058537929873,10,19.70293234386294,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.5,vanilla,0,40,adjoint,15.646674637637943,20.37095094919361,0.36278083897844143,0.3643720312963558,0.031925848767727236,0.009441415871245952,1.0,-4.724276311555668,-0.0015911923179143584,10,14.958575479332898,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,23.06578866385682,20.37095094919361,0.614627321460579,0.3643720312963558,0.005431849254837519,0.009441415871245952,0.0,2.694837714663211,0.2502552901642232,10,22.65052291139312,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.05,vanilla,0,40,adjoint,22.22509277882296,20.37095094919361,0.5464372224445585,0.3643720312963558,0.0065518054592458505,0.009441415871245952,0.0,1.8541418296293493,0.18206519114820263,10,21.836390064293166,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.1,vanilla,0,40,adjoint,20.4831223780461,20.37095094919361,0.4461285289329819,0.3643720312963558,0.009488851624199107,0.009441415871245952,0.5,0.1121714288524899,0.08175649763662603,10,20.22786344311541,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.2,vanilla,0,40,adjoint,18.53924411837857,20.37095094919361,0.38758646325220036,0.3643720312963558,0.015294441014905518,0.009441415871245952,1.0,-1.8317068308150433,0.023214431955844536,10,18.154663910937025,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.5,vanilla,0,40,adjoint,-246.9465234830762,20.37095094919361,0.0011441337260730132,0.3643720312963558,1.819035664994877e+26,0.009441415871245952,1.0,-267.31747443226976,-0.36322789757028284,10,-262.59841214158934,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,27.666325753006543,9.380701176603285,0.8269169143483609,0.11617610243302359,0.0019645547753647913,0.1306358433976958,0.0,18.28562457640326,0.7107408119153373,10,27.06735857762313,8.839376465365662
val_images_circle,circle,rot30_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,telea,27.544293683505423,9.380701176603285,0.8234393349176721,0.11617610243302359,0.002013555253985562,0.1306358433976958,0.0,18.16359250690214,0.7072632324846485,10,26.96036448414739,8.839376465365662
val_images_circle,circle,rot30_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,telea,27.276535389419905,9.380701176603285,0.8203254458270495,0.11617610243302359,0.002122321258051486,0.1306358433976958,0.0,17.895834212816624,0.704149343394026,10,26.73188875835808,8.839376465365662
val_images_circle,circle,rot30_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,telea,26.392819906264698,9.380701176603285,0.7961524528793141,0.11617610243302359,0.0024713003654268724,0.1306358433976958,0.0,17.01211872966141,0.6799763504462906,10,26.070744666093482,8.839376465365662
