dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.019805603374425933,17.032119223486998,0.30978563624956734,-2.9490603887517928,-0.04500676828363742,False,20,20
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.020242177987400488,16.93742760754138,0.305188480811783,-2.9578192008011754,-0.05152557469621488,False,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.020464454728316973,16.889998225622204,0.30916007825732195,-2.891588998541927,-0.0483550499075871,False,20,20
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.02027247676366492,16.930931886981003,0.3079724613624283,-2.8586678935586676,-0.04687869397899774,False,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.019763570213119808,17.041345990297355,0.2629151754808881,-3.3408435641837606,-0.05982093601654054,False,20,20
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.019625621505930453,17.071765810885875,0.26110257981698726,-3.3548418834063973,-0.06773098812827577,False,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.020144637964749433,16.958405332557184,0.25801281803627285,-3.2122697542400083,-0.0689772556931274,False,20,20
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.019574305679224715,17.083136338692157,0.2584248796294007,-3.2282586558103894,-0.07263038731828525,False,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.02145541929169448,16.684629938654084,0.30240774350368393,-2.577361241050422,-0.05202895913687383,False,20,20
val_images_circle,circle,test003.png,2,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011848151683807373,19.263493944751282,0.36228590373751485,0.021392238291004038,16.69743772390816,0.30120253261131574,-2.566056220843123,-0.061083371126199104,False,20,20
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01208299376536673,19.17825448604345,0.36332763511905497,0.02164982270308424,16.645456558643087,0.30042579172951156,-2.532797927400363,-0.06290184338954341,False,20,20
val_images_circle,circle,test003.png,2,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011992978898784782,19.210729304441358,0.3588012743599807,0.02213729785967477,16.548753914180686,0.2963259491739394,-2.6619753902606718,-0.06247532518604132,False,20,20
val_images_circle,circle,test004.png,3,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.006212146689050872,22.067582977127664,0.3774189756867181,0.016451426820444235,17.837964300317285,0.25505131939035997,-4.229618676810379,-0.12236765629635815,False,20,20
val_images_circle,circle,test004.png,3,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006215629698354987,22.065148669149075,0.38108111031447783,0.016727839844136297,17.765601381973678,0.25503919094423705,-4.299547287175397,-0.12604191937024078,False,20,20
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006544050506030017,21.84153357502153,0.38244530660829307,0.017044865155247443,17.684064301971077,0.2525102052091189,-4.157469273050452,-0.1299351013991742,False,20,20
val_images_circle,circle,test004.png,3,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006510249421566348,21.86402372363471,0.3830841643900811,0.01687116411667836,17.72854949894155,0.25479985490629947,-4.135474224693159,-0.1282843094837816,False,20,20
val_images_circle,circle,test005.png,4,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.010396739622254828,19.831028324378444,0.3816418612161895,0.019933806478178467,17.004097622819188,0.3097658857643525,-2.826930701559256,-0.071875975451837,False,20,20
val_images_circle,circle,test005.png,4,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010227019273782079,19.902509255817765,0.3840849912619289,0.019999808902981916,16.989741539748664,0.30325112161757073,-2.9127677160691015,-0.08083386964435818,False,20,20
val_images_circle,circle,test005.png,4,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010652665699187215,19.725417017477405,0.38680345536056476,0.02029216606529402,16.92671592198034,0.2967701807382521,-2.7987010954970657,-0.09003327462231264,False,20,20
val_images_circle,circle,test005.png,4,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010547837879084334,19.768365539601508,0.3899853138984004,0.020439636858203745,16.895268243826887,0.30347116687629794,-2.8730972957746204,-0.08651414702210247,False,20,20
val_images_circle,circle,test006.png,5,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.006302466904416151,22.004894262175107,0.3399117177455743,0.01713159773650747,17.66202131734382,0.20274715728224052,-4.342872944831285,-0.1371645604633338,False,20,20
val_images_circle,circle,test006.png,5,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006791965870917598,21.680045050534737,0.3410631010803995,0.017462395414521423,17.578961819390216,0.19792469845542424,-4.101083231144521,-0.14313840262497526,False,20,20
val_images_circle,circle,test006.png,5,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.0076108176955196755,21.185686807360558,0.3404237450857369,0.017510128906684633,17.567106567003492,0.19938451462379617,-3.6185802403570655,-0.14103923046194075,False,20,20
val_images_circle,circle,test006.png,5,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.00733846275112297,21.34394905836729,0.3410336941103392,0.017408684839176226,17.592340369620945,0.1989683682405496,-3.7516086887463445,-0.1420653258697896,False,20,20
val_images_circle,circle,test007.png,6,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.0104642576700454,19.802915748969966,0.39785582648005985,0.019961416111238597,16.998086520526034,0.3492016409610963,-2.804829228443932,-0.048654185518963555,False,20,20
val_images_circle,circle,test007.png,6,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010846670669845388,19.647035458338095,0.39130498185942447,0.019880424571942678,17.015743449244738,0.35021098655990407,-2.6312920090933574,-0.0410939952995204,False,20,20
val_images_circle,circle,test007.png,6,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010840988286513902,19.649311248257476,0.39202249357127844,0.01967058343642211,17.061827585625693,0.3545969946885779,-2.587483662631783,-0.037425498882700525,False,20,20
val_images_circle,circle,test007.png,6,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010635563089877745,19.732395118399587,0.39918358718292624,0.019735758817648587,17.04746170814853,0.3552991649772547,-2.684933410251059,-0.043884422205671514,False,20,20
val_images_circle,circle,test008.png,7,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.013035972152685062,18.848565759414846,0.32023477773605546,0.02295477659207261,16.391269296591116,0.317412317503585,-2.457296462823731,-0.0028224602324704584,False,20,20
val_images_circle,circle,test008.png,7,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012906801851489876,18.891813572933817,0.32717398148548754,0.02229853370521642,16.517236941119375,0.3258736284473274,-2.374576631814442,-0.001300353038160118,False,20,20
val_images_circle,circle,test008.png,7,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012847555173420946,18.911795085748142,0.33161129685548973,0.022734147300014218,16.433213304337308,0.31998736953249596,-2.478581781410835,-0.011623927322993777,False,20,20
val_images_circle,circle,test008.png,7,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012844455393054817,18.912843051621554,0.3321539480474931,0.022668640824812878,16.44574518690401,0.3200221242783945,-2.4670978647175446,-0.012131823769098604,False,20,20
val_images_circle,circle,test009.png,8,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.00960366815403756,20.175628550040408,0.4041558932357341,0.018715529910347285,17.27797871788584,0.3230519261020867,-2.897649832154567,-0.08110396713364737,False,20,20
val_images_circle,circle,test009.png,8,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009605904923209662,20.174617162115002,0.4048918470551696,0.019122605082354967,17.184529438682652,0.3228797188288049,-2.9900877234323495,-0.08201212822636472,False,20,20
val_images_circle,circle,test009.png,8,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009533169694392331,20.207626762863235,0.409983313913237,0.019477240674103998,17.104725692690963,0.3186171371790275,-3.1029010701722726,-0.09136617673420949,False,20,20
val_images_circle,circle,test009.png,8,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009318901013724411,20.30635301360323,0.41521627691727653,0.018854906287374375,17.245756217827488,0.3232096418549743,-3.0605967957757407,-0.09200663506230222,False,20,20
val_images_circle,circle,test010.png,9,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.006516843723247509,21.85962693450469,0.36749491219774516,0.016935721152508902,17.711963056100217,0.2568022795826534,-4.147663878404472,-0.11069263261509177,False,20,20
val_images_circle,circle,test010.png,9,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.0066634756100328665,21.762991875661513,0.3662867727158945,0.016854263559172425,17.732902190655864,0.26170136656942244,-4.030089685005649,-0.10458540614647205,False,20,20
val_images_circle,circle,test010.png,9,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006854818428699142,21.64004044369493,0.36428817652249434,0.016995813374773603,17.696580463958323,0.25522290162510664,-3.9434599797366054,-0.10906527489738771,False,20,20
val_images_circle,circle,test010.png,9,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006749373448045948,21.707365413446684,0.3697934935364542,0.017268618450889103,17.62742406101082,0.25596075420138203,-4.079941352435863,-0.11383273933507215,False,20,20
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.010880886067128857,19.633357371382175,0.4148149017362656,-0.3478222408566154,0.060022497203060854,False,20,20
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.011202375345592257,19.50689879998952,0.41026721423185325,-0.3883480083530344,0.053553158723855354,False,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.011370576378446939,19.442175202168798,0.4123172025479991,-0.33941202199533294,0.05480207438309004,False,20,20
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.011151415637776822,19.526699967728177,0.4137248751483386,-0.26289981281149366,0.05887371980691258,False,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.01064735785711002,19.727581490738725,0.3640030602145453,-0.6546080637423906,0.04126694871711667,False,20,20
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.01071022356612773,19.702014635731643,0.3585589927963064,-0.7245930585606288,0.029725424851043347,False,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.010897585798223912,19.62669703035351,0.3573992498794615,-0.5439780564436809,0.030409176150061223,False,20,20
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.010571467725536491,19.75864711760704,0.35900207712680476,-0.5527478768955056,0.02794681017911882,False,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.012566428813359943,19.007881246217902,0.402830316965831,-0.25410993348660327,0.048393614325273226,False,20,20
val_images_circle,circle,test003.png,2,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011848151683807373,19.263493944751282,0.36228590373751485,0.012540510938137392,19.01684768681282,0.4024635508090635,-0.24664625793846184,0.04017764707154864,False,20,20
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01208299376536673,19.17825448604345,0.36332763511905497,0.01288276808280765,18.899908113607623,0.39847883853400423,-0.27834637243582705,0.03515120341494926,False,20,20
val_images_circle,circle,test003.png,2,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011992978898784782,19.210729304441358,0.3588012743599807,0.013102665732178507,18.826403383137574,0.39513452747200106,-0.38432592130378396,0.03633325311202035,False,20,20
val_images_circle,circle,test004.png,3,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.006212146689050872,22.067582977127664,0.3774189756867181,0.007554092788262436,21.218176849595302,0.39387303731364043,-0.8494061275323617,0.01645406162692231,False,20,20
val_images_circle,circle,test004.png,3,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.006215629698354987,22.065148669149075,0.38108111031447783,0.0077326139317283145,21.116736724167456,0.38900771322129646,-0.9484119449816184,0.007926602906818625,False,20,20
