dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,17.14913479031506,20.37095094919361,0.2884374304662777,0.3643720312963558,0.019360590886466113,0.009441415871245952,1.0,-3.221816158878551,-0.07593460083007812,10,17.130813921301243,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,19.881898424311665,20.37095094919361,0.3995127786563922,0.3643720312963558,0.01044461576244499,0.009441415871245952,1.0,-0.48905252488194473,0.03514074736003634,10,19.811075322580432,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,22.0211394427189,20.37095094919361,0.5399690459046183,0.3643720312963558,0.006543031900743896,0.009441415871245952,0.0,1.65018849352529,0.17559701460826244,10,21.842209622809943,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.624385361927743,20.37095094919361,0.556643720216389,0.3643720312963558,0.007272314044493663,0.009441415871245952,0.0,1.253434412734133,0.19227168892003313,10,21.383273749943164,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed10p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.665916205026356,20.37095094919361,0.5631361901005612,0.3643720312963558,0.007217434048652649,0.009441415871245952,0.0,1.2949652558327458,0.1987641588042054,10,21.416171759179164,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,18.564169188191975,20.37095094919361,0.3437805151637596,0.3643720312963558,0.014077692469464073,0.009441415871245952,1.0,-1.806781761001637,-0.02059151613259617,10,18.514685262952632,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.55885150461099,20.37095094919361,0.5362047074716302,0.3643720312963558,0.007331793519515026,0.009441415871245952,0.0,1.187900555417377,0.17183267617527442,10,21.347897742878267,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.541090612265357,20.37095094919361,0.5542230388786219,0.3643720312963558,0.007406466331663012,0.009441415871245952,0.0,1.1701396630717458,0.18985100758226608,10,21.303889470405494,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.500149901721677,20.37095094919361,0.5534857593005217,0.3643720312963558,0.007503062750719771,0.009441415871245952,0.0,1.1291989525280677,0.18911372800416584,10,21.247614213790538,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.511361323417518,20.37095094919361,0.5507641080059582,0.3643720312963558,0.007489062864569169,0.009441415871245952,0.0,1.1404103742239062,0.18639207670960245,10,21.255725238505512,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,21.49727916935668,20.37095094919361,0.5357956270628337,0.3643720312963558,0.0074761169620707075,0.009441415871245952,0.0,1.126328220163069,0.17142359576647795,10,21.263239128062402,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.587156540942,20.37095094919361,0.5558074709735339,0.3643720312963558,0.007332542085949379,0.009441415871245952,0.0,1.2162055917483912,0.1914354396771781,10,21.34745435658269,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.489505529469717,20.37095094919361,0.5520830130275292,0.3643720312963558,0.007521452556682538,0.009441415871245952,0.0,1.1185545802761052,0.18771098173117337,10,21.236982795634475,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.479945279529225,20.37095094919361,0.5495794223833688,0.3643720312963558,0.0075385196299492556,0.009441415871245952,0.0,1.1089943303356151,0.18520739108701295,10,21.227139299480196,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed20p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.29364661062852,20.37095094919361,0.5219057107273536,0.3643720312963558,0.007779937756212452,0.009441415871245952,0.0,0.9226956614349071,0.15753367943099783,10,21.090238775914937,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,21.635129751539566,20.37095094919361,0.5558441451833218,0.3643720312963558,0.007251849317852455,0.009441415871245952,0.0,1.264178802345954,0.19147211388696597,10,21.395512284465056,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.496632699112805,20.37095094919361,0.5497308900084676,0.3643720312963558,0.007514410117004491,0.009441415871245952,0.0,1.1256817499191936,0.18535885871211183,10,21.24105105959956,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.488177687381416,20.37095094919361,0.5491201714624332,0.3643720312963558,0.007521687957304943,0.009441415871245952,0.0,1.1172267381878034,0.18474814016607743,10,21.23684687562328,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.295970686063093,20.37095094919361,0.5257544577876223,0.3643720312963558,0.007769471180589893,0.009441415871245952,0.0,0.9250197368694828,0.16138242649126658,10,21.096085399078927,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed25p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,20.64509658796523,20.37095094919361,0.46720742817166483,0.3643720312963558,0.008970863570140887,0.009441415871245952,0.19999999999999996,0.27414563877161735,0.10283539687530904,10,20.47165748071319,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,21.547280856758952,20.37095094919361,0.5506307819221593,0.3643720312963558,0.0074172483592093745,0.009441415871245952,0.0,1.1763299075653424,0.1862587506258035,10,21.29757178824483,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.5012109056889,20.37095094919361,0.5473510549038272,0.3643720312963558,0.007493200558650342,0.009441415871245952,0.0,1.1302599564952867,0.18297902360747134,10,21.253326431726883,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.289330310034746,20.37095094919361,0.5262905217424223,0.3643720312963558,0.007758056249799608,0.009441415871245952,0.0,0.9183793608411346,0.16191849044606654,10,21.10247075871691,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,20.717647450814823,20.37095094919361,0.47677517903002,0.3643720312963558,0.008815118217770057,0.009441415871245952,0.19999999999999996,0.3466965016212118,0.11240314773366422,10,20.547718590900214,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,fixed30p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,20.105660744720392,20.37095094919361,0.43228236089778854,0.3643720312963558,0.010219965705388709,0.009441415871245952,0.7,-0.2652902044732194,0.0679103296014327,10,19.905505615384325,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,20.9909602716691,20.37095094919361,0.46320769877373424,0.3643720312963558,0.008241347270675853,0.009441415871245952,0.0,0.6200093224754883,0.09883566747737837,10,20.840017853427682,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.453818493523777,20.37095094919361,0.5361531945723522,0.3643720312963558,0.0075435766690894026,0.009441415871245952,0.0,1.0828675443301639,0.17178116327599635,10,21.22422691351992,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.544362992403766,20.37095094919361,0.551510238647461,0.3643720312963558,0.007396964672245557,0.009441415871245952,0.0,1.173412043210155,0.18713820735110512,10,21.30946455474846,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.41524152991098,20.37095094919361,0.5470388967779618,0.3643720312963558,0.007653987219062033,0.009441415871245952,0.0,1.0442905807173652,0.18266686548160602,10,21.161122673134358,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.193812778885565,20.37095094919361,0.5259161937085888,0.3643720312963558,0.008006225167950496,0.009441415871245952,0.09999999999999998,0.8228618296919539,0.161544162412233,10,20.965721999137426,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,adjoint,22.41960129229512,20.37095094919361,0.5958757714380192,0.3643720312963558,0.006192234498036059,0.009441415871245952,0.0,2.0486503431015093,0.23150374014166336,10,22.08152605413874,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.05,vanilla,0,40,adjoint,21.77614464894081,20.37095094919361,0.5541726438305046,0.3643720312963558,0.007099600607835795,0.009441415871245952,0.0,1.4051936997472005,0.1898006125341488,10,21.48766082082588,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.1,vanilla,0,40,adjoint,21.431012006533088,20.37095094919361,0.5291216620916053,0.3643720312963558,0.0076557639656187615,0.009441415871245952,0.0,1.060061057339474,0.16474963079524946,10,21.16011464730888,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.2,vanilla,0,40,adjoint,21.221768272521174,20.37095094919361,0.5052834788455238,0.3643720312963558,0.008003782773319678,0.009441415871245952,0.0,0.8508173233275631,0.14091144754916807,10,20.967047068460207,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.5,vanilla,0,40,adjoint,20.571499835406946,20.37095094919361,0.445083736467965,0.3643720312963558,0.009217684178412715,0.009441415871245952,0.4,0.20054888621333297,0.08071170517160922,10,20.353781760034618,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,2.0,15.0,0.02,vanilla,0,40,adjoint,22.089180309949153,20.37095094919361,0.5744097794158549,0.3643720312963558,0.00663116151773477,0.009441415871245952,0.0,1.7182293607555432,0.21003774811949913,10,21.784103936825254,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,2.0,15.0,0.05,vanilla,0,40,adjoint,21.550448267651017,20.37095094919361,0.5383094763454003,0.3643720312963558,0.007456254393239564,0.009441415871245952,0.0,1.1794973184574054,0.17393744504904446,10,21.274792830983557,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,2.0,15.0,0.1,vanilla,0,40,adjoint,21.34357960750555,20.37095094919361,0.5154622138301028,0.3643720312963558,0.007792414479617832,0.009441415871245952,0.0,0.9726286583119375,0.151090182533747,10,21.083279553307342,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,2.0,15.0,0.2,vanilla,0,40,adjoint,20.953116893674956,20.37095094919361,0.4737132301813439,0.3643720312963558,0.008470338809339307,0.009441415871245952,0.0,0.582165944481346,0.10934119888498813,10,20.72099217758595,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,2.0,15.0,0.5,vanilla,0,40,adjoint,19.97713912086882,20.37095094919361,0.41158547461787354,0.3643720312963558,0.010512201997298229,0.009441415871245952,0.9,-0.39381182832478884,0.04721344332151776,10,19.783063025151616,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,4.0,15.0,0.02,vanilla,0,40,adjoint,21.839998971974097,20.37095094919361,0.5599210956428624,0.3643720312963558,0.006992499624626546,0.009441415871245952,0.0,1.4690480227804845,0.19554906434650662,10,21.553675482703607,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,4.0,15.0,0.05,vanilla,0,40,adjoint,21.533503537725316,20.37095094919361,0.5320011066485055,0.3643720312963558,0.007473655629761611,0.009441415871245952,0.0,1.1625525885317032,0.1676290753521497,10,21.264669173961845,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,4.0,15.0,0.1,vanilla,0,40,adjoint,21.19307261868508,20.37095094919361,0.4934310671649402,0.3643720312963558,0.0080322118499611,0.009441415871245952,0.0,0.8221216694914691,0.12905903586858436,10,20.951648455108383,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,4.0,15.0,0.2,vanilla,0,40,adjoint,20.436900392675177,20.37095094919361,0.43724721353265306,0.3643720312963558,0.009472490979146354,0.009441415871245952,0.5,0.06594944348156417,0.07287518223629721,10,20.235357996405995,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,4.0,15.0,0.5,vanilla,0,40,adjoint,19.710245629981628,20.37095094919361,0.43657977671562875,0.3643720312963558,0.011195195023017595,0.009441415871245952,0.8,-0.6607053192119825,0.07220774541927291,10,19.50968336503651,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,21.822224871213297,20.37095094919361,0.5598310084282597,0.3643720312963558,0.007014099555679515,0.009441415871245952,0.0,1.4512739220196842,0.19545897713190394,10,21.540280741865647,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,8.0,15.0,0.05,vanilla,0,40,adjoint,21.500859960746947,20.37095094919361,0.5229206471503536,0.3643720312963558,0.007506835687009594,0.009441415871245952,0.0,1.1299090115533363,0.1585486158539977,10,21.245430900622164,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,8.0,15.0,0.1,vanilla,0,40,adjoint,20.88102069535952,20.37095094919361,0.4667576801927784,0.3643720312963558,0.008597489248348187,0.009441415871245952,0.09999999999999998,0.5100697461659098,0.10238564889642257,10,20.65628358615687,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,8.0,15.0,0.2,vanilla,0,40,adjoint,20.065449043167327,20.37095094919361,0.41904831898363326,0.3643720312963558,0.01029479790337478,0.009441415871245952,0.8,-0.30550190602628574,0.05467628768727749,10,19.873821745739377,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed10p0,0.8,8.0,15.0,0.5,vanilla,0,40,adjoint,17.19464573341573,20.37095094919361,0.16398324966430664,0.3643720312963558,0.019373181349114525,0.009441415871245952,1.0,-3.176305215777882,-0.20038878163204918,10,17.127990561566417,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,1.0,15.0,0.02,vanilla,0,40,adjoint,22.243111617678284,20.37095094919361,0.5881907499289211,0.3643720312963558,0.006429458532152296,0.009441415871245952,0.0,1.8721606684846717,0.22381871863256525,10,21.918256003884,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,1.0,15.0,0.05,vanilla,0,40,adjoint,21.615589544518205,20.37095094919361,0.5415491683573663,0.3643720312963558,0.00735453291784359,0.009441415871245952,0.0,1.244638595324592,0.17717713706101043,10,21.334449038534423,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,1.0,15.0,0.1,vanilla,0,40,adjoint,21.18564363003801,20.37095094919361,0.5002500316764735,0.3643720312963558,0.00806038949308516,0.009441415871245952,0.0,0.814692680844401,0.13587800038011769,10,20.936439717667923,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,1.0,15.0,0.2,vanilla,0,40,adjoint,20.53911303968028,20.37095094919361,0.446335773226581,0.3643720312963558,0.009262995101228546,0.009441415871245952,0.4,0.16816209048666764,0.08196374193022522,10,20.332485656269093,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,1.0,15.0,0.5,vanilla,0,40,adjoint,19.750062540774838,20.37095094919361,0.40065062800540197,0.3643720312963558,0.011054106905490538,0.009441415871245952,0.9,-0.6208884084187751,0.03627859670904618,10,19.564763396239634,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,adjoint,21.918808592596086,20.37095094919361,0.5646697466886497,0.3643720312963558,0.006885872686965557,0.009441415871245952,0.0,1.547857643402476,0.2002977153922938,10,21.62041011236264,20.24962872337511
val_images_circle,circle,rot30_padded,False,100,blur,red_gd,wavelet,15.0,fixed15p0,0.8,2.0,15.0,0.05,vanilla,0,40,adjoint,21.333346339428353,20.37095094919361,0.5124128872835183,0.3643720312963558,0.0078027669010283076,0.009441415871245952,0.0,0.9623953902347392,0.14804085598716255,10,21.07751366954675,20.24962872337511
