dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.005095083058154507,22.928487318922627,0.58226738660807,2.947307706683837,0.22747498207486522,True,20,20
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,True,16,20,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.005102232196579428,22.922397810459984,0.5431893373263116,2.9412181982211933,0.18839693279310682,True,20,320
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.004990882134135765,23.01822686414959,0.584993869443483,3.1229800558070338,0.22827981393548508,True,20,20
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.005230443764336502,22.81461462905812,0.575379625151429,2.919367820715564,0.21866556964343115,True,20,320
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.005277464807675368,22.775746540664173,0.5763819723039549,2.994159316500042,0.2188668441390459,True,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.005086404629056199,22.935890941846008,0.5514369197151582,3.154303717681877,0.19392179155024913,True,20,320
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.005166662267491787,22.867899263309557,0.5767473631267306,3.0782994827698857,0.22189620778530456,True,20,20
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.005403394940533215,22.67333288202839,0.5707164233243918,2.883733101488719,0.21586526798296574,True,20,320
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.004067504004543674,23.90672010818795,0.6494254588679969,3.5245305537068354,0.3266893473705682,True,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,True,16,20,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.004036443544614269,23.940011173621464,0.6278362952300598,3.5578216191403484,0.30510018373263115,True,20,320
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.004046089287045636,23.929645376691767,0.6444614265538469,3.503037682399494,0.31562785860858383,True,20,20
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.003867133508754682,24.126108341036744,0.6352569483503511,3.6995006467444718,0.30642338040508804,True,20,320
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.003940332181560966,24.044671643323493,0.6438037207771335,3.8739965565263006,0.3168136470477333,True,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.0037651225659764936,24.242208816516317,0.6404106770865529,4.071533729719125,0.3134206033571526,True,20,320
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.003944305302221564,24.04029476606457,0.633921707732768,3.7288997715620233,0.30286644078508207,True,20,20
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.003805502306056928,24.195880105488932,0.6339085252979134,3.884485110986386,0.30285325835022747,True,20,320
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,True,0,20,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.006089365235340794,22.15427976522573,0.6818235946539831,2.892288585521225,0.32738689201342536,True,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,G16_fixed,True,16,20,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.006365425348670913,21.961725707363826,0.6521070339155911,2.69973452765932,0.29767033127503334,True,20,320
