dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,iteration,se,psnr,ssim,effective_denoiser_sigma,sampled_angles
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,1,0.004604372610142999,23.36829538217515,0.6668567349058003,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,2,0.004507894704151252,23.460262368007648,0.6713507187824507,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,3,0.004420029717961139,23.545748106728205,0.6755179262937002,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,4,0.004340365680113029,23.624736792052378,0.6793375928707412,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,5,0.0042674237187005516,23.69834233269705,0.6828403824698364,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,6,0.004200081475580481,23.767422848278596,0.6860620294652129,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,7,0.004139312289915683,23.830718070684668,0.6889633709143055,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,8,0.004084445764926152,23.888668663199077,0.6915849701608318,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,9,0.004034216182436922,23.94240832864992,0.6939810565321664,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,10,0.0039883726623924495,23.99204269202098,0.6961467527691243,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,11,0.003946072398711399,24.038349509965443,0.6981173103489838,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,12,0.003906862298240826,24.081718957033086,0.6998916668984572,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,13,0.0038706484224336154,24.122162745945804,0.7014789491698808,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,14,0.003837279488729958,24.159765677569382,0.702886883514439,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,15,0.00380665627689736,24.194563361580737,0.7041186570519953,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,16,0.0037787478513500255,24.22652086760099,0.7051747043898037,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,17,0.0037534300924815262,24.255716684434585,0.7060622206924047,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,18,0.0037304766423470106,24.2823567491619,0.7067947270743707,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,19,0.003709634357311485,24.30668894812895,0.7073873382102062,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,20,0.0036907036651202376,24.32890823883077,0.7078523679721109,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,21,0.0036735540326917372,24.349135679259646,0.7082011161486921,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,22,0.003658076430949213,24.367472247227187,0.7084463795090985,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,23,0.003644104486803199,24.384091790669054,0.7086038039144785,15.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,True,0,40,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,24,0.0036314288191547062,24.399224641698854,0.7086901458889631,15.0,none
