dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,True,0,40,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.006880649230320211,21.623705815547556,0.4656791617218019,1.6425262033087655,0.11088675718859714,True,40,40
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,True,16,40,adjoint,0.010043429578558449,19.98117961223879,0.35479240453320476,0.006952403189785455,21.57865049847434,0.45999614068758343,1.5974708862355484,0.10520373615437867,True,40,640
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.006907265397566783,21.606938567947207,0.4663423465777047,1.7116917596046513,0.10962829106970678,True,40,40
val_images_circle,circle,test001.png,0,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.010244135615191882,19.895246808342556,0.3567140555079979,0.00665381739411173,21.76929121985056,0.4734019025971618,1.874044411508006,0.11668784708916391,True,40,640
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.006842768650488103,21.64768142966551,0.46974569847441494,1.8660942055013798,0.1122305703095059,True,40,40
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.010515774815966255,19.78158722416413,0.35751512816490905,0.006628320477902429,21.785965016981088,0.4752646825200588,2.004377792816957,0.11774955435514978,True,40,640
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.006896774980086315,21.61353943432697,0.4665945511830004,1.8239396537872992,0.11174339584157439,True,40,40
val_images_circle,circle,test001.png,0,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.010496391525751428,19.78959978053967,0.35485115534142603,0.006658778160433226,21.76605453541839,0.47320996055120157,1.97645475487872,0.11835880520977554,True,40,640
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,True,0,40,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.006026021982579783,22.19969288378612,0.5654638766039906,1.817503329305005,0.2427277651065619,True,40,40
val_images_circle,circle,test002.png,1,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,True,16,40,adjoint,0.009157586815696391,20.382189554481116,0.32273611149742865,0.006287064000795428,22.015521186142127,0.5597700869678089,1.6333316316610116,0.2370339754703803,True,40,640
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.0060128033915652504,22.209229966125548,0.5624489120290249,1.7826222718332758,0.2336153440837619,True,40,40
val_images_circle,circle,test002.png,1,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.009064403515827806,20.426607694292272,0.32883356794526303,0.00579267174382753,22.371210811822017,0.5700899438013004,1.944603117529745,0.24125637585603738,True,40,640
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.005987018589591034,22.227893933752316,0.5616383620050194,2.0572188469551236,0.23464828827561912,True,40,40
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.009614628126806146,20.170675086797193,0.32699007372940025,0.005772744346110353,22.3861767540143,0.5703454839003795,2.215501667217108,0.24335541017097928,True,40,640
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.005978687277323083,22.233941622990073,0.5595769278610809,1.9225466284875274,0.22852166091339499,True,40,40
val_images_circle,circle,test002.png,1,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.009308088429366486,20.311394994502546,0.33105526694768594,0.005788796310183368,22.374117316423355,0.5686809684656844,2.062722321920809,0.23762570151799844,True,40,640
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,True,0,40,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.008927565644769802,20.492669477376474,0.5689091531764575,1.2306782976719681,0.21447245053589975,True,40,40
val_images_circle,circle,test003.png,2,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,True,16,40,adjoint,0.011852252143241529,19.261991179704506,0.35443670264055777,0.009012547208005737,20.45152447418401,0.5687412016175889,1.189533294479503,0.21430449897703113,True,40,640
val_images_circle,circle,test003.png,2,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011848151683807373,19.263493944751282,0.36228590373751485,0.008804979958111726,20.552716282363285,0.5669964174681072,1.2892223376120029,0.2047105137305924,True,40,40
val_images_circle,circle,test003.png,2,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.011848151683807373,19.263493944751282,0.36228590373751485,0.00853506447393683,20.687931938732977,0.5773733597767504,1.4244379939816945,0.21508745603923557,True,40,640
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.01208299376536673,19.17825448604345,0.36332763511905497,0.008786404138885498,20.56188824829936,0.568461924505792,1.3836337622559114,0.20513428938673706,True,40,40
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.01208299376536673,19.17825448604345,0.36332763511905497,0.008507404499293767,20.702029174202256,0.5791825613973816,1.523774688158806,0.2158549262783266,True,40,640
val_images_circle,circle,test003.png,2,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011992978898784782,19.210729304441358,0.3588012743599807,0.008813823325724541,20.548356592302227,0.5684414634221717,1.3376272878608688,0.209640189062191,True,40,40
val_images_circle,circle,test003.png,2,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.011992978898784782,19.210729304441358,0.3588012743599807,0.008527324169496947,20.691872268316764,0.5783025041411195,1.4811429638754063,0.21950122978113878,True,40,640
val_images_circle,circle,test004.png,3,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,True,0,40,adjoint,0.006212146689050872,22.067582977127664,0.3774189756867181,0.0031106063510027257,25.071549456268745,0.7088123671067597,3.0039664791410807,0.33139339142004154,True,40,40
val_images_circle,circle,test004.png,3,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,True,16,40,adjoint,0.006212146689050872,22.067582977127664,0.3774189756867181,0.0030887773339592643,25.102133983085526,0.7133448861599416,3.034551005957862,0.3359259104732235,True,40,640
val_images_circle,circle,test004.png,3,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.006215629698354987,22.065148669149075,0.38108111031447783,0.0031119407732275468,25.069686771403262,0.7053134290477897,3.0045381022541875,0.3242323187333119,True,40,40
val_images_circle,circle,test004.png,3,rot30_padded,30.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.006215629698354987,22.065148669149075,0.38108111031447783,0.003026533730422394,25.190544815549355,0.7155071693130687,3.1253961464002806,0.33442605899859085,True,40,640
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.006544050506030017,21.84153357502153,0.38244530660829307,0.0030936566170485136,25.095278928335066,0.7059388695804023,3.253745353313537,0.32349356297210924,True,40,40
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,100,521,521,80887.0,0.2979910969734192,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.006544050506030017,21.84153357502153,0.38244530660829307,0.0030046849000428455,25.222010655407384,0.7169088898710547,3.3804770803858553,0.33446358326276165,True,40,640
val_images_circle,circle,test004.png,3,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,False,0,40,adjoint,0.006510249421566348,21.86402372363471,0.3830841643900811,0.0031212085410009457,25.05677213333939,0.7052445230604727,3.1927484097046808,0.3221603586703916,True,40,40
val_images_circle,circle,test004.png,3,rot60_padded,60.0,False,100,521,521,80896.0,0.2980242371559143,blur,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.006510249421566348,21.86402372363471,0.3830841643900811,0.0030114282912845854,25.212274738748363,0.7160717445083812,3.3482510151136538,0.3329875801183001,True,40,640
