dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,iteration,se,psnr,ssim,effective_denoiser_sigma,sampled_angles
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,1,0.007932858291910433,21.005703036352923,0.43102956720071206,25.0,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,2,0.00796517013401163,20.98804943343915,0.4313505005130297,24.210526315789476,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,3,0.007994192240647638,20.97225412236959,0.4326979761595708,23.42105263157895,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,4,0.00800648800421202,20.96557942699889,0.4346770327257331,22.631578947368418,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,5,0.008006564211386787,20.965538090275526,0.43698368658210945,21.842105263157894,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,6,0.008000233734195748,20.968973245094837,0.4393611814209069,21.05263157894737,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,7,0.007991524989530794,20.973703381650193,0.44166942883721505,20.263157894736842,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,8,0.007982763428012041,20.978467410072057,0.4438197206614993,19.473684210526315,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,9,0.007975132147164584,20.982621119938038,0.4457735700069228,18.68421052631579,none
val_images_circle,circle,test001.png,0,upright,0.0,False,100,521,521,80892.0,0.2980095148086548,inpaint,pnp_hqs,wavelet,15.0,linear25p0_to_10p0,0.1,0.5,0.0,0.15,vanilla,True,0,20,telea,0.07098877303225289,11.488103300932998,0.18423998684202395,10,0.007969164597211791,20.985872030501916,0.44751731088982843,17.894736842105267,none
