dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot30_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,27.81676835655324,9.380701176603283,0.8310686859903456,0.1161761024330235,0.0018868988261947,0.1306358433976958,0.0,18.436067179949955,0.7148925835573221,10,27.242513856873835,8.839376465365662
val_images_circle,circle,rot30_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,27.666325753006543,9.380701176603283,0.8269169143483609,0.1161761024330235,0.0019645547753647,0.1306358433976958,0.0,18.28562457640326,0.7107408119153373,10,27.06735857762313,8.839376465365662
val_images_circle,circle,rot45_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,27.77144603345975,9.36654278681106,0.8285805110447291,0.1156981923856738,0.001905798480232,0.1308708541700149,0.0,18.40490324664869,0.7128823186590553,10,27.199230237135264,8.831570630178128
val_images_circle,circle,rot45_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,27.570451524586023,9.36654278681106,0.8234985854108201,0.1156981923856738,0.0020025555195889,0.1308708541700149,0.0,18.203908737774963,0.7078003930251462,10,26.984154345361816,8.831570630178128
val_images_circle,circle,rot60_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,27.793623052403905,9.372394169262488,0.8308900181251235,0.1155038380924659,0.0018902149287205,0.1308419444892979,0.0,18.421228883141417,0.7153861800326576,10,27.23488811144029,8.832530102922629
val_images_circle,circle,rot60_padded,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,27.624627776218663,9.372394169262488,0.8267211141465586,0.1155038380924659,0.0019734894833232,0.1308419444892979,0.0,18.25223360695617,0.7112172760540926,10,27.047651836068685,8.832530102922629
val_images_circle,circle,upright,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,26.825652670999386,9.382013906651718,0.8016702294803565,0.1161578816122113,0.0022672991037474,0.1304402264844638,0.0,17.44363876434767,0.6855123478681452,10,26.44491183650068,8.845884557962593
val_images_circle,circle,upright,False,100,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,27.598621553340905,9.382013906651718,0.8294463219477823,0.1161578816122113,0.0019853359336156,0.1304402264844638,0.0,18.21660764668919,0.7132884403355708,10,27.02165996824442,8.845884557962593
val_images_circle,circle,rot30_padded,False,100,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,G16_fixed,16,40,telea,25.67628756285585,9.380701176603283,0.7833049291296851,0.1161761024330235,0.0029009557223018,0.1306358433976958,0.0,16.295586386252566,0.6671288266966615,10,25.374588998449543,8.839376465365662
val_images_circle,circle,rot30_padded,False,100,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,0,40,telea,25.406537358550214,9.380701176603283,0.7733117888245402,0.1161761024330235,0.0030820428381992,0.1306358433976958,0.0,16.025836181946932,0.6571356863915165,10,25.11161329191822,8.839376465365662
val_images_circle,circle,rot45_padded,False,100,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,G16_fixed,16,40,telea,25.764514840617245,9.36654278681106,0.7814648106695142,0.1156981923856738,0.002854256220411,0.1308708541700149,0.0,16.397972053806182,0.6657666182838404,10,25.445070437945784,8.831570630178128
val_images_circle,circle,rot45_padded,False,100,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,0,40,telea,25.49837033583359,9.36654278681106,0.7718253792713909,0.1156981923856738,0.0030260917811376,0.1308708541700149,0.0,16.131827549022532,0.656127186885717,10,25.19117903993886,8.831570630178128
val_images_circle,circle,rot60_padded,False,100,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,4.0,15.0,0.02,G16_fixed,16,40,telea,25.801076767871496,9.372394169262488,0.7837400557119635,0.1155038380924659,0.0028240668622753,0.1308419444892979,0.0,16.428682598609008,0.6682362176194976,10,25.491250251933675,8.832530102922629
