denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,19.03686393598504,-1.0730026885798178,0.9861111111111112,144
restormer,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,20.86966173233497,0.759795107770114,0.0,144
restormer,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,22.742612826238158,2.6327462016733056,0.0,144
restormer,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,23.6518621650968,3.5419955405319463,0.0,144
restormer,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,23.746923766924198,3.637057142359344,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.02,22.38712704628394,2.2772604217190873,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.05,22.209276207890863,2.099409583326007,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.1,21.973935081991854,1.864068457426998,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.2,21.49479306638389,1.3849264418190361,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.5,20.1023282516436,-0.007538372921254958,0.5,144
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.02,22.415732497046143,2.3058658724812897,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.05,22.13513322774351,2.0252666031786535,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.1,21.69695194216881,1.5870853176039526,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.2,20.837531721815434,0.7276650972505796,0.18055555555555558,144
restormer,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.5,17.77019417197263,-2.339672452592225,0.9791666666666666,144
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.02,22.456371967769925,2.346505343205071,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.05,22.003342926155508,1.8934763015906517,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.1,21.125638364553602,1.0157717399887445,0.0625,144
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.2,19.505150322459855,-0.604716302105001,0.7083333333333333,144
restormer,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.5,17.226620806516138,-2.8832458180487155,0.9930555555555556,144
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,22.58952817030832,2.4796615457434648,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.05,21.738320179523654,1.6284535549587975,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.1,20.37946892065236,0.26960229608750486,0.35416666666666663,144
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.2,18.790851182666188,-1.3190154418986664,0.8541666666666666,144
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-244.37176819346132,-264.4816348180262,1.0,144
restormer,inpaint,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,26.77201701455233,18.596538936964503,0.0,144
restormer,inpaint,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,26.662733610925432,18.487255533337606,0.0,144
restormer,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,26.497784312930726,18.3223062353429,0.0,144
restormer,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,25.804160395636238,17.628682318048412,0.0,144
restormer,inpaint,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,25.017555808591904,16.84207773100408,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.02,24.326367029540084,16.150888951952258,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.05,24.870423377677284,16.694945300089458,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.1,24.891439902577073,16.715961824989247,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.2,23.826434232867374,15.650956155279548,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.5,21.53008304448587,13.354604966898044,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.02,24.734540533843578,16.55906245625575,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.05,24.98553941523136,16.810061337643535,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.1,23.92754624486915,15.752068167281323,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.2,22.181989917911505,14.006511840323677,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.5,18.737441579680187,10.561963502092361,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.02,25.04263029536764,16.867152217779815,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.05,24.310849372732438,16.135371295144612,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.1,22.50414851365297,14.328670436065146,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.2,20.55222707755279,12.376748999964967,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.5,17.061555255538302,8.886077177950478,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.02,24.9337230598543,16.758244982266476,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.05,22.978967167516043,14.803489089928215,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.1,20.869208007691558,12.693729930103732,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.2,18.620719580386165,10.445241502798343,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-297.4174158059707,-305.5928938835584,1.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,16.892972847265074,-3.21689377729978,1.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,18.685530342803073,-1.424336281761781,1.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,20.613811934723593,0.5039453101587387,0.00694444444444442,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,22.305971905402572,2.196105280837716,0.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,23.16658617491679,3.056719550351938,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.02,22.47250397486039,2.3626373502955342,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.05,22.470229911141903,2.3603632865770474,0.0,144
