dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,0.015520426582506752,18.090963462297154,0.37966872279810365,-1.126771813941673,0.04737440981599861,False,20,20
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011922667517372018,19.236265668719362,0.3373684701613373,0.014459044576440929,18.3986040336848,0.39000722366691065,-0.8376616350345607,0.052638753505573344,False,20,20
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011965871960520926,19.22055648588802,0.33758935120269684,0.014502433490808144,18.38559117561193,0.39175943492840165,-0.8349653102760932,0.05417008372570481,False,20,20
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012052532452993443,19.189216904496433,0.3353948753238342,0.013935614867531573,18.558738645764436,0.3983643590106865,-0.6304782587319977,0.06296948368685229,False,20,20
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012061643301203375,19.18593519059367,0.33741133463461553,0.013611136720040285,18.66105603626484,0.40802844314891934,-0.5248791543288327,0.0706171085143038,False,20,20
val_images,none,test001.png,0,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012021906587339785,19.200266509107795,0.33958433180917347,0.013340588053020686,18.74825026300046,0.40950669255417677,-0.45201624610733404,0.0699223607450033,False,20,20
val_images,none,test001.png,0,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012096182077042179,19.17351684602495,0.33933204136981865,0.01366594383753643,18.643603684148932,0.4079241721988342,-0.5299131618760171,0.06859213082901555,False,20,20
val_images,none,test001.png,0,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012071285394184532,19.18246482191079,0.341117718014313,0.012690621957828033,18.96517092938111,0.4220092350474402,-0.2172938925296819,0.08089151703312719,False,20,20
val_images,none,test001.png,0,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012044598411876453,19.192076755671362,0.34123591716915264,0.012752402087337434,18.944080022874484,0.41975103870491387,-0.24799673279687795,0.07851512153576123,False,20,20
val_images,none,test001.png,0,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01231193137187419,19.096738139773745,0.33959731917271313,0.01223218156192302,19.124960813272523,0.4254988338947914,0.02822267349877805,0.08590151472207824,True,20,20
