dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,18.526650898469427,20.177377191062973,0.3651802090214765,0.31267448984300616,0.01410966421621905,0.009835116474942883,1.0,-1.65072629259355,0.052505719178470356,2,18.504833215240645,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,20.76275863257454,20.177377191062973,0.4631677670886199,0.31267448984300616,0.00860128494679641,0.009835116474942883,0.0,0.5853814415115615,0.1504932772456137,2,20.654366646148134,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,22.545975450841258,20.177377191062973,0.5469227652346811,0.31267448984300616,0.005864634306845993,0.009835116474942883,0.0,2.368598259778283,0.2342482753916749,2,22.317590634240474,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,23.695746230287188,20.177377191062973,0.62324336265633,0.31267448984300616,0.004672804893044835,0.009835116474942883,0.0,3.518369039224213,0.3105688728133238,2,23.304223520043536,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,23.842640203298075,20.177377191062973,0.652641599633422,0.31267448984300616,0.004613702570108638,0.009835116474942883,0.0,3.6652630122350995,0.3399671097904159,2,23.359504064174676,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.02,vanilla,0,40,adjoint,22.414111244695235,20.177377191062973,0.5835729943863706,0.31267448984300616,0.006123080151594407,0.009835116474942883,0.0,2.2367340536322597,0.2708985045433644,2,22.130300555785844,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.05,vanilla,0,40,adjoint,22.313036686498478,20.177377191062973,0.5736886267333112,0.31267448984300616,0.006277829162932479,0.009835116474942883,0.0,2.1356594954355046,0.26101413689030506,2,22.021905068273156,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.1,vanilla,0,40,adjoint,22.09784843413393,20.177377191062973,0.5535904681640663,0.31267448984300616,0.006584245206892787,0.009835116474942883,0.0,1.9204712430709563,0.2409159783210601,2,21.814940037348087,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.2,vanilla,0,40,adjoint,21.630020544940002,20.177377191062973,0.5204753850161269,0.31267448984300616,0.007325857082686175,0.009835116474942883,0.0,1.4526433538770274,0.20780089517312067,2,21.351415580719912,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,1.0,15.0,0.5,vanilla,0,40,adjoint,20.053603941343454,20.177377191062973,0.47360905005472764,0.31267448984300616,0.009955107889723836,0.009835116474942883,0.5,-0.12377324971951964,0.16093456021172145,2,20.019540288904327,20.07220492468036
