dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,17.35093035932003,20.177377191062973,0.28987423069636853,0.31267448984300616,0.018578553514620615,0.009835116474942883,1.0,-2.8264468317429436,-0.022800259146637636,2,17.309881022408135,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer-aug,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,18.87958609681419,20.177377191062973,0.3509952245897047,0.31267448984300616,0.013096723970907127,0.009835116474942883,1.0,-1.297791094248785,0.03832073474669853,2,18.828373256639537,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer-aug,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,20.66292601153704,20.177377191062973,0.4290040245246145,0.31267448984300616,0.008766612460209131,0.009835116474942883,0.0,0.48554882047406167,0.11632953468160828,2,20.571681915878713,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer-aug,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,22.349427214186207,20.177377191062973,0.5061955405486364,0.31267448984300616,0.0060969761298552555,0.009835116474942883,0.0,2.1720500231232336,0.19352105070563017,2,22.148855052720666,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,restormer-aug,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,23.11424671925841,20.177377191062973,0.5569332503108788,0.31267448984300616,0.005190206127922889,0.009835116474942883,0.0,2.9368695281954356,0.24425876046787262,2,22.848153938968572,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.02,vanilla,0,40,adjoint,22.462048058435272,20.177377191062973,0.585751018249558,0.31267448984300616,0.00604417394618457,0.009835116474942883,0.0,2.284670867372297,0.27307652840655183,2,22.186630455274113,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.05,vanilla,0,40,adjoint,22.445652771421855,20.177377191062973,0.5862309475408191,0.31267448984300616,0.006064089304063566,0.009835116474942883,0.0,2.26827558035888,0.2735564576978129,2,22.172344116015246,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.1,vanilla,0,40,adjoint,22.412826022787506,20.177377191062973,0.5836096025932475,0.31267448984300616,0.006118967420681881,0.009835116474942883,0.0,2.2354488317245327,0.2709351127502413,2,22.133218591183947,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.2,vanilla,0,40,adjoint,22.355591581473142,20.177377191062973,0.5732110755840312,0.31267448984300616,0.006201330549566349,0.009835116474942883,0.0,2.178214390410167,0.260536585741025,2,22.07515118834212,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.5,vanilla,0,40,adjoint,22.18355924978076,20.177377191062973,0.5611134167281948,0.31267448984300616,0.00648397762575716,0.009835116474942883,0.0,2.006182058717785,0.24843892688518857,2,21.881584924396495,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,adjoint,22.59240948924579,20.177377191062973,0.5921585676258574,0.31267448984300616,0.005872621598700381,0.009835116474942883,0.0,2.4150322981828154,0.27948407778285117,2,22.311679819411033,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.05,vanilla,0,40,adjoint,22.52132613812563,20.177377191062973,0.5900031108121062,0.31267448984300616,0.005959347289902287,0.009835116474942883,0.0,2.343948947062655,0.27732862096909994,2,22.248013046753492,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.1,vanilla,0,40,adjoint,22.484799577204534,20.177377191062973,0.5855335953539809,0.31267448984300616,0.006045537741037339,0.009835116474942883,0.0,2.3074223861415586,0.27285910551097464,2,22.185650632765782,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.2,vanilla,0,40,adjoint,22.36451556555762,20.177377191062973,0.5703991503860079,0.31267448984300616,0.0062038401297468725,0.009835116474942883,0.0,2.187138374494646,0.2577246605430017,2,22.073394022935304,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.5,vanilla,0,40,adjoint,22.224105652980057,20.177377191062973,0.5489267293443695,0.31267448984300616,0.006480597193385142,0.009835116474942883,0.0,2.0467284619170822,0.23625223950136331,2,21.88384971623019,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,0,40,adjoint,22.794268808474687,20.177377191062973,0.6006313562169286,0.31267448984300616,0.005613019493098531,0.009835116474942883,0.0,2.616891617411712,0.2879568663739225,2,22.508034495440143,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.05,vanilla,0,40,adjoint,22.696354247345283,20.177377191062973,0.5931155420787431,0.31267448984300616,0.005765213266776223,0.009835116474942883,0.0,2.5189770562823064,0.28044105223573684,2,22.391846226501222,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.1,vanilla,0,40,adjoint,22.596834544178414,20.177377191062973,0.5859906287038297,0.31267448984300616,0.005909088880109159,0.009835116474942883,0.0,2.419457353115437,0.2733161388608234,2,22.28479477637416,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.2,vanilla,0,40,adjoint,22.392637411965367,20.177377191062973,0.5552754829550974,0.31267448984300616,0.006112543946925336,0.009835116474942883,0.0,2.215260220902392,0.2426009931120912,2,22.13778005440747,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.5,vanilla,0,40,adjoint,18.05193998717262,20.177377191062973,0.4611764906193937,0.31267448984300616,0.016338299889952744,0.009835116474942883,1.0,-2.125437203890355,0.14850200077638748,2,17.86793136715836,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,23.071674153265953,20.177377191062973,0.6095272263861633,0.31267448984300616,0.005272693579555529,0.009835116474942883,0.0,2.8942969622029775,0.29685273654315714,2,22.779674667825034,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.05,vanilla,0,40,adjoint,22.847160940726127,20.177377191062973,0.594427947560249,0.31267448984300616,0.0055894373059284345,0.009835116474942883,0.0,2.6697837496631536,0.2817534577172428,2,22.526319107594798,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.1,vanilla,0,40,adjoint,22.838005818386975,20.177377191062973,0.5824104118496642,0.31267448984300616,0.005600135782419843,0.009835116474942883,0.0,2.660628627324,0.26973592200665797,2,22.51801442843661,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.2,vanilla,0,40,adjoint,21.914740049942104,20.177377191062973,0.5263735186705397,0.31267448984300616,0.0070077942306832125,0.009835116474942883,0.0,1.737362858879127,0.21369902882753353,2,21.544186588078432,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.5,vanilla,0,40,adjoint,-130.38367772798517,20.177377191062973,0.4978360172942533,0.31267448984300616,3.759982266254692e+17,0.009835116474942883,1.0,-150.56105491904816,0.18516152745124712,2,-175.75185796606945,20.07220492468036
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.245283887895873,8.177257917419375,0.7924935769927008,0.1199443737411027,0.0026581020353865755,0.16359144762967046,0.0,18.068025970476498,0.6725492032515982,2,25.754283520032125,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,telea,26.093988270087493,8.177257917419375,0.7877314741727709,0.1199443737411027,0.002748162748544931,0.16359144762967046,0.0,17.916730352668118,0.6677871004316682,2,25.609575515607872,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,telea,25.82247113555121,8.177257917419375,0.7781078672579841,0.1199443737411027,0.0029413598050768573,0.16359144762967046,0.0,17.645213218131836,0.6581634935168814,2,25.31451846692649,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,telea,25.40850215375915,8.177257917419375,0.7526595723149462,0.1199443737411027,0.0032409948238474816,0.16359144762967046,0.0,17.231244236339776,0.6327151985738435,2,24.893216625735512,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,0,20,telea,25.03636160833687,8.177257917419375,0.7038004429213541,0.1199443737411027,0.003532857200214458,0.16359144762967046,0.0,16.859103690917497,0.5838560691802515,2,24.51873916602019,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.314647548026844,8.177257917419375,0.6824962374757935,0.1199443737411027,0.003856406262902685,0.16359144762967046,0.0,16.13738963060747,0.5625518637346909,2,24.13817220504977,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.05,vanilla,0,40,telea,24.484204371403635,8.177257917419375,0.6959254028471318,0.1199443737411027,0.003738961883247852,0.16359144762967046,0.0,16.30694645398426,0.575981029106029,2,24.27248962227301,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.1,vanilla,0,40,telea,24.44989905016068,8.177257917419375,0.6946119600909321,0.1199443737411027,0.0037782995575188555,0.16359144762967046,0.0,16.272641132741306,0.5746675863498294,2,24.22703612581453,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.2,vanilla,0,40,telea,24.43865201583764,8.177257917419375,0.6955226113739549,0.1199443737411027,0.003787424926295308,0.16359144762967046,0.0,16.26139409841827,0.5755782376328522,2,24.216559669170493,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,1.0,15.0,0.5,vanilla,0,40,telea,24.405806462057086,8.177257917419375,0.6990171898174234,0.1199443737411027,0.0038323882543339865,0.16359144762967046,0.0,16.22854854463771,0.5790728160763208,2,24.165304995482515,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,telea,24.521539714070045,8.177257917419375,0.6962554838942105,0.1199443737411027,0.0037019277375437477,0.16359144762967046,0.0,16.344281796650673,0.5763111101531078,2,24.315720630256592,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.05,vanilla,0,40,telea,24.451601493409427,8.177257917419375,0.6911608712864554,0.1199443737411027,0.003778302225813132,0.16359144762967046,0.0,16.274343575990056,0.5712164975453526,2,24.227033058760014,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.1,vanilla,0,40,telea,24.427211261905292,8.177257917419375,0.689370838757521,0.1199443737411027,0.003794056428179758,0.16359144762967046,0.0,16.249953344485917,0.5694264650164182,2,24.20896214231528,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.2,vanilla,0,40,telea,24.399005584462977,8.177257917419375,0.6915443593305743,0.1199443737411027,0.0038249962885805464,0.16359144762967046,0.0,16.2217476670436,0.5715999855894716,2,24.173689819089965,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.5,vanilla,0,40,telea,23.95340675039892,8.177257917419375,0.67630692057532,0.1199443737411027,0.004242637906492773,0.16359144762967046,0.0,15.776148832979548,0.5563625468342174,2,23.723640320850237,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.02,vanilla,0,40,telea,24.51140739344215,8.177257917419375,0.6929430357073465,0.1199443737411027,0.003723623835962749,0.16359144762967046,0.0,16.334149476022773,0.5729986619662437,2,24.290341983182685,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.05,vanilla,0,40,telea,24.402404428301466,8.177257917419375,0.6820484637000408,0.1199443737411027,0.003820558816371919,0.16359144762967046,0.0,16.22514651088209,0.5621040899589381,2,24.17873110094262,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.1,vanilla,0,40,telea,24.370607810377123,8.177257917419375,0.6798293789386078,0.1199443737411027,0.0038393589260687774,0.16359144762967046,0.0,16.193349892957748,0.5598850051975053,2,24.157412855578805,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.2,vanilla,0,40,telea,24.19581933768622,8.177257917419375,0.6739091209739574,0.1199443737411027,0.003994375260963134,0.16359144762967046,0.0,16.018561420266845,0.5539647472328547,2,23.985511367337576,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,4.0,15.0,0.5,vanilla,0,40,telea,23.983097837277345,8.177257917419375,0.6482933694163251,0.1199443737411027,0.004338270858120404,0.16359144762967046,0.0,15.80583991985797,0.5283489956752223,2,23.626833364816147,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,telea,24.25253688572913,8.177257917419375,0.6684655539795727,0.1199443737411027,0.003938654161004665,0.16359144762967046,0.0,16.075278968309753,0.54852118023847,2,24.0465215134653,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.05,vanilla,0,40,telea,24.35949012406538,8.177257917419375,0.6762453671770261,0.1199443737411027,0.0038666847301097266,0.16359144762967046,0.0,16.18223220664601,0.5563009934359233,2,24.126612366560227,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.1,vanilla,0,40,telea,24.231912789591103,8.177257917419375,0.6733517249726362,0.1199443737411027,0.0039611039043183915,0.16359144762967046,0.0,16.054654872171728,0.5534073512315335,2,24.021837654017467,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.2,vanilla,0,40,telea,23.63113463338077,8.177257917419375,0.6942659404327045,0.1199443737411027,0.0044338049840340656,0.16359144762967046,0.0,15.453876715961396,0.5743215666916017,2,23.532234127597476,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,8.0,15.0,0.5,vanilla,0,40,telea,-276.67174829012913,8.177257917419375,0.27757417677832397,0.1199443737411027,9.801922846417316e+27,0.16359144762967046,1.0,-284.84900620754854,0.1576298030372213,2,-279.91311279740876,7.862394044808809
val_images,none,rot100_padded,True,0,blur,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,17.224582991053968,20.286419637438208,0.28934810288241086,0.3187881335126812,0.01911446987687781,0.009636843674380634,1.0,-3.0618366463842417,-0.029440030630270342,2,17.186377422559534,20.160651859371995
