dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,16.95559887155646,20.177377191062973,0.254140459036049,0.31267448984300616,0.02027273063524524,0.009835116474942883,1.0,-3.221778319506514,-0.058534030806957196,2,16.930877500762005,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,19.542941632757305,20.177377191062973,0.34632086002924206,0.31267448984300616,0.011286599779020011,0.009835116474942883,1.0,-0.6344355583056718,0.03364637018623587,2,19.474368746935202,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.665999144098286,20.177377191062973,0.46394369915836037,0.31267448984300616,0.007078007726292353,0.009835116474942883,0.0,1.4886219530353113,0.15126920931535418,2,21.500889676261245,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,22.46190817251766,20.177377191062973,0.5457788536424635,0.31267448984300616,0.006032771040003991,0.009835116474942883,0.0,2.284530981454685,0.23310436379945726,2,22.19483157022358,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.318535188587283,20.177377191062973,0.510062007269221,0.31267448984300616,0.0077401291390549205,0.009835116474942883,0.0,1.1411579975243082,0.19738751742621485,2,21.112517933337635,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,18.18866199492596,20.177377191062973,0.29588559173839546,0.31267448984300616,0.015346125298962805,0.009835116474942883,1.0,-1.988715196137015,-0.01678889810461072,2,18.140012601672176,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.204663257327184,20.177377191062973,0.4414210754383068,0.31267448984300616,0.007860310299206693,0.009835116474942883,0.0,1.0272860662642067,0.12874658559530056,2,21.045603091039503,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.28255407140342,20.177377191062973,0.5061368459805959,0.31267448984300616,0.007763698676533629,0.009835116474942883,0.0,1.105176880340446,0.1934623561375898,2,21.099313287265137,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.278250334663113,20.177377191062973,0.5078598857439395,0.31267448984300616,0.007801486071829603,0.009835116474942883,0.0,1.1008731436001362,0.1951853959009333,2,21.07822662524604,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed15p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.36033439723181,20.177377191062973,0.5231668345533708,0.31267448984300616,0.007667835757469593,0.009835116474942883,0.0,1.182957206168835,0.2104923447103646,2,21.153271981399023,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,20.204760022851683,20.177377191062973,0.3869952469543591,0.31267448984300616,0.009832698407373495,0.009835116474942883,0.5,0.027382831788708373,0.07432075711135291,2,20.073272814950663,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.33241618061819,20.177377191062973,0.5102279838699232,0.31267448984300616,0.007682256603303351,0.009835116474942883,0.0,1.155038989555214,0.19755349402691696,2,21.145111905921553,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.308986070052526,20.177377191062973,0.5103297759365224,0.31267448984300616,0.007749437533053644,0.009835116474942883,0.0,1.1316088789895495,0.19765528609351626,2,21.10729818158958,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed20p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.351267184192587,20.177377191062973,0.5218996770179598,0.31267448984300616,0.007685195680036783,0.009835116474942883,0.0,1.1738899931296114,0.20922518717495356,2,21.143450700408437,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed20p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.393815414222246,20.177377191062973,0.5290273606752871,0.31267448984300616,0.007619982567903038,0.009835116474942883,0.0,1.2164382231592707,0.21635287083228089,2,21.180460221869318,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,21.384058479691653,20.177377191062973,0.5130965037872164,0.31267448984300616,0.007596445840561367,0.009835116474942883,0.0,1.2066812886286797,0.2004220139442102,2,21.193895541491493,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.3541144737774,20.177377191062973,0.5131522889262375,0.31267448984300616,0.007672583542420083,0.009835116474942883,0.0,1.1767372827144236,0.20047779908323135,2,21.1505837408356,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.369060058482702,20.177377191062973,0.5220143844194662,0.31267448984300616,0.007654457522918205,0.009835116474942883,0.0,1.1916828674197255,0.20933989457646,2,21.160855826471536,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed25p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.391051600087096,20.177377191062973,0.5287955550806018,0.31267448984300616,0.007625074463989567,0.009835116474942883,0.0,1.2136744090241205,0.2161210652375956,2,21.177559107822436,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed25p0,1.6,0.5,0.0,0.15,vanilla,0,20,adjoint,21.28584059554587,20.177377191062973,0.514068012735507,0.31267448984300616,0.007846909730043948,0.009835116474942883,0.0,1.1084634044828938,0.20139352289250073,2,21.053013434363024,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.1,0.5,0.0,0.15,vanilla,0,20,adjoint,21.39773695044377,20.177377191062973,0.5151495613491817,0.31267448984300616,0.0075997768600764,0.009835116474942883,0.0,1.2203597593807984,0.20247507150617547,2,21.19199159016601,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.2,0.5,0.0,0.15,vanilla,0,20,adjoint,21.401227735634038,20.177377191062973,0.5228040287546714,0.31267448984300616,0.007599678034362432,0.009835116474942883,0.0,1.2238505445710643,0.2101295389116651,2,21.192048065167967,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.403652559507204,20.177377191062973,0.5284753660921885,0.31267448984300616,0.007602505042736223,0.009835116474942883,0.0,1.2262753684442291,0.21580087624918232,2,21.190432831165115,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed30p0,0.8,0.5,0.0,0.15,vanilla,0,20,adjoint,21.34289973632997,20.177377191062973,0.5210917791780818,0.31267448984300616,0.007732296410617179,0.009835116474942883,0.0,1.1655225452669953,0.20841728933507558,2,21.11691506036653,20.07220492468036
