dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,telea,0.1034890416735481,9.851056346773033,0.16807176908666394,0.0038538723715965248,24.141026719403378,0.7120345824346993,14.289970372630345,0.5439628133480354,True,20,20
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,False,16,20,telea,0.1034890416735481,9.851056346773033,0.16807176908666394,0.0035934642434715448,24.444866722042722,0.7188931945065122,14.593810375269689,0.5508214254198482,True,20,320
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,telea,0.10360115177917965,9.846354163228172,0.16950186906562303,0.00377100034415642,24.23543427958944,0.7046302510735312,14.389080116361269,0.5351283820079081,True,20,20
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,False,16,20,telea,0.10360115177917965,9.846354163228172,0.16950186906562303,0.0034989383597964986,24.56063708341913,0.715954598777826,14.714282920190959,0.5464527297122029,True,20,320
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,telea,0.10309399727296426,9.86766621109523,0.16905602748975085,0.003764364597914022,24.24308319571622,0.7114218251102634,14.37541698462099,0.5423657976205125,True,20,20
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,False,16,20,telea,0.10309399727296426,9.86766621109523,0.16905602748975085,0.0034733381038074876,24.592529392717488,0.7222032704189686,14.724863181622258,0.5531472429292177,True,20,320
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,telea,0.1026567623158193,9.886124370414276,0.1696227584601684,0.003788878682981501,24.21489300281932,0.7121676651554404,14.328768632405044,0.542544906695272,True,20,20
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,False,16,20,telea,0.1026567623158193,9.886124370414276,0.1696227584601684,0.0034924842162453447,24.568655479376286,0.7224167644915803,14.68253110896201,0.5527940060314119,True,20,320
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,False,0,20,telea,0.10314583810654537,9.865482909465427,0.16941314842146,0.0037657705903464803,24.241461406075416,0.7131383218155558,14.375978496609989,0.5437251733940958,True,20,20
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,inpaint,pnp_hqs,restormer-aug,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,False,16,20,telea,0.10314583810654537,9.865482909465427,0.16941314842146,0.0034884849727562597,24.57363143478328,0.7228706144469847,14.708148525317853,0.5534574660255247,True,20,320
