dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,G16_fixed,16,40,telea,24.78906935042339,8.177257917419375,0.7174769350587107,0.1199443737411027,0.0035010857214306215,0.16359144762967046,0.0,16.611811433004014,0.597532561317608,2,24.557972557335273,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,telea,24.521539714070045,8.177257917419375,0.6962554838942105,0.1199443737411027,0.0037019277375437477,0.16359144762967046,0.0,16.344281796650673,0.5763111101531078,2,24.315720630256592,7.862394044808809
val_images,none,rot10_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,G16_fixed,16,40,telea,24.661490260116267,8.17305427044527,0.7069433610826863,0.12036286029902268,0.003582821444639039,0.1640400692252984,0.0,16.488435989670993,0.5865805007836635,2,24.457748350212324,7.850500561112125
val_images,none,rot10_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,telea,24.354724875860494,8.17305427044527,0.684527512823585,0.12036286029902268,0.003820370875197788,0.1640400692252984,0.0,16.18167060541522,0.5641646525245624,2,24.178944744617297,7.850500561112125
val_images,none,rot15_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,G16_fixed,16,40,telea,24.712283296960738,8.198952480270563,0.7064485002428756,0.12050156983686852,0.003566639756909306,0.16296121389754697,0.0,16.513330816690175,0.5859469304060071,2,24.477407537082524,7.879157489376743
val_images,none,rot15_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,telea,24.383758768862194,8.198952480270563,0.6819246377104922,0.12050156983686852,0.0038124290031472637,0.16296121389754697,0.0,16.18480628859163,0.5614230678736237,2,24.18798235206724,7.879157489376743
val_images,none,rot20_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,G16_fixed,16,40,telea,24.670084535269588,8.181955444485387,0.7019409482493411,0.12077566938986004,0.003581894369869472,0.16354950093285092,0.0,16.488129090784202,0.581165278859481,2,24.458872256503668,7.8635077677556104
val_images,none,rot20_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,telea,24.318133431779792,8.181955444485387,0.6765460349484129,0.12077566938986004,0.003848251698451789,0.16354950093285092,0.0,16.136177987294406,0.5557703655585529,2,24.147365302740802,7.8635077677556104
val_images,none,rot25_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,G16_fixed,16,40,telea,24.634320549136312,8.173486873323426,0.7026002689003381,0.12094502537916445,0.0036118026687741254,0.16411873383885894,0.0,16.460833675812886,0.5816552435211737,2,24.422759854359327,7.8484184223472475
val_images,none,rot25_padded,True,0,inpaint,red_gd,restormer-aug,15.0,fixed15p0,0.8,2.0,15.0,0.02,vanilla,0,40,telea,24.265720163431247,8.173486873323426,0.6751469732824057,0.12094502537916445,0.003891279878978403,0.16411873383885894,0.0,16.09223329010782,0.5542019479032412,2,24.099075315903463,7.8484184223472475
