dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,iteration,se,psnr,ssim,effective_denoiser_sigma,sampled_angles
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,1,0.008355060285140235,20.780504121488917,0.4583204812468831,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,2,0.008333946369002225,20.791492986617186,0.45816726818479153,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,3,0.008312089283495168,20.802898004940666,0.4581782987156819,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,4,0.008290819618031943,20.814025336242324,0.4582113397095874,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,5,0.008268882681347999,20.825531697833167,0.4582875920492743,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,6,0.00824581755031339,20.837662787717118,0.4584386293644471,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,7,0.008222670196284755,20.849871285424996,0.4586258953957552,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,8,0.008200432038824635,20.86163266258389,0.45880729197025927,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,9,0.008180573604556884,20.87216243448482,0.458739439025654,15.0,none
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,10,0.008164077616381209,20.880928750723523,0.45856629004993493,15.0,none
