dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,0.008039422813809496,20.94775130079368,0.4502945556537846,1.7300160245548533,0.11800024267167958,True,40,40
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,0.007728677610623069,21.118948082212494,0.46259972004714994,1.9012128059736675,0.1303054070650449,True,40,640
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011922667517372018,19.236265668719362,0.3373684701613373,0.008198369857817833,20.862724929985262,0.4439320793150126,1.6264592612659001,0.1065636091536753,True,40,40
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.011922667517372018,19.236265668719362,0.3373684701613373,0.0077631309285579545,21.099630892106983,0.456707485410986,1.8633652233876212,0.11933901524964868,True,40,640
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.011965871960520926,19.22055648588802,0.33758935120269684,0.008009424682284346,20.96398678208231,0.4472063872625532,1.743430296194287,0.10961703605985634,True,40,40
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.011965871960520926,19.22055648588802,0.33758935120269684,0.0077568610531369205,21.10313987903033,0.46267797379260767,1.8825833931423084,0.12508862258991083,True,40,640
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012052532452993443,19.189216904496433,0.3353948753238342,0.008268036521160541,20.825976136964833,0.43375490811204664,1.6367592324683997,0.09836003278821243,True,40,40
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012052532452993443,19.189216904496433,0.3353948753238342,0.008033013220278093,20.95121518298751,0.446708984375,1.7619982784910775,0.11131410905116579,True,40,640
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012061643301203375,19.18593519059367,0.33741133463461553,0.008174991089441965,20.875127120387216,0.4390937805620503,1.6891919297935445,0.10168244592743475,True,40,40
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012061643301203375,19.18593519059367,0.33741133463461553,0.008394049423338639,20.76028478033743,0.42903127610930125,1.5743495897437576,0.09161994147468572,True,40,640
val_images,none,test001.png,0,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012021906587339785,19.200266509107795,0.33958433180917347,0.008164741025051488,20.8805758596403,0.4397167175619487,1.6803093505325037,0.10013238575277522,True,40,40
val_images,none,test001.png,0,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012021906587339785,19.200266509107795,0.33958433180917347,0.008899503077801777,20.506342424105508,0.413330441801272,1.306075914997713,0.07374610999209852,True,40,640
val_images,none,test001.png,0,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012096182077042179,19.17351684602495,0.33933204136981865,0.008085886900906735,20.922723375330925,0.4443989839702073,1.749206529305976,0.10506694260038862,True,40,40
val_images,none,test001.png,0,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012096182077042179,19.17351684602495,0.33933204136981865,0.00938230682531169,20.276903686217636,0.40340134694786267,1.1033868401926874,0.06406930557804402,True,40,640
val_images,none,test001.png,0,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012071285394184532,19.18246482191079,0.341117718014313,0.008267518957601357,20.82624800566395,0.4333546517275995,1.6437831837531576,0.0922369337132865,True,40,40
val_images,none,test001.png,0,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012071285394184532,19.18246482191079,0.341117718014313,0.009655346266211425,20.152321466584525,0.3989105609031443,0.9698566446737331,0.0577928428888313,True,40,640
val_images,none,test001.png,0,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012044598411876453,19.192076755671362,0.34123591716915264,0.008200930408238152,20.86136873440475,0.43973244645366877,1.669291978733387,0.09849652928451613,True,40,40
val_images,none,test001.png,0,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012044598411876453,19.192076755671362,0.34123591716915264,0.00936545157301456,20.284712774515544,0.3975925149693327,1.092636018844182,0.05635659780018004,True,40,640
val_images,none,test001.png,0,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.01231193137187419,19.096738139773745,0.33959731917271313,0.008289418019109145,20.814759591918012,0.44025598641163516,1.7180214521442672,0.10065866723892203,True,40,40
val_images,none,test001.png,0,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.01231193137187419,19.096738139773745,0.33959731917271313,0.009452386852619283,20.244585125453995,0.3977594482864732,1.1478469856802498,0.058162129113760064,True,40,640
val_images,none,test001.png,0,rot50_padded,50.0,True,0,962,962,154401.0,0.16683991253376007,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012335662799301818,19.08837510759076,0.3390822132790591,0.008275307143361684,20.822158781333115,0.44171042447911607,1.733783673742355,0.102628211200057,True,40,40
val_images,none,test001.png,0,rot50_padded,50.0,True,0,962,962,154401.0,0.16683991253376007,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012335662799301818,19.08837510759076,0.3390822132790591,0.009113070114001042,20.403352883453326,0.39984508175950934,1.314977775862566,0.06076286848045026,True,40,640
val_images,none,test001.png,0,rot55_padded,55.0,True,0,922,922,154404.0,0.1816338151693344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012334124973587957,19.08891655466657,0.3378847050594544,0.008388834040892723,20.762983973113226,0.4331370544156887,1.6740674184466542,0.09525234935623433,True,40,40
val_images,none,test001.png,0,rot55_padded,55.0,True,0,922,922,154404.0,0.1816338151693344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012334124973587957,19.08891655466657,0.3378847050594544,0.009405099988301793,20.266365829804926,0.4004766412301495,1.177449275138354,0.06259193617069508,True,40,640
val_images,none,test001.png,0,rot60_padded,60.0,True,0,878,878,154401.0,0.20029082894325256,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012282432107335364,19.107156278030413,0.3380934881007895,0.008379553250090268,20.7677913485332,0.43217923620961,1.6606350705027886,0.09408574810882053,True,40,40
val_images,none,test001.png,0,rot60_padded,60.0,True,0,878,878,154401.0,0.20029082894325256,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012282432107335364,19.107156278030413,0.3380934881007895,0.009206822511117561,20.358902290854253,0.3998820441577451,1.2517460128238405,0.0617885560569556,True,40,640
val_images,none,test001.png,0,rot65_padded,65.0,True,0,834,834,154398.0,0.2219778150320053,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012255124729898542,19.11682264238015,0.33702483799984456,0.008415258437710495,20.749325420353806,0.4324653250042099,1.6325027779736558,0.09544048700436536,True,40,40
val_images,none,test001.png,0,rot65_padded,65.0,True,0,834,834,154398.0,0.2219778150320053,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012255124729898542,19.11682264238015,0.33702483799984456,0.008865442820664775,20.522995669138094,0.40798579907932747,1.4061730267579442,0.07096096107948291,True,40,640
val_images,none,test001.png,0,rot70_padded,70.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.01224161516362436,19.121612774214903,0.3358573758168771,0.008117896758408814,20.90556476243477,0.44331346867531524,1.7839519882198687,0.10745609285843816,True,40,40
val_images,none,test001.png,0,rot70_padded,70.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.01224161516362436,19.121612774214903,0.3358573758168771,0.008456512036691462,20.728087286361585,0.4258224632283888,1.6064745121466828,0.08996508741151171,True,40,640
val_images,none,test001.png,0,rot75_padded,75.0,True,0,740,740,154404.0,0.2819649279117584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012142037607864352,19.15708426308839,0.33721544819110905,0.008180390941995108,20.87225940840394,0.43959945378681897,1.715175145315552,0.10238400559570993,True,40,40
val_images,none,test001.png,0,rot75_padded,75.0,True,0,740,740,154404.0,0.2819649279117584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012142037607864352,19.15708426308839,0.33721544819110905,0.007970893986160089,20.984929670000128,0.44899328628144347,1.827845406911738,0.11177783809033442,True,40,640
val_images,none,test001.png,0,rot80_padded,80.0,True,0,690,690,154403.0,0.324307918548584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.01216427031276311,19.149139375876697,0.33207630761707996,0.008191443477559535,20.86639561108853,0.4414676508066553,1.7172562352118348,0.10939134318957533,True,40,40
val_images,none,test001.png,0,rot80_padded,80.0,True,0,690,690,154403.0,0.324307918548584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.01216427031276311,19.149139375876697,0.33207630761707996,0.007894422293294576,21.026796457714852,0.4539098272863869,1.877657081838155,0.12183351966930694,True,40,640
val_images,none,test001.png,0,rot85_padded,85.0,True,0,640,640,154400.0,0.376953125,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012062394532514977,19.18566470883136,0.33330042705634716,0.008140711809069381,20.8933761952904,0.4477796611884715,1.70771148645904,0.11447923413212435,True,40,40
val_images,none,test001.png,0,rot85_padded,85.0,True,0,640,640,154400.0,0.376953125,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012062394532514977,19.18566470883136,0.33330042705634716,0.00776274211666127,21.099848411419128,0.4575237815738342,1.914183702587767,0.12422335451748706,True,40,640
val_images,none,test001.png,0,rot90_padded,90.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.012102230138061767,19.17134592707509,0.3343039947523008,0.00806127436507657,20.935962974042916,0.4519975583059695,1.7646170469678246,0.11769356355366867,True,40,40
val_images,none,test001.png,0,rot90_padded,90.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.012102230138061767,19.17134592707509,0.3343039947523008,0.007730150509064061,21.118120501153555,0.4644035154403145,1.9467745740784643,0.13009952068801367,True,40,640
val_images,none,test002.png,1,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.00769658534357169,21.137019105887124,0.29305466670390734,0.00362762315385344,24.40377834815496,0.7113531182602444,3.266759242267838,0.41829845155633705,True,40,40
val_images,none,test002.png,1,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.00769658534357169,21.137019105887124,0.29305466670390734,0.003592549907965905,24.445971899011436,0.7195974787242311,3.3089527931243126,0.42654281202032374,True,40,640
val_images,none,test002.png,1,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007749211954409736,21.107424602359814,0.2952910658076258,0.0035488869602388648,24.499078336550394,0.7092271668167127,3.39165373419058,0.4139361010090869,True,40,40
val_images,none,test002.png,1,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007749211954409736,21.107424602359814,0.2952910658076258,0.003626796846663957,24.404767705413782,0.7060314177898535,3.2973431030539686,0.41074035198222764,True,40,640
val_images,none,test002.png,1,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007781648592937394,21.089283851480623,0.29192842755645937,0.0036397454056157023,24.389289934946788,0.701497258796785,3.3000060834661653,0.40956883124032567,True,40,40
val_images,none,test002.png,1,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007781648592937394,21.089283851480623,0.29192842755645937,0.0036058086997277417,24.429973177845664,0.7089805168941018,3.340689326365041,0.41705208933764243,True,40,640
val_images,none,test002.png,1,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007822785846927622,21.06638558641952,0.29242238099093265,0.0036751991232442114,24.347191257543624,0.6994814098931347,3.280805671124103,0.407059028902202,True,40,40
val_images,none,test002.png,1,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007822785846927622,21.06638558641952,0.29242238099093265,0.003635294227402445,24.394604331774083,0.7048712759067357,3.3282187453545617,0.41244889491580305,True,40,640
val_images,none,test002.png,1,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.00780071428799126,21.07865628446686,0.29538107739525515,0.003692065022836531,24.327306589975784,0.6989802496292075,3.2486503055089244,0.4035991722339523,True,40,40
val_images,none,test002.png,1,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.00780071428799126,21.07865628446686,0.29538107739525515,0.003703957467998902,24.31334008901397,0.7012773621428895,3.2346838045471102,0.40589628474763434,True,40,640
val_images,none,test002.png,1,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.0078050240808085385,21.076257526725264,0.2954973310336006,0.0037019145335714563,24.315736120625232,0.6966820985155633,3.2394785938999675,0.4011847674819627,True,40,40
val_images,none,test002.png,1,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.0078050240808085385,21.076257526725264,0.2954973310336006,0.00373511580540367,24.276959285559144,0.7009905554979857,3.2007017588338798,0.4054932244643851,True,40,640
val_images,none,test002.png,1,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007767836812864313,21.09699906686171,0.29829498765382123,0.003758686045908557,24.24963948354759,0.6906706403821243,3.1526404166858804,0.3923756527283031,True,40,40
val_images,none,test002.png,1,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007767836812864313,21.09699906686171,0.29829498765382123,0.0037465422635251378,24.263693639034017,0.6991172988180052,3.1666945721723074,0.400822311164184,True,40,640
val_images,none,test002.png,1,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007792551162881302,21.083203376319265,0.2974675720912535,0.003911103007436814,24.07700745803867,0.689497739305722,2.9938040817194036,0.3920301672144685,True,40,40
val_images,none,test002.png,1,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007792551162881302,21.083203376319265,0.2974675720912535,0.0038037075379835092,24.197928827763683,0.6959861039150287,3.114725451444418,0.39851853182377517,True,40,640
val_images,none,test002.png,1,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007795785588141358,21.081401140346095,0.29851814029721696,0.003876821297696026,24.11524217360909,0.6922817970809396,3.033841033262995,0.39376365678372266,True,40,40
val_images,none,test002.png,1,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007795785588141358,21.081401140346095,0.29851814029721696,0.003911468460596612,24.07660167257168,0.6897962017241044,2.995200532225585,0.3912780614268874,True,40,640
val_images,none,test002.png,1,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.00796244735698003,20.98953425946849,0.29664261405966574,0.0038346424285659337,24.162751267712586,0.687228060621275,3.173217008244098,0.3905854465616092,True,40,40
val_images,none,test002.png,1,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.00796244735698003,20.98953425946849,0.29664261405966574,0.004052420816572258,23.92285462416943,0.6834873125323918,2.9333203647009434,0.38684469847272607,True,40,640
val_images,none,test002.png,1,rot50_padded,50.0,True,0,962,962,154401.0,0.16683991253376007,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007858654770846287,21.046517892785054,0.2988619376250801,0.003808563548861811,24.192387934670098,0.6934733360697146,3.1458700418850434,0.3946113984446345,True,40,40
val_images,none,test002.png,1,rot50_padded,50.0,True,0,962,962,154401.0,0.16683991253376007,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007858654770846287,21.046517892785054,0.2988619376250801,0.003887253721260913,24.103571120192523,0.6901547654322187,3.0570532274074687,0.39129282780713853,True,40,640
val_images,none,test002.png,1,rot55_padded,55.0,True,0,922,922,154404.0,0.1816338151693344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.00782365522984751,21.06590296138894,0.29892117432190873,0.003816034549203105,24.183877019814805,0.6917480380203881,3.1179740584258653,0.39282686369847936,True,40,40
val_images,none,test002.png,1,rot55_padded,55.0,True,0,922,922,154404.0,0.1816338151693344,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.00782365522984751,21.06590296138894,0.29892117432190873,0.0038663817145028223,24.126952717977144,0.6926832368332426,3.061049756588204,0.3937620625113339,True,40,640
val_images,none,test002.png,1,rot60_padded,60.0,True,0,878,878,154401.0,0.20029082894325256,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007793506488380905,21.0826709869201,0.29908092908238937,0.003913005725806908,24.074895166062134,0.6899385569070149,2.9922241791420348,0.3908576278246255,True,40,40
val_images,none,test002.png,1,rot60_padded,60.0,True,0,878,878,154401.0,0.20029082894325256,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007793506488380905,21.0826709869201,0.29908092908238937,0.003772425752383404,24.233792991063822,0.6970547166954877,3.1511220041437227,0.3979737876130983,True,40,640
val_images,none,test002.png,1,rot65_padded,65.0,True,0,834,834,154398.0,0.2219778150320053,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.007676137630355072,21.14857247124698,0.2986984378440783,0.0036901946073925017,24.32950730131426,0.6999569497338048,3.1809348300672795,0.40125851188972655,True,40,40
val_images,none,test002.png,1,rot65_padded,65.0,True,0,834,834,154398.0,0.2219778150320053,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.007676137630355072,21.14857247124698,0.2986984378440783,0.0037108278408571112,24.30529193724544,0.7000419067118745,3.15671946599846,0.4013434688677962,True,40,640
val_images,none,test002.png,1,rot70_padded,70.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,False,0,40,adjoint,0.0076478439498171135,21.16460982189167,0.29860056675399455,0.003727079822155179,24.28631305944764,0.6988705500845213,3.1217032375559697,0.4002699833305267,True,40,40
val_images,none,test002.png,1,rot70_padded,70.0,True,0,788,788,154399.0,0.24865205585956573,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,False,16,40,adjoint,0.0076478439498171135,21.16460982189167,0.29860056675399455,0.003696084909648662,24.322580603501184,0.7004105434620691,3.1579707816095137,0.40180997670807456,True,40,640
