dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.782459990611965,20.177377191062973,0.5910985993856905,0.31267448984300616,0.005660613759294487,0.009835116474942883,0.0,2.60508279954899,0.2784241095426843,2,22.471364773234505,20.07220492468036
val_images,none,rot0_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.67576482447432,20.177377191062973,0.5808238369570144,0.31267448984300616,0.005833522983831468,0.009835116474942883,0.0,2.4983876334113457,0.2681493471140083,2,22.340690866917736,20.07220492468036
val_images,none,rot10_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.766556528437995,20.15492016868432,0.5858292453433547,0.3147588893795781,0.005681334876432331,0.00987376027672916,0.0,2.6116363597536747,0.2710703559637766,2,22.455496112331463,20.055174211470263
val_images,none,rot10_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.67663835851455,20.15492016868432,0.5743518230296691,0.3147588893795781,0.005824585043950024,0.00987376027672916,0.0,2.521718189830226,0.259592933650091,2,22.347350092791057,20.055174211470263
val_images,none,rot15_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.672909757380797,20.127801245457977,0.5757901301408679,0.3139086281573834,0.005834153723840269,0.009937659149960532,0.0,2.5451085119228196,0.2618815019834844,2,22.340221318587822,20.02715903125793
val_images,none,rot15_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.586583697254227,20.127801245457977,0.5666181590025907,0.3139086281573834,0.005971617822202376,0.009937659149960532,0.0,2.4587824517962513,0.2527095308452072,2,22.23907994486816,20.02715903125793
val_images,none,rot20_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.5368124346757,20.132295737530264,0.5651543191260954,0.31639620601493534,0.006049003445668771,0.009931178794597317,0.0,2.404516697145434,0.24875811311116003,2,22.18316168107212,20.029991992785593
val_images,none,rot20_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.601216855181498,20.132295737530264,0.5690370150956289,0.31639620601493534,0.005933528056139248,0.009931178794597317,0.0,2.4689211176512345,0.25264080908069353,2,22.266869997727134,20.029991992785593
val_images,none,rot25_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.391650854832328,20.13826201791653,0.5571604986496288,0.317540831421387,0.006317309441602723,0.009913465334074162,0.0,2.2533888369157964,0.23961966722824182,2,21.994678494806376,20.037745077349697
val_images,none,rot25_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.598155990132767,20.13826201791653,0.568199408038756,0.317540831421387,0.0059333277793114725,0.009913465334074162,0.0,2.4598939722162356,0.25065857661736896,2,22.267016589414723,20.037745077349697
val_images,none,rot30_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.270298662625827,20.13525795644333,0.5512593228829339,0.31881351451181994,0.006564424544418414,0.009932009444953246,0.0,2.1350407061824974,0.232445808371114,2,21.828033393593547,20.029628761201792
val_images,none,rot30_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.586181429439257,20.13525795644333,0.5675348121761659,0.31881351451181994,0.005922286473407646,0.009932009444953246,0.0,2.450923472995928,0.24872129766434586,2,22.275105887043985,20.029628761201792
val_images,none,rot35_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.175125147174104,20.13283409911503,0.5474483324090865,0.31929264505278326,0.0067295269020974675,0.009931918278532917,0.0,2.0422910480590755,0.22815568735630323,2,21.720154663897734,20.029668625496342
val_images,none,rot35_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.45162773185131,20.13283409911503,0.5614261955166607,0.31929264505278326,0.006089310982519086,0.009931918278532917,0.0,2.3187936327362806,0.2421335504638775,2,22.154318458595476,20.029668625496342
val_images,none,rot40_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.180657223543612,20.136738948008727,0.5436943583467185,0.3198770287331848,0.006638460016805585,0.009920192000008906,0.0,2.0439182755348835,0.22381732961353373,2,21.779326561398214,20.03479922227126
val_images,none,rot40_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.48830545400692,20.136738948008727,0.5660071217673042,0.3198770287331848,0.006038875852967089,0.009920192000008906,0.0,2.351566505998191,0.2461300930341194,2,22.1904389851315,20.03479922227126
val_images,none,rot45_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.083719874811713,20.043136199621117,0.5406233804094325,0.31811996661618946,0.00675240383459577,0.01013718936442711,0.0,2.0405836751905966,0.22250341379324307,2,21.705415921685457,19.940824407346383
val_images,none,rot45_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.4887554298153,20.043136199621117,0.5637420235164551,0.31811996661618946,0.006062030223837539,0.01013718936442711,0.0,2.4456192301941826,0.24562205690026562,2,22.173819026742457,19.940824407346383
val_images,none,rot50_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.253462001822925,20.067446500187906,0.544999923595864,0.3189720754520696,0.006500161917630977,0.010097158785074053,0.0,2.1860155016350173,0.2260278481437944,2,21.870758250405565,19.958008140939306
val_images,none,rot50_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.507273358001605,20.067446500187906,0.5675918802744153,0.3189720754520696,0.006041935346111748,0.010097158785074053,0.0,2.4398268578136992,0.24861980482234575,2,22.188239263611717,19.958008140939306
val_images,none,rot55_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.196659273891036,20.077409758027756,0.5465799390316961,0.31840293969068156,0.006635740851402307,0.010078890101717733,0.0,2.119249515863279,0.22817699934101449,2,21.781105830159127,19.965872902356242
val_images,none,rot55_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.473430496464015,20.077409758027756,0.5624425462180385,0.31840293969068156,0.0061024342950479135,0.010078890101717733,0.0,2.3960207384362597,0.24403960652735684,2,22.144968879372783,19.965872902356242
val_images,none,rot5_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.75219929876038,20.171845135539588,0.5813694516004198,0.31632976798448154,0.005694963887610956,0.009835939735890878,0.0,2.580354163220795,0.26503968361593816,2,22.445090254849713,20.071841408168325
val_images,none,rot5_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.68090163326783,20.171845135539588,0.5765796230658626,0.31632976798448154,0.005873628409028349,0.009835939735890878,0.0,2.50905649772824,0.2602498550813811,2,22.31093532279204,20.071841408168325
val_images,none,rot60_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.296347640959038,20.094913632475254,0.5484683804266164,0.3185872085915894,0.006489624131750483,0.010037969297858135,0.0,2.2014340084837816,0.22988117183502696,2,21.87780456086198,19.98354136985421
val_images,none,rot60_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.421343257297668,20.094913632475254,0.5610588965583124,0.3185872085915894,0.006146279487948588,0.010037969297858135,0.0,2.3264296248224117,0.24247168796672303,2,22.11387695086141,19.98354136985421
val_images,none,rot65_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.414143803191767,20.132697556813564,0.554013852895601,0.3178616379219614,0.006288135330760943,0.009965631180126807,0.0,2.281446246378202,0.23615221497363956,2,22.0147812015404,20.014951897517275
val_images,none,rot65_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.539416360834032,20.132697556813564,0.5662111373690074,0.3178616379219614,0.006052726522551498,0.009965631180126807,0.0,2.4067188040204677,0.24834949944704596,2,22.180489481640922,20.014951897517275
val_images,none,rot70_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.525333944931383,20.143111298053284,0.563116503345229,0.3172289712854358,0.006076298473170062,0.009944729556720737,0.0,2.3822226468780983,0.24588753205979313,2,22.163609013551614,20.02407022858386
val_images,none,rot70_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.595938910941207,20.143111298053284,0.5710920093799182,0.3172289712854358,0.005922488290281996,0.009944729556720737,0.0,2.452827612887919,0.2538630380944824,2,22.27495789274837,20.02407022858386
val_images,none,rot75_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.65926635479866,20.183359882761785,0.5752954202125593,0.31930718531012797,0.00582880504526427,0.009855500892241294,0.0,2.4759064720368738,0.2559882349024313,2,22.34420470187823,20.063212984055042
val_images,none,rot75_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.652591787418718,20.183359882761785,0.5715622905251807,0.31930718531012797,0.0058918751810768145,0.009855500892241294,0.0,2.4692319046569313,0.25225510521505273,2,22.297464622271953,20.063212984055042
val_images,none,rot80_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.70130125525655,20.191162208875095,0.5798571504034895,0.3163346663236789,0.005772742931836149,0.009846151496990627,0.0,2.510139046381454,0.2635224840798106,2,22.386177817999673,20.067334862759502
val_images,none,rot80_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.639641503946454,20.191162208875095,0.5715093729963148,0.3163346663236789,0.005905732948980812,0.009846151496990627,0.0,2.4484792950713583,0.25517470667263586,2,22.287261952656575,20.067334862759502
val_images,none,rot85_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.734805502150852,20.233877722421212,0.5806679333306347,0.3173654317114637,0.00570944494534033,0.0097530649610134,0.0,2.50092777972964,0.263302501619171,2,22.434061104744476,20.108588831239317
val_images,none,rot85_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.678995896574403,20.233877722421212,0.5757482087920984,0.3173654317114637,0.005858936210988099,0.0097530649610134,0.0,2.4451181741531904,0.25838277708063473,2,22.321812303363444,20.108588831239317
val_images,none,rot90_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,G16_fixed,16,40,adjoint,22.789977570277983,20.241285489463763,0.5922005393018828,0.3181004358172874,0.005654801226101697,0.009748098457279057,0.0,2.5486920808142166,0.2741001034845953,2,22.475826565076517,20.110800930247507
val_images,none,rot90_padded,True,0,blur,red_gd,restormer,15.0,fixed15p0,0.8,8.0,15.0,0.02,vanilla,0,40,adjoint,22.68008303498859,20.241285489463763,0.5838472396956625,0.3181004358172874,0.005835938481932294,0.009748098457279057,0.0,2.4387975455248263,0.2657468038783751,2,22.338892947597643,20.110800930247507
