dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,26.65787347442567,8.177257917419375,0.7990041707550469,0.1199443737411027,0.0024678253281152853,0.16359144762967046,0.0,18.480615557006296,0.6790597970139443,2,26.076855827750403,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.241653182174225,8.177257917419375,0.7951329604001918,0.1199443737411027,0.002645345562814623,0.16359144762967046,0.0,18.06439526475485,0.675188586659089,2,25.775175878175055,7.862394044808809
val_images,none,rot10_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,26.825842169644346,8.17305427044527,0.794627482545676,0.12036286029902268,0.0023862731854138904,0.1640400692252984,0.0,18.652787899199076,0.6742646222466533,2,26.222798389027734,7.850500561112125
val_images,none,rot10_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.616520527474194,8.17305427044527,0.7889140451448482,0.12036286029902268,0.0024977591539855574,0.1640400692252984,0.0,18.443466257028923,0.6685511848458254,2,26.024494407168177,7.850500561112125
val_images,none,rot15_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,26.855239900414162,8.198952480270563,0.7946955199562824,0.12050156983686852,0.0023752814871041885,0.16296121389754697,0.0,18.6562874201436,0.6741939501194139,2,26.242849161224157,7.879157489376743
val_images,none,rot15_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.716588763125607,8.198952480270563,0.7902366772587435,0.12050156983686852,0.002462493422117876,0.16296121389754697,0.0,18.517636282855044,0.6697351074218749,2,26.08624920928513,7.879157489376743
val_images,none,rot20_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,26.9137768569218,8.181955444485387,0.796498464408772,0.12077566938986004,0.002353497612792055,0.16354950093285092,0.0,18.73182141243641,0.6757227950189121,2,26.282862378722594,7.8635077677556104
val_images,none,rot20_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.747892701208098,8.181955444485387,0.79182798605399,0.12077566938986004,0.002439140690573687,0.16354950093285092,0.0,18.565937256722712,0.6710523166641299,2,26.12763148690941,7.8635077677556104
val_images,none,rot25_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,26.903462683430224,8.173486873323426,0.7967374987451588,0.12094502537916445,0.0023576479974422235,0.16411873383885894,0.0,18.729975810106797,0.6757924733659944,2,26.275210356192282,7.8484184223472475
val_images,none,rot25_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.7420023609693,8.173486873323426,0.792061444111799,0.12094502537916445,0.0024429638814024985,0.16411873383885894,0.0,18.568515487645872,0.6711164187326346,2,26.120829539121736,7.8484184223472475
val_images,none,rot30_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,G16_fixed,16,20,telea,27.01740455088997,8.172694386999094,0.7978208994494819,0.12077837850145726,0.0023213372205823195,0.16397299969134554,0.0,18.84471016389088,0.6770425209480246,2,26.342617650158804,7.852276583573772
val_images,none,rot30_padded,True,0,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.1,0.5,0.0,0.15,vanilla,0,20,telea,26.84991006553178,8.172694386999094,0.7940100793393783,0.12077837850145726,0.002401945282140544,0.16397299969134554,0.0,18.67721567853269,0.6732317008379209,2,26.19436890328241,7.852276583573772
