dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_pad,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,init_method,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,0.008993219031733926,20.46084829124624,0.47441478479737825,1.2431130150074132,0.1421204718152732,True,20,20
val_images,none,test001.png,0,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.011973647606314078,19.217735276238827,0.33229431298210504,0.006861462205403867,21.635833245162786,0.530806097029812,2.4180979689239592,0.19851178404770692,True,20,320
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011922667517372018,19.236265668719362,0.3373684701613373,0.008713922177133057,20.597863230085505,0.4804285482392793,1.3615975613661426,0.14306007807794197,True,20,20
val_images,none,test001.png,0,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.011922667517372018,19.236265668719362,0.3373684701613373,0.006827318883857442,21.65749812064774,0.5283202049748376,2.421232451928379,0.19095173481350025,True,20,320
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.011965871960520926,19.22055648588802,0.33758935120269684,0.008784239077031778,20.562958527183582,0.4807263702777796,1.3424020412955606,0.14313701907508275,True,20,20
val_images,none,test001.png,0,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.011965871960520926,19.22055648588802,0.33758935120269684,0.006819621981266151,21.662396980708202,0.5295319411701845,2.4418404948201804,0.1919425899674877,True,20,320
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012052532452993443,19.189216904496433,0.3353948753238342,0.008689605238524125,20.6099995273716,0.4818155966645078,1.4207826228751657,0.14642072134067358,True,20,20
val_images,none,test001.png,0,rot15_padded,15.0,True,0,740,740,154400.0,0.28195762634277344,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012052532452993443,19.189216904496433,0.3353948753238342,0.006851502255454583,21.642141949711657,0.5273578671470207,2.452925045215224,0.1919629918231865,True,20,320
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012061643301203375,19.18593519059367,0.33741133463461553,0.008705069042403934,20.60227780018662,0.48562789226290326,1.4163426095929488,0.14821655762828773,True,20,20
val_images,none,test001.png,0,rot20_padded,20.0,True,0,788,788,154399.0,0.24865205585956573,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012061643301203375,19.18593519059367,0.33741133463461553,0.006843679211410048,21.647103556446087,0.5284820598740925,2.4611683658524157,0.19107072523947694,True,20,320
val_images,none,test001.png,0,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012021906587339785,19.200266509107795,0.33958433180917347,0.008762344943617148,20.57379654129681,0.48304400809251175,1.3735300321890165,0.14345967628333828,True,20,20
val_images,none,test001.png,0,rot25_padded,25.0,True,0,834,834,154402.0,0.22198356688022614,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012021906587339785,19.200266509107795,0.33958433180917347,0.006862373602572343,21.635256416982664,0.5275268657465577,2.4349899078748685,0.18794253393738425,True,20,320
val_images,none,test001.png,0,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012096182077042179,19.17351684602495,0.33933204136981865,0.00886474609375,20.52333699054882,0.48309367916126944,1.3498201445238713,0.1437616377914508,True,20,20
val_images,none,test001.png,0,rot30_padded,30.0,True,0,878,878,154400.0,0.2002895325422287,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012096182077042179,19.17351684602495,0.33933204136981865,0.006834468545073673,21.65295250944817,0.5286275501943005,2.479435663423221,0.18929550882448187,True,20,320
val_images,none,test001.png,0,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012071285394184532,19.18246482191079,0.341117718014313,0.010358259547486722,19.8471321104075,0.44574657556426284,0.6646672884967089,0.10462885754994983,True,20,20
val_images,none,test001.png,0,rot35_padded,35.0,True,0,922,922,154405.0,0.18163499236106873,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012071285394184532,19.18246482191079,0.341117718014313,0.006846823068037386,21.645108947948493,0.5276736201062142,2.462644126037702,0.1865559020919012,True,20,320
val_images,none,test001.png,0,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012044598411876453,19.192076755671362,0.34123591716915264,0.01052530019750978,19.777655085789707,0.44594337358078745,0.585578330118345,0.10470745641163481,True,20,20
val_images,none,test001.png,0,rot40_padded,40.0,True,0,962,962,154399.0,0.16683775186538696,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012044598411876453,19.192076755671362,0.34123591716915264,0.006863383732802269,21.634617189616282,0.526521534708774,2.44254043394492,0.18528561753962142,True,20,320
val_images,none,test001.png,0,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01231193137187419,19.096738139773745,0.33959731917271313,0.010550567318534999,19.76724187126011,0.445345296708992,0.6705037314863667,0.10574797753627885,True,20,20
val_images,none,test001.png,0,rot45_padded,45.0,True,0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.01231193137187419,19.096738139773745,0.33959731917271313,0.006972455224647334,21.566142659828195,0.5209495052150817,2.46940452005445,0.18135218604236852,True,20,320
val_images,none,test001.png,0,rot50_padded,50.0,True,0,962,962,154401.0,0.16683991253376007,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012335662799301818,19.08837510759076,0.3390822132790591,0.010422327403562802,19.820352881710512,0.44793164390127005,0.731977774119752,0.10884943062221097,True,20,20
val_images,none,test001.png,0,rot50_padded,50.0,True,0,962,962,154401.0,0.16683991253376007,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012335662799301818,19.08837510759076,0.3390822132790591,0.0068588366038351434,21.637495430954434,0.5272958076696395,2.549120323363674,0.18821359439058039,True,20,320
val_images,none,test001.png,0,rot55_padded,55.0,True,0,922,922,154404.0,0.1816338151693344,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012334124973587957,19.08891655466657,0.3378847050594544,0.010480347138229904,19.796243320735826,0.44239837131810056,0.7073267660692544,0.10451366625864617,True,20,20
val_images,none,test001.png,0,rot55_padded,55.0,True,0,922,922,154404.0,0.1816338151693344,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012334124973587957,19.08891655466657,0.3378847050594544,0.006857767280761833,21.638172568116026,0.5265312002117821,2.5492560134494546,0.18864649515232773,True,20,320
val_images,none,test001.png,0,rot60_padded,60.0,True,0,878,878,154401.0,0.20029082894325256,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012282432107335364,19.107156278030413,0.3380934881007895,0.008930839450471094,20.491077178669798,0.47904538142563846,1.383920900639385,0.14095189332484898,True,20,20
val_images,none,test001.png,0,rot60_padded,60.0,True,0,878,878,154401.0,0.20029082894325256,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012282432107335364,19.107156278030413,0.3380934881007895,0.006833564892259037,21.65352677118571,0.5297310756568934,2.5463704931552975,0.19163758755610388,True,20,320
val_images,none,test001.png,0,rot65_padded,65.0,True,0,834,834,154398.0,0.2219778150320053,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012255124729898542,19.11682264238015,0.33702483799984456,0.008822468612216885,20.544098780589827,0.4827395655222218,1.4272761382096775,0.14571472752237724,True,20,20
val_images,none,test001.png,0,rot65_padded,65.0,True,0,834,834,154398.0,0.2219778150320053,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012255124729898542,19.11682264238015,0.33702483799984456,0.006836363644758594,21.651748440332753,0.5282364813663389,2.534925797952603,0.19121164336649438,True,20,320
val_images,none,test001.png,0,rot70_padded,70.0,True,0,788,788,154399.0,0.24865205585956573,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01224161516362436,19.121612774214903,0.3358573758168771,0.008727251354192304,20.591225157066233,0.48479593658313846,1.4696123828513308,0.14893856076626139,True,20,20
val_images,none,test001.png,0,rot70_padded,70.0,True,0,788,788,154399.0,0.24865205585956573,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.01224161516362436,19.121612774214903,0.3358573758168771,0.006836186544025139,21.651860948782492,0.5281236135758651,2.530248174567589,0.19226623775898805,True,20,320
val_images,none,test001.png,0,rot75_padded,75.0,True,0,740,740,154404.0,0.2819649279117584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012142037607864352,19.15708426308839,0.33721544819110905,0.008609304390794603,20.65031936983459,0.4852786763943939,1.4932351067462015,0.14806322820328488,True,20,20
val_images,none,test001.png,0,rot75_padded,75.0,True,0,740,740,154404.0,0.2819649279117584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012142037607864352,19.15708426308839,0.33721544819110905,0.0068398145550795314,21.649556729578716,0.5281730476542058,2.4924724664903266,0.19095759946309676,True,20,320
val_images,none,test001.png,0,rot80_padded,80.0,True,0,690,690,154403.0,0.324307918548584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.01216427031276311,19.149139375876697,0.33207630761707996,0.008663558631369694,20.62303681133804,0.4837775881135729,1.4738974354613426,0.15170128049649295,True,20,20
val_images,none,test001.png,0,rot80_padded,80.0,True,0,690,690,154403.0,0.324307918548584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.01216427031276311,19.149139375876697,0.33207630761707996,0.00681474084482855,21.665506551339217,0.5294446088320823,2.51636717546252,0.19736830121500237,True,20,320
val_images,none,test001.png,0,rot85_padded,85.0,True,0,640,640,154400.0,0.376953125,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012062394532514977,19.18566470883136,0.33330042705634716,0.00876950278801004,20.57025029501123,0.47836296753562174,1.3845855861798704,0.14506254047927458,True,20,20
val_images,none,test001.png,0,rot85_padded,85.0,True,0,640,640,154400.0,0.376953125,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012062394532514977,19.18566470883136,0.33330042705634716,0.006832785334611804,21.65402223278192,0.5283746053270726,2.4683575239505586,0.19507417827072543,True,20,320
val_images,none,test001.png,0,rot90_padded,90.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.012102230138061767,19.17134592707509,0.3343039947523008,0.008990639285296484,20.462094263751617,0.4765396293579705,1.2907483366765256,0.14223563460566968,True,20,20
val_images,none,test001.png,0,rot90_padded,90.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.012102230138061767,19.17134592707509,0.3343039947523008,0.006870113013101842,21.630361187537215,0.5329651969546829,2.459015260462124,0.1986612022023821,True,20,320
val_images,none,test002.png,1,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.00769658534357169,21.137019105887124,0.29305466670390734,0.0051627964208507795,22.871149996950333,0.4534726135193425,1.7341308910632094,0.16041794681543514,True,20,20
val_images,none,test002.png,1,rot0_padded,0.0,True,0,588,588,154401.0,0.4465760886669159,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.00769658534357169,21.137019105887124,0.29305466670390734,0.003176329206169123,24.98074492071983,0.6793054793200821,3.8437258148327054,0.3862508126161748,True,20,320
val_images,none,test002.png,1,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.007749211954409736,21.107424602359814,0.2952910658076258,0.005024564265664367,22.989015946483093,0.4668391387138351,1.8815913441232794,0.17154807290620927,True,20,20
val_images,none,test002.png,1,rot5_padded,5.0,True,0,640,640,154397.0,0.3769457936286926,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,adjoint,0.007749211954409736,21.107424602359814,0.2952910658076258,0.003153736929810509,25.011745363389544,0.6797811101413888,3.90432076102973,0.38449004433376294,True,20,320
val_images,none,test002.png,1,rot10_padded,10.0,True,0,690,690,154403.0,0.324307918548584,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,adjoint,0.007781648592937394,21.089283851480623,0.29192842755645937,0.004833512547622942,23.157371496569354,0.48248379443728423,2.068087645088731,0.19055536688082486,True,20,20
