dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,adjoint,23.308289082941307,20.177377191062973,0.605055788174947,0.31267448984300616,0.005018895705786495,0.009835116474942883,0.0,3.1309118918783323,0.2923812983319408,2,22.99391828998563,20.07220492468036
val_images,none,rot0_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.665999144098286,20.177377191062973,0.46394369915836037,0.31267448984300616,0.007078007726292353,0.009835116474942883,0.0,1.4886219530353113,0.15126920931535418,2,21.500889676261245,20.07220492468036
val_images,none,rot10_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,adjoint,23.35871821344817,20.15492016868432,0.6126626881035342,0.3147588893795781,0.004971038013335537,0.00987376027672916,0.0,3.2037980447638503,0.2979037987239561,2,23.03552915815187,20.055174211470263
val_images,none,rot10_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.860165011876468,20.15492016868432,0.4816050823575319,0.3147588893795781,0.00680887581232736,0.00987376027672916,0.0,1.7052448431921459,0.1668461929779538,2,21.669245868838978,20.055174211470263
val_images,none,rot15_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,adjoint,23.32608468299585,20.127801245457977,0.6073040803108809,0.3139086281573834,0.0050032434809393215,0.009937659149960532,0.0,3.1982834375378744,0.2933954521534974,2,23.007483618266853,20.02715903125793
val_images,none,rot15_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.884300676527836,20.127801245457977,0.48671584055213735,0.3139086281573834,0.006760874338100611,0.009937659149960532,0.0,1.756499431069857,0.17280721239475388,2,21.699971360616136,20.02715903125793
val_images,none,rot20_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,adjoint,23.346619569071446,20.132295737530264,0.6123931289629467,0.31639620601493534,0.004986270724700593,0.009931178794597317,0.0,3.214323831541181,0.29599692294801133,2,23.022241455972402,20.029991992785593
val_images,none,rot20_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.898901152030867,20.132295737530264,0.4971644084482412,0.31639620601493534,0.006748152445948181,0.009931178794597317,0.0,1.766605414500603,0.18076820243330588,2,21.70815114926088,20.029991992785593
val_images,none,rot25_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,adjoint,23.364154028564094,20.13826201791653,0.6175730600963718,0.317540831421387,0.00497880860734833,0.009913465334074162,0.0,3.225892010647563,0.3000322286749848,2,23.028745683158476,20.037745077349697
val_images,none,rot25_padded,True,0,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,adjoint,21.912135802557636,20.13826201791653,0.5086615164878046,0.317540831421387,0.006746669996634192,0.009913465334074162,0.0,1.7738737846411077,0.19112068506641755,2,21.70910532196244,20.037745077349697
