dataset,eval_mask,input_pose,input_rotate_expand,input_pad,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,init_method,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,none,rot0_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.3466300326922,8.177257917419375,0.6928121367008633,0.1199443737411027,0.0038258839411434145,0.16359144762967046,0.0,16.169372115272825,0.5728677629597606,2,24.172682085077525,7.862394044808809
val_images,none,rot0_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.25274129629524,8.177257917419375,0.6879602716708442,0.1199443737411027,0.0039000257588828156,0.16359144762967046,0.0,16.07548337887587,0.5680158979297414,2,24.08932524536649,7.862394044808809
val_images,none,rot10_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.219110405211836,8.17305427044527,0.6873341393949599,0.12036286029902268,0.003935815997651287,0.1640400692252984,0.0,16.046056134766566,0.5669712790959371,2,24.049652133587422,7.850500561112125
val_images,none,rot10_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.093401281659958,8.17305427044527,0.6819276048311885,0.12036286029902268,0.004044707577772837,0.1640400692252984,0.0,15.920347011214687,0.5615647445321659,2,23.931128713200224,7.850500561112125
val_images,none,rot15_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.243740858578096,8.198952480270563,0.6869259532869171,0.12050156983686852,0.003940369403424041,0.16296121389754697,0.0,16.044788378307537,0.5664243834500486,2,24.044630618423454,7.879157489376743
val_images,none,rot15_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.13605475371839,8.198952480270563,0.6821820858970207,0.12050156983686852,0.0040366046292794186,0.16296121389754697,0.0,15.937102273447826,0.5616805160601521,2,23.93983786069258,7.879157489376743
val_images,none,rot20_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.213694484770848,8.181955444485387,0.6867911780111917,0.12077566938986004,0.0039596223087812465,0.16354950093285092,0.0,16.03173904028546,0.5660155086213317,2,24.023462375681586,7.8635077677556104
val_images,none,rot20_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.066761475634934,8.181955444485387,0.6810258040855187,0.12077566938986004,0.0040901678266415265,0.16354950093285092,0.0,15.884806031149548,0.5602501346956587,2,23.882588717753016,7.8635077677556104
val_images,none,rot25_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.190364112442143,8.173486873323426,0.6880945569438868,0.12094502537916445,0.0039847648411985735,0.16411873383885894,0.0,16.016877239118717,0.5671495315647224,2,23.995973031720826,7.8484184223472475
val_images,none,rot25_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.03225811716846,8.173486873323426,0.6822800627582544,0.12094502537916445,0.004123338249266728,0.16411873383885894,0.0,15.858771243845034,0.56133503737909,2,23.847510373149213,7.8484184223472475
val_images,none,rot30_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.241310374118093,8.172694386999094,0.6880660520563472,0.12077837850145726,0.003959123581802289,0.16397299969134554,0.0,16.068615987119,0.56728767355489,2,24.02400941779714,7.852276583573772
val_images,none,rot30_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.072293364981203,8.172694386999094,0.6819904165317358,0.12077837850145726,0.004108440418935193,0.16397299969134554,0.0,15.899598977982109,0.5612120380302785,2,23.863230068320874,7.852276583573772
val_images,none,rot35_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.224642977636297,8.172513653356802,0.6887985836760468,0.1212107882375085,0.003962739982937273,0.163898368181487,0.0,16.052129324279495,0.5675877954385383,2,24.02004423169278,7.854253703666798
val_images,none,rot35_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.044725897601985,8.172513653356802,0.6821203521178071,0.1212107882375085,0.004123528021218296,0.163898368181487,0.0,15.872212244245185,0.5609095638802986,2,23.847310498654597,7.854253703666798
val_images,none,rot40_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.21939797997723,8.163333052933204,0.6882569673378713,0.12143155173446718,0.003958321152576887,0.16426823408324373,0.0,16.05606492704403,0.5668254156034042,2,24.024889728547876,7.844464115873036
val_images,none,rot40_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.04361164088428,8.163333052933204,0.681548167208013,0.12143155173446718,0.004117072783997093,0.16426823408324373,0.0,15.880278587951073,0.5601166154735457,2,23.854114552252735,7.844464115873036
val_images,none,rot45_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.297378404337884,8.158750621561962,0.685451142013799,0.12014891502615639,0.003913121298824329,0.16439611351406613,0.0,16.13862778277592,0.5653022269876425,2,24.074766896424883,7.841084538236234
val_images,none,rot45_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.1308243230893,8.158750621561962,0.6801337731196553,0.12014891502615639,0.004059471927117918,0.16439611351406613,0.0,15.97207370152734,0.559984858093499,2,23.915304575693025,7.841084538236234
val_images,none,rot50_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.271775550851906,8.157131175377565,0.6878186963248295,0.12114006368259436,0.00394008831976578,0.1645627383707845,0.0,16.11464437547434,0.5666786326422352,2,24.044940430584308,7.836684944694685
val_images,none,rot50_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.100439811561287,8.157131175377565,0.6812808298278509,0.12114006368259436,0.004096259729605004,0.1645627383707845,0.0,15.943308636183723,0.5601407661452565,2,23.876125140541827,7.836684944694685
val_images,none,rot55_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.280922334854356,8.1765522099033,0.6865401853659879,0.1191294903255016,0.003920601388987555,0.16364237080058647,0.0,16.104370124951057,0.5674106950404864,2,24.06647310559571,7.861042372025448
val_images,none,rot55_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.10812892312581,8.1765522099033,0.6804486424412579,0.1191294903255016,0.004072799320922102,0.16364237080058647,0.0,15.931576713222515,0.5613191521157563,2,23.90106988382771,7.861042372025448
val_images,none,rot5_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.334316523959927,8.164008372273123,0.6888628877585057,0.12136629466165146,0.003836949835172781,0.16421026487318408,0.0,16.170308151686804,0.5674965930968543,2,24.16013878792318,7.845996983831855
val_images,none,rot5_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.241395457115438,8.164008372273123,0.6837951383041769,0.12136629466165146,0.003916333547652065,0.16421026487318408,0.0,16.077387084842314,0.5624288436425254,2,24.07120327150842,7.845996983831855
val_images,none,rot60_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.262626239993406,8.159797498135271,0.687386709363929,0.12069610378879508,0.003924641168892456,0.16434714335561298,0.0,16.102828741858133,0.566690605575134,2,24.062000447770465,7.842378403239212
val_images,none,rot60_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.10685513852249,8.159797498135271,0.681408338717042,0.12069610378879508,0.004066770927162419,0.16434714335561298,0.0,15.947057640387218,0.560712234928247,2,23.907502898209245,7.842378403239212
val_images,none,rot65_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.356367287902103,8.18884518582114,0.6888337081762717,0.12158393822802918,0.0038535143884686407,0.16316213439657573,0.0,16.167522102080962,0.5672497699482425,2,24.14143015081796,7.873806221181691
val_images,none,rot65_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.203229443610965,8.18884518582114,0.6830609852459228,0.12158393822802918,0.0039878377463651166,0.16316213439657573,0.0,16.01438425778982,0.5614770470178936,2,23.99262520192831,7.873806221181691
val_images,none,rot70_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.29594468943231,8.15964374258705,0.6867092828483345,0.12018834926068174,0.0038970202505397436,0.16424909485225778,0.0,16.13630094684526,0.5665209335876528,2,24.092673374264997,7.844970150817457
val_images,none,rot70_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.165451125130968,8.15964374258705,0.6816358813042831,0.12018834926068174,0.004012511353561329,0.16424909485225778,0.0,16.005807382543917,0.5614475320436013,2,23.965837257317297,7.844970150817457
val_images,none,rot75_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.3017689570683,8.166189431312946,0.6879824751544649,0.12142567777753491,0.003879721839608116,0.1644875245348647,0.0,16.135579525755354,0.56655679737693,2,24.11199410450571,7.838670352892398
val_images,none,rot75_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.188793647080907,8.166189431312946,0.6834875199557654,0.12142567777753491,0.003979267145956691,0.1644875245348647,0.0,16.022604215767963,0.5620618421782305,2,24.001969037487374,7.838670352892398
val_images,none,rot80_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.348013208244573,8.167828207516576,0.6895977723473637,0.11952713131383458,0.003841011544104298,0.1640165885398114,0.0,16.180185000727995,0.5700706410335292,2,24.15554387567117,7.851122254463828
val_images,none,rot80_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.237669583534114,8.167828207516576,0.6844647458679559,0.11952713131383458,0.003937318919641549,0.1640165885398114,0.0,16.069841376017536,0.5649376145541214,2,24.047994062839525,7.851122254463828
val_images,none,rot85_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.38186060401022,8.186438703198135,0.6909768913941062,0.12228083318996924,0.003798398823318086,0.16349000604659164,0.0,16.195421900812086,0.5686960582041369,2,24.20399437262819,7.865087901075132
val_images,none,rot85_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.287371758728526,8.186438703198135,0.6862115193895726,0.12228083318996924,0.003878996162216898,0.16349000604659164,0.0,16.10093305553039,0.5639306861996033,2,24.112806500799767,7.865087901075132
val_images,none,rot90_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,G16_fixed,16,40,telea,24.432888808198914,8.18136148217853,0.6930569588279869,0.11958542293585371,0.0037704916343353203,0.16331682915448248,0.0,16.251527326020383,0.5734715358921332,2,24.236020184524854,7.869690606255979
val_images,none,rot90_padded,True,0,inpaint,red_gd,wavelet,15.0,fixed10p0,0.8,1.0,15.0,0.02,vanilla,0,40,telea,24.352564191016263,8.18136148217853,0.6882019566745035,0.11958542293585371,0.0038335173381160805,0.16331682915448248,0.0,16.171202708837733,0.5686165337386497,2,24.16402568189379,7.869690606255979
