denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,23.746923766924198,3.637057142359344,0.0,144
restormer,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,22.58952817030832,2.4796615457434648,0.0,144
restormer,inpaint,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,26.77201701455233,18.596538936964503,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.02,25.04263029536764,16.867152217779815,0.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,23.16658617491679,3.056719550351938,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,23.10784845689501,2.9979818323301544,0.0,144
restormer-aug,inpaint,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,26.543795384580584,18.368317306992754,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.02,24.439405053258614,16.26392697567079,0.0,144
wavelet,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,21.59968213352224,1.489815508957385,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.02,21.989301263052184,1.8794346384873302,0.0,144
wavelet,inpaint,pnp_hqs,linear25p0_to_10p0,0.1,0.5,0.0,0.15,23.31418900236288,15.138710924775056,0.0,144
wavelet,inpaint,red_gd,fixed10p0,0.8,1.0,15.0,0.02,24.165184430269488,15.989706352681658,0.0,144
