denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,26.15899799241144,2.4665121663892604,0.0,20
restormer,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,25.58391620594377,1.8914303799215895,0.0,20
restormer,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,24.834180674700793,1.1416948486786116,0.050000000000000044,20
restormer,blur,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,27.24131041295347,3.548824586931289,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,27.303502145403,3.61101631938082,0.0,20
restormer,blur,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,27.28921613991103,3.596730313888849,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,10.519778114285659,0.8391782205853995,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,10.596033314263348,0.9154334205630903,0.0,20
restormer,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,10.63832180856716,0.9577219148668995,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,9.879378673700701,0.19877878000044272,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,9.790479745128359,0.10987985142810006,0.0,20
restormer,inpaint,red_gd,fixed15p0,0.8,3.960396039603961,1.4142135623730951,0.005,9.73888909390465,0.05828920020438995,0.0,20
wavelet,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,23.77560923185459,0.08312340583241049,0.6,20
wavelet,blur,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,23.338907593696543,-0.35357823232563634,0.8,20
wavelet,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,23.178938224581763,-0.5135476014404169,0.95,20
wavelet,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,22.93384878589386,-0.7586370401283193,0.95,20
wavelet,blur,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,25.685627349937857,1.993141523915678,0.0,20
wavelet,blur,pnp_hqs,fixed3p0,0.8,0.5,0.0,0.15,25.51489011838575,1.8224042923635693,0.0,20
wavelet,blur,pnp_hqs,fixed5p0,0.4,0.5,0.0,0.15,25.20956114184736,1.517075315825178,0.09999999999999998,20
wavelet,blur,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,24.81563283415953,1.1231470081373511,0.09999999999999998,20
wavelet,blur,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,24.277708917051463,0.5852230910292816,0.4,20
wavelet,blur,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,23.875526306176532,0.18304048015435176,0.6,20
wavelet,blur,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,24.23783865984906,0.5453528338268805,0.5,20
wavelet,blur,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,23.86972795791627,0.17724213189408786,0.6,20
wavelet,blur,pnp_hqs,linear15p0_to_3p0,0.4,0.5,0.0,0.15,23.586651487790594,-0.1058343382315865,0.6,20
wavelet,blur,pnp_hqs,linear15p0_to_3p0,0.8,0.5,0.0,0.15,23.284211785708635,-0.408274040313546,0.95,20
wavelet,blur,red_gd,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,26.923002172515083,3.2305163464929025,0.0,20
wavelet,blur,red_gd,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,27.161681752621643,3.469195926599464,0.0,20
wavelet,blur,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,27.24356302681594,3.5510772007937605,0.0,20
wavelet,blur,red_gd,fixed4p1,0.8,3.846153846153847,1.4142135623730951,0.02,26.778553758242747,3.086067932220569,0.0,20
wavelet,blur,red_gd,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,27.097971526836535,3.405485700814352,0.0,20
wavelet,blur,red_gd,fixed4p1,0.8,3.960396039603961,1.4142135623730951,0.005,27.213635325457734,3.5211494994355497,0.0,20
wavelet,blur,red_gd,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,26.68887112194896,2.996385295926781,0.0,20
wavelet,blur,red_gd,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,27.051037903705083,3.3585520776829014,0.0,20
wavelet,blur,red_gd,fixed5p0,0.8,3.960396039603961,1.4142135623730951,0.005,27.199493766036973,3.50700794001479,0.0,20
wavelet,inpaint,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,14.665224439021738,4.98462454532148,0.0,20
wavelet,inpaint,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,14.619471073769144,4.938871180068885,0.0,20
wavelet,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,18.883355305398435,9.202755411698176,0.0,20
wavelet,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,18.793886088601703,9.113286194901441,0.0,20
wavelet,inpaint,pnp_hqs,fixed3p0,0.4,0.5,0.0,0.15,9.974622066818585,0.294022173118325,0.0,20
wavelet,inpaint,pnp_hqs,fixed3p0,0.8,0.5,0.0,0.15,9.974961967480539,0.29436207378027934,0.0,20
wavelet,inpaint,pnp_hqs,fixed5p0,0.4,0.5,0.0,0.15,10.555007312084602,0.8744074183843441,0.0,20
wavelet,inpaint,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,10.55818347660409,0.8775835829038291,0.0,20
wavelet,inpaint,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,12.145850185903505,2.4652502922032467,0.0,20
wavelet,inpaint,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,12.24670708052199,2.566107186821732,0.0,20
wavelet,inpaint,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,11.35028748393491,1.6696875902346515,0.0,20
wavelet,inpaint,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,11.381525266565456,1.700925372865197,0.0,20
wavelet,inpaint,pnp_hqs,linear15p0_to_3p0,0.4,0.5,0.0,0.15,15.051790881423731,5.371190987723472,0.0,20
