dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,0.03505614666720099,14.552358227870549,0.4518401455463371,4.5518669542209675,0.2644771543537606,True,20,20
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,0.010021676100047523,19.990596377375468,0.40009496376318804,9.990105103725886,0.21273197257061158,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.10017810435022026,9.992271906344083,0.19753507172761725,0.009607321093446327,20.173976941758667,0.4492587842543405,10.181705035414584,0.25172371252672326,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.10017810435022026,9.992271906344083,0.19753507172761725,0.009383804151263686,20.27621064928446,0.41580573618489247,10.283938742940379,0.21827066445727522,True,20,320
val_images,test002.png,1,upright,0.0,481,321,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.22160118984009172,6.54427912086212,0.0680886779291423,0.13465152478368017,8.70788724306767,0.14123532231008867,2.1636081222055505,0.07314664438094637,True,20,20
val_images,test002.png,1,upright,0.0,481,321,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.22160118984009172,6.54427912086212,0.0680886779291423,0.005812111009340128,22.356660994181574,0.667345803297906,15.812381873319454,0.5992571253687637,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.2216987429952708,6.542367692750708,0.07683882998752915,0.007140261572733788,21.462858782078452,0.5815828258616221,14.920491089327744,0.504743995874093,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.2216987429952708,6.542367692750708,0.07683882998752915,0.005059739325632855,22.958718571434837,0.6749436180033688,16.416350878684128,0.5981047880158397,True,20,320
val_images,test003.png,2,upright,0.0,481,321,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.12315735740458288,9.095396383537715,0.07528226647860117,0.04382579505334324,13.582701965314223,0.3641283745328722,4.487305581776509,0.288846108054271,True,20,20
val_images,test003.png,2,upright,0.0,481,321,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.12315735740458288,9.095396383537715,0.07528226647860117,0.005863024831268297,22.31878266473575,0.6674441672981393,13.223386281198035,0.5921619008195381,True,20,320
val_images,test003.png,2,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.12229233559131251,9.126007605819042,0.08659229540522156,0.005997243042466677,22.220483507181097,0.6497438516293081,13.094475901362054,0.5631515562240865,True,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.12229233559131251,9.126007605819042,0.08659229540522156,0.0055351306750200426,22.568721217102414,0.6732402136239959,13.442713611283372,0.5866479182187743,True,20,320
val_images,test004.png,3,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.07315125519345729,11.35778217468741,0.08387649210699737,0.003120796270370051,25.05734581716604,0.6805128670636849,13.699563642478632,0.5966363749566875,True,20,20
val_images,test004.png,3,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.07315125519345729,11.35778217468741,0.08387649210699737,0.003294985287902928,24.82146520188891,0.6448191316766083,13.4636830272015,0.560942639569611,True,20,320
