dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,iteration,se,psnr,ssim,effective_denoiser_sigma,sampled_angles
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,1,0.09995428148538546,10.001985983877555,0.18745941979002725,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,2,0.09991992492357563,10.003479009478628,0.1876180469200329,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,3,0.09988553041269163,10.004974198527103,0.1877192065020628,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,4,0.09985118650057319,10.006467701764517,0.18787317854563765,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,5,0.09981681096422627,10.00796309472533,0.1879783227804548,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,6,0.09978247970179921,10.009457075783692,0.1881283228209338,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,7,0.09974812946483508,10.010952397085548,0.1882368698227343,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,8,0.09971380452725372,10.012447131527562,0.1883834164974644,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,9,0.09967946693998096,10.013942931733066,0.18849478438044442,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,10,0.09964516097693668,10.015437868986863,0.18863843427584667,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,11,0.09961086133873809,10.01693304525054,0.18875216765111624,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,12,0.0995765680253852,10.018428460593771,0.18889331290762365,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,13,0.09954226206234092,10.019924942929206,0.18900905758382394,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,14,0.09950798772352511,10.021420560883135,0.18914806504248677,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,15,0.0994737007350179,10.02291724634927,0.18926546682825887,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,16,0.09943943904589349,10.02441334285561,0.1894026021325963,5.0,none
