dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer-aug,15.0,G16_fixed,fixed,16,16,False,20,0.000758708608279358,31.811407892525388,0.0014056326593526037,28.8898617208145,320,10,31.199249884191076,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer-aug,15.0,G1_random,random,16,1,False,20,0.0008137386678313058,31.26351458107815,0.0014056326593526037,28.8898617208145,20,10,30.895150463900805,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer-aug,15.0,G2_random,random,16,2,False,20,0.0007897802762273481,31.662519823574364,0.0014056326593526037,28.8898617208145,40,10,31.024937164244758,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer-aug,15.0,G4_random,random,16,4,False,20,0.000829514530069015,31.344769804634645,0.0014056326593526037,28.8898617208145,80,10,30.811760023177065,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer-aug,15.0,G16_fixed,fixed,16,16,False,20,0.0007534177251369009,31.83653217514137,0.0014056326593526037,28.8898617208145,320,10,31.229641666671363,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer-aug,15.0,G1_random,random,16,1,False,20,0.0007561471778681254,31.819660715309205,0.0014056326593526037,28.8898617208145,20,10,31.213936643996256,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer-aug,15.0,G2_random,random,16,2,False,20,0.0007583120020625556,31.816371494725722,0.0014056326593526037,28.8898617208145,40,10,31.2015207023223,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer-aug,15.0,G4_random,random,16,4,False,20,0.0007553814475024544,31.82833134889089,0.0014056326593526037,28.8898617208145,80,10,31.218336858392504,28.521281607246003
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer-aug,15.0,G16_fixed,fixed,16,16,False,20,0.014100144444768061,20.0053609337505,0.03445523701920814,15.460987484530131,320,10,18.507764383201952,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer-aug,15.0,G1_random,random,16,1,False,20,0.01381879812035231,19.841234003833524,0.03445523701920814,15.460987484530131,20,10,18.59529727757566,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer-aug,15.0,G2_random,random,16,2,False,20,0.01430168145057548,19.71648408692291,0.03445523701920814,15.460987484530131,40,10,18.446128994735844,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer-aug,15.0,G4_random,random,16,4,False,20,0.014562353144088661,19.892062803641096,0.03445523701920814,15.460987484530131,80,10,18.367684413060275,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer-aug,15.0,G16_fixed,fixed,16,16,False,20,0.028111964253654136,16.36696484589851,0.03445523701920814,15.460987484530131,320,10,15.511088080845026,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer-aug,15.0,G1_random,random,16,1,False,20,0.027750576303153446,16.391456473484446,0.03445523701920814,15.460987484530131,20,10,15.56727993345609,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer-aug,15.0,G2_random,random,16,2,False,20,0.028141945452463596,16.35979885206213,0.03445523701920814,15.460987484530131,40,10,15.506458830894347,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer-aug,15.0,G4_random,random,16,4,False,20,0.0285126307353196,16.326960982149085,0.03445523701920814,15.460987484530131,80,10,15.44962710395778,14.627447582066965
