dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,group_expand,base_group_size,sample_size,num_iter,final_se,final_psnr,degraded_se,degraded_psnr,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,G16_fixed,fixed,True,16,16,20,0.006181992559928623,22.088715219488524,0.007973642743086592,20.98343226684898,20,320
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,G4_random,random,True,16,4,20,0.006228962020680314,22.055843171045474,0.007973642743086592,20.98343226684898,20,80
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,G2_random,random,True,16,2,20,0.006151416078244622,22.110248965538325,0.007973642743086592,20.98343226684898,20,40
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,restormer,15.0,G1_random,random,True,16,1,20,0.0060602653903092454,22.175083568529963,0.007973642743086592,20.98343226684898,20,20
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,restormer,15.0,G16_fixed,fixed,True,16,16,20,0.005127788053299394,22.90069933798287,0.007973642743086592,20.98343226684898,20,320
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,restormer,15.0,G4_random,random,True,16,4,20,0.005126687465995647,22.90163157287642,0.007973642743086592,20.98343226684898,20,80
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,restormer,15.0,G2_random,random,True,16,2,20,0.005112765669124696,22.913441116228086,0.007973642743086592,20.98343226684898,20,40
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,restormer,15.0,G1_random,random,True,16,1,20,0.00511696047224253,22.90987937875109,0.007973642743086592,20.98343226684898,20,20
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,G16_fixed,fixed,True,16,16,20,0.0213939497350899,16.697090289019815,0.09884102590726851,10.050627555448123,20,320
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,G4_random,random,True,16,4,20,0.0234035984321767,16.3071736228692,0.09884102590726851,10.050627555448123,20,80
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,G2_random,random,True,16,2,20,0.024703804758139995,16.072361536952933,0.09884102590726851,10.050627555448123,20,40
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,restormer,15.0,G1_random,random,True,16,1,20,0.02200719192056583,16.574353691324706,0.09884102590726851,10.050627555448123,20,20
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,G16_fixed,fixed,True,16,16,20,0.0797266391615984,10.98396542997276,0.09884102590726851,10.050627555448123,20,320
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,G4_random,random,True,16,4,20,0.07974696840064575,10.982858177616418,0.09884102590726851,10.050627555448123,20,80
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,G2_random,random,True,16,2,20,0.08127620283312931,10.900365945180832,0.09884102590726851,10.050627555448123,20,40
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,restormer,15.0,G1_random,random,True,16,1,20,0.07973235715540637,10.983653965180334,0.09884102590726851,10.050627555448123,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,G16_fixed,fixed,False,16,16,20,0.0015945215111458073,27.97369617462786,0.0024605183134930176,26.089733981895982,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,G4_random,random,False,16,4,20,0.0018794483791552085,27.259695980991,0.0024605183134930176,26.089733981895982,20,80
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,G2_random,random,False,16,2,20,0.001872445579314585,27.275907957629855,0.0024605183134930176,26.089733981895982,20,40
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,restormer,15.0,G1_random,random,False,16,1,20,0.00197929337956513,27.034898279851625,0.0024605183134930176,26.089733981895982,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,G16_fixed,fixed,False,16,16,20,0.0014985949353612596,28.243157394733874,0.0024605183134930176,26.089733981895982,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,G4_random,random,False,16,4,20,0.0014986087903539969,28.243117242996163,0.0024605183134930176,26.089733981895982,20,80
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,restormer,15.0,G2_random,random,False,16,2,20,0.001505331528967381,28.223678420335922,0.0024605183134930176,26.089733981895982,20,40
