dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,45.0,blur,pnp_hqs,tv,15.0,G16_fixed,fixed,16,16,False,20,0.0013702172016127963,29.129230324649637,0.0014056326593526037,28.8898617208145,320,10,28.632105846792655,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,tv,15.0,G1_random,random,16,1,False,20,0.0013671070887373517,29.145054449509917,0.0014056326593526037,28.8898617208145,20,10,28.64197464783959,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,tv,15.0,G2_random,random,16,2,False,20,0.0013713483248113203,29.130820970188125,0.0014056326593526037,28.8898617208145,40,10,28.62852219660001,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,tv,15.0,G4_random,random,16,4,False,20,0.0013719739215614136,29.124321592730876,0.0014056326593526037,28.8898617208145,80,10,28.626541436071197,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,tv,15.0,G16_fixed,fixed,16,16,False,20,0.0008100981157789499,31.524895385795293,0.0014056326593526037,28.8898617208145,320,10,30.914623779598223,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,tv,15.0,G1_random,random,16,1,False,20,0.0008099722923994151,31.525713040165243,0.0014056326593526037,28.8898617208145,20,10,30.915298372495673,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,tv,15.0,G2_random,random,16,2,False,20,0.0008100989545915475,31.525238746901277,0.0014056326593526037,28.8898617208145,40,10,30.914619282717084,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,tv,15.0,G4_random,random,16,4,False,20,0.0008101185087529359,31.524811841544835,0.0014056326593526037,28.8898617208145,80,10,30.914514454018693,28.521281607246003
val_images,rot45_padded,45.0,inpaint,pnp_hqs,tv,15.0,G16_fixed,fixed,16,16,False,20,0.0015105591065265249,28.638758170371197,0.03445523701920814,15.460987484530131,320,10,28.208622765899097,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,tv,15.0,G1_random,random,16,1,False,20,0.0015058986472145292,28.661646424522168,0.03445523701920814,15.460987484530131,20,10,28.222042568449318,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,tv,15.0,G2_random,random,16,2,False,20,0.0015132201775758074,28.637583387545675,0.03445523701920814,15.460987484530131,40,10,28.20097876372548,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,tv,15.0,G4_random,random,16,4,False,20,0.0015140149407332243,28.62941766280735,0.03445523701920814,15.460987484530131,80,10,28.198698390724196,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,tv,15.0,G16_fixed,fixed,16,16,False,20,0.015570713735414349,19.189642811001967,0.03445523701920814,15.460987484530131,320,10,18.07691479644622,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,tv,15.0,G1_random,random,16,1,False,20,0.01555308759122016,19.197213744053883,0.03445523701920814,15.460987484530131,20,10,18.081833821534964,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,tv,15.0,G2_random,random,16,2,False,20,0.015586623696303491,19.184480253314668,0.03445523701920814,15.460987484530131,40,10,18.0724794952353,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,tv,15.0,G4_random,random,16,4,False,20,0.015610655896212655,19.18179783643138,0.03445523701920814,15.460987484530131,80,10,18.065788492680365,14.627447582066965
val_images,upright,0.0,blur,pnp_hqs,tv,15.0,G16_fixed,fixed,16,16,True,20,0.004892939589835735,23.658058952190167,0.004615378748072558,23.874842116311157,320,10,23.10430146178126,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,tv,15.0,G1_random,random,16,1,True,20,0.004905748456349321,23.647568210745817,0.004615378748072558,23.874842116311157,20,10,23.092947241321117,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,tv,15.0,G2_random,random,16,2,True,20,0.0049014837191297,23.643423237461086,0.004615378748072558,23.874842116311157,40,10,23.09672435585222,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,tv,15.0,G4_random,random,16,4,True,20,0.004896615133941253,23.665039828336393,0.004615378748072558,23.874842116311157,80,10,23.10104029486802,23.357926540208148
val_images,upright,0.0,blur,red_gd,tv,15.0,G16_fixed,fixed,16,16,True,20,0.0027658926689628346,26.372218804813905,0.004615378748072558,23.874842116311157,320,10,25.58164676786934,23.357926540208148
val_images,upright,0.0,blur,red_gd,tv,15.0,G1_random,random,16,1,True,20,0.002765617853212576,26.374571745848364,0.004615378748072558,23.874842116311157,20,10,25.58207829905236,23.357926540208148
val_images,upright,0.0,blur,red_gd,tv,15.0,G2_random,random,16,2,True,20,0.002764700507732886,26.37455799022326,0.004615378748072558,23.874842116311157,40,10,25.583519077168482,23.357926540208148
val_images,upright,0.0,blur,red_gd,tv,15.0,G4_random,random,16,4,True,20,0.002765420326126177,26.37475333946012,0.004615378748072558,23.874842116311157,80,10,25.582388493706254,23.357926540208148
val_images,upright,0.0,inpaint,pnp_hqs,tv,15.0,G16_fixed,fixed,16,16,True,20,0.005460407779607091,23.037701641340938,0.12888757743575008,9.730675701157908,320,10,22.6277492326224,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,tv,15.0,G1_random,random,16,1,True,20,0.005455223723120623,23.043804964665657,0.12888757743575008,9.730675701157908,20,10,22.631874339437616,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,tv,15.0,G2_random,random,16,2,True,20,0.005437132386067226,23.050841464468313,0.12888757743575008,9.730675701157908,40,10,22.64630092446419,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,tv,15.0,G4_random,random,16,4,True,20,0.005453166804542958,23.05312473957634,0.12888757743575008,9.730675701157908,80,10,22.63351217665352,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,tv,15.0,G16_fixed,fixed,16,16,True,20,0.05814107633152441,13.474941208582404,0.12888757743575008,9.730675701157908,320,10,12.35516932653053,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,tv,15.0,G1_random,random,16,1,True,20,0.05797722830799945,13.48664840627843,0.12888757743575008,9.730675701157908,20,10,12.367425506111356,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,tv,15.0,G2_random,random,16,2,True,20,0.05800302121500519,13.484773722392323,0.12888757743575008,9.730675701157908,40,10,12.365493846640787,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,tv,15.0,G4_random,random,16,4,True,20,0.058168113506631,13.47308261355588,0.12888757743575008,9.730675701157908,80,10,12.353150209007161,8.897889392105377
