dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,group_expand,base_group_size,sample_size,num_iter,final_se,final_psnr,degraded_se,degraded_psnr,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,blur,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.008778746075330976,20.565675127334224,0.007973642743086592,20.98343226684898,20,0
val_images,test001.png,0,upright,0.0,481,321,blur,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.006236300850675553,22.05072941809586,0.007973642743086592,20.98343226684898,20,0
val_images,test001.png,0,upright,0.0,481,321,inpaint,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.009067599640849267,20.425076634030837,0.09884102590726851,10.050627555448123,20,0
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.0809605177081714,10.917267233663907,0.09884102590726851,10.050627555448123,20,0
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.004015112168125922,23.96302317553998,0.0024605183134930176,26.089733981895982,20,0
val_images,test001.png,0,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.001875235403730038,27.269442062702318,0.0024605183134930176,26.089733981895982,20,0
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.003992297754436251,23.987770755293866,0.026530904016928845,15.762479515678118,20,0
val_images,test001.png,0,rot45_padded,45.0,1000,1000,inpaint,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.008381458343892742,20.76680409102211,0.026530904016928845,15.762479515678118,20,0
val_images,test002.png,1,upright,0.0,481,321,blur,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.004198943617430376,23.76859956941785,0.003913134243821851,24.074752529551834,20,0
val_images,test002.png,1,upright,0.0,481,321,blur,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.002539623240732776,25.95230707241166,0.003913134243821851,24.074752529551834,20,0
val_images,test002.png,1,upright,0.0,481,321,inpaint,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.00977870881866297,20.097184856979922,0.21974624554727978,6.580785362861726,20,0
val_images,test002.png,1,upright,0.0,481,321,inpaint,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.19986648164264897,6.992600325861846,0.21974624554727978,6.580785362861726,20,0
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.002465573239068087,26.0808209236192,0.0012828130654888412,28.918366254189863,20,0
val_images,test002.png,1,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.0008922510715412679,30.495129218097574,0.0012828130654888412,28.918366254189863,20,0
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.0024789164315072603,26.057381137916806,0.05886294367635003,12.301580230650098,20,0
val_images,test002.png,1,rot45_padded,45.0,1000,1000,inpaint,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.03448478912536895,14.623724253795096,0.05886294367635003,12.301580230650098,20,0
val_images,test003.png,2,upright,0.0,481,321,blur,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.0051971395423635125,22.842356222833796,0.0048111472546526575,23.177513504546617,20,0
val_images,test003.png,2,upright,0.0,481,321,blur,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.0035977726492977297,24.439662840908262,0.0048111472546526575,23.177513504546617,20,0
val_images,test003.png,2,upright,0.0,481,321,inpaint,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.005531985174764088,22.57118992432354,0.12177517622538067,9.144412332720616,20,0
val_images,test003.png,2,upright,0.0,481,321,inpaint,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.10153357648064132,9.933903156926423,0.12177517622538067,9.144412332720616,20,0
val_images,test003.png,2,rot45_padded,45.0,1000,1000,blur,pnp_hqs,wavelet,25.0,vanilla,none,False,0,0,20,0.002203087218330898,26.56968309163335,0.0013992053750759592,28.541185351750737,20,0
val_images,test003.png,2,rot45_padded,45.0,1000,1000,blur,red_gd,wavelet,25.0,vanilla,none,False,0,0,20,0.001077980717031957,29.673890077592215,0.0013992053750759592,28.541185351750737,20,0
