dataset,denoiser,noise_sigma,angle_index,angle_deg,estimator,group_size,mean_se,mean_psnr,n,psnr_from_mean_se,save_dir
val_images,nlm,15.0,0,0.0,group_avg,4,0.0005474401020133,32.996831024130266,20,32.616633920826615,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,0,0.0,group_avg,8,0.0005453292916057,33.01036029450048,20,32.63341174161577,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,0,0.0,group_avg,16,0.000549799013824,32.96264709777444,20,32.597960434869854,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,0,0.0,group_avg,32,0.0005526701708593,32.934018400942534,20,32.5753397486238,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,0,0.0,vanilla,0,0.0005662003518519,32.84717454797003,20,32.47029865088734,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,1,5.0,group_avg,4,0.0004883752912282,33.4501314240456,20,33.112463167882936,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,1,5.0,group_avg,8,0.0004815561370924,33.518035268767576,20,33.17353077992476,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,1,5.0,group_avg,16,0.0004799922909587,33.532433083791894,20,33.18765737668071,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,1,5.0,group_avg,32,0.0004796372735872,33.53474348490679,20,33.19087074354938,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,1,5.0,vanilla,0,0.0005048979688435,33.30239592878916,20,32.9679637642632,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,2,10.0,group_avg,4,0.0004196754580559,34.11203004898574,20,33.770864268869325,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,2,10.0,group_avg,8,0.000415396842003,34.15859905354413,20,33.8153680945199,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,2,10.0,group_avg,16,0.0004138479963918,34.174815920297064,20,33.83159143058043,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,2,10.0,group_avg,32,0.0004126788153164,34.188754346861614,20,33.84387824864542,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,2,10.0,vanilla,0,0.0004339026563484,33.9644286165221,20,33.626076911154406,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,3,15.0,group_avg,4,0.0003654860885932,34.7126573388429,20,34.37129148835203,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,3,15.0,group_avg,8,0.0003624553805811,34.748055149653105,20,34.40745448844928,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,3,15.0,group_avg,16,0.0003605181448123,34.77217835832821,20,34.43072872432565,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,3,15.0,group_avg,32,0.0003595218149913,34.785623888550624,20,34.44274752449553,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,3,15.0,vanilla,0,0.0003778155530953,34.56571202761209,20,34.22720167948213,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,4,20.0,group_avg,4,0.0003214081835951,35.27585150445016,20,34.929430695609696,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,4,20.0,group_avg,8,0.0003198033966109,35.292511428242776,20,34.951169279520435,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
