denoiser,input_pose_deg,pose_method,mean_SEavg_x,mean_e1,mean_EhSE_minus_SEavg,mean_SEavg_psnr,n
restormer,0.0,fft3shear,0.0007602525943682023,3.2096438493029266e-05,3.3478513431607383e-05,31.570491579126475,20
restormer,0.0,rot90,0.0007620524363312711,3.201038937573651e-05,3.3343293069156124e-05,31.56444653698972,20
restormer,5.0,fft3shear,0.000782186042989335,3.1356974352184814e-05,3.083773248215848e-05,31.440434093994508,20
restormer,10.0,fft3shear,0.0007870042691154093,3.176738255359993e-05,3.109019908719369e-05,31.40818874716795,20
restormer,15.0,fft3shear,0.0007899508775804779,3.207399684658258e-05,3.128728863245244e-05,31.3952476554607,20
restormer,20.0,fft3shear,0.0007921924606428234,3.2291041145533784e-05,3.141932170447841e-05,31.37519256968589,20
restormer,25.0,fft3shear,0.0007937438822978668,3.212630338804517e-05,3.1167807700146e-05,31.370249456417703,20
restormer,30.0,fft3shear,0.0007956128899671488,3.1972130086523176e-05,3.102677790797764e-05,31.363517076855846,20
restormer,35.0,fft3shear,0.0007985769483556084,3.187298298614116e-05,3.1025900622195604e-05,31.345177616996796,20
restormer,40.0,fft3shear,0.000801603916799905,3.139927985706279e-05,3.03793182096869e-05,31.325776091785578,20
restormer,45.0,fft3shear,0.0007991103214515623,3.177236963274145e-05,3.0524189178505e-05,31.330517155141507,20
restormer,50.0,fft3shear,0.0007997076078767673,3.089772974283486e-05,2.9952425718911404e-05,31.330852227553038,20
restormer,55.0,fft3shear,0.000800043160259568,3.128287628692316e-05,3.0333855994801126e-05,31.32898577937103,20
restormer,60.0,fft3shear,0.000797704061612819,3.126339182125909e-05,3.0145205769856473e-05,31.33947493870163,20
restormer,65.0,fft3shear,0.0007939868521657281,3.179714413644343e-05,3.0837521808624375e-05,31.36678456690161,20
restormer,70.0,fft3shear,0.0007917884246686676,3.173694471999185e-05,3.090294988174269e-05,31.379892447304353,20
