denoiser,noise_sigma,angle_deg,mean_rho,mean_rho_raw,mean_rel_err,max_rel_err,n,save_dir
nlm,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images/nlm
nlm,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images_circle/nlm
nlm,15.0,90,8.401128720144232e-05,12.971426755189896,0.0005087956384587,0.0011613169312384,40,results/q1_cardinal_corrected/sigma15/val_images/nlm
nlm,15.0,90,0.000107084916898,8.662313097715378,0.0005848004524499,0.0011885943223669,40,results/q1_cardinal_corrected/sigma15/val_images_circle/nlm
nlm,15.0,180,0.0001470763319933,22.708732736110687,0.0008891880461261,0.002011186975356,40,results/q1_cardinal_corrected/sigma15/val_images/nlm
nlm,15.0,180,0.0001866225227076,15.096269106864929,0.0010150167996357,0.0020665152126303,40,results/q1_cardinal_corrected/sigma15/val_images_circle/nlm
nlm,15.0,270,8.29768422043676e-05,12.811707413196563,0.0005016062957748,0.0011975788107603,40,results/q1_cardinal_corrected/sigma15/val_images/nlm
nlm,15.0,270,0.0001051264006117,8.503884798288345,0.0005710385656418,0.0012307757280583,40,results/q1_cardinal_corrected/sigma15/val_images_circle/nlm
restormer,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images/restormer
restormer,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer
restormer,15.0,90,1.0311942294439485e-05,1.5921742022037506,5.794134624212211e-05,0.0001166061439417,40,results/q1_cardinal_corrected/sigma15/val_images/restormer
restormer,15.0,90,1.1892362722437785e-05,0.9619970053434372,5.962682631035358e-05,9.279797093456089e-05,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer
restormer,15.0,180,1.3526904500442385e-05,2.0885675817728044,7.724067303317841e-05,0.0001899057983953,40,results/q1_cardinal_corrected/sigma15/val_images/restormer
restormer,15.0,180,9.52283198729836e-06,0.770320925116539,4.802596355453404e-05,7.772623552083825e-05,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer
restormer,15.0,270,9.93943708313451e-06,1.5346590250730514,5.733719719774317e-05,0.0001408396774393,40,results/q1_cardinal_corrected/sigma15/val_images/restormer
restormer,15.0,270,1.1619773138402354e-05,0.9399466887116432,5.825800550074852e-05,9.398326231628198e-05,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer
restormer-rotated-noise-retrained,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,90,1.171541552660347e-05,1.8088718727231023,6.584623112327809e-05,0.0001379296938833,40,results/q1_cardinal_corrected/sigma15/val_images/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,90,1.612380614875126e-05,1.304286926984787,8.358111621148397e-05,0.0001503315745565,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,180,1.2827917618167558e-05,1.9806433081626893,7.288555482680022e-05,0.0001646791845559,40,results/q1_cardinal_corrected/sigma15/val_images/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,180,1.0959357955344603e-05,0.8865243837237358,5.6627501879903534e-05,0.0001030602406907,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,270,1.1576885983688862e-05,1.7874827727675435,6.648494893038695e-05,0.0001581551888825,40,results/q1_cardinal_corrected/sigma15/val_images/restormer-rotated-noise-retrained
restormer-rotated-noise-retrained,15.0,270,1.5784221263040994e-05,1.276817226409912,8.153081332657994e-05,0.0001543272230659,40,results/q1_cardinal_corrected/sigma15/val_images_circle/restormer-rotated-noise-retrained
tv,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images/tv
tv,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images_circle/tv
tv,15.0,90,1.907089182982654e-05,2.944564769417048,0.0001140397590212,0.000496964759992,40,results/q1_cardinal_corrected/sigma15/val_images/tv
tv,15.0,90,4.075016126943697e-05,3.296362045407295,0.0002030497077511,0.0011823359038896,40,results/q1_cardinal_corrected/sigma15/val_images_circle/tv
tv,15.0,180,1.68814563819395e-05,2.606513746827841,9.354044231964198e-05,0.0004684836852296,40,results/q1_cardinal_corrected/sigma15/val_images/tv
tv,15.0,180,1.7636729663975046e-05,1.4266703359782695,9.76871490183168e-05,0.000322764835135,40,results/q1_cardinal_corrected/sigma15/val_images_circle/tv
tv,15.0,270,3.187397065674144e-05,4.921372943371535,0.0002343710038171,0.005365194700198,40,results/q1_cardinal_corrected/sigma15/val_images/tv
tv,15.0,270,4.062662791313937e-05,3.286369185149669,0.0001996766222379,0.0011885368540968,40,results/q1_cardinal_corrected/sigma15/val_images_circle/tv
wavelet,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images/wavelet
wavelet,15.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma15/val_images_circle/wavelet
wavelet,15.0,90,0.0007356791507672,113.58959655761718,0.0041978701996386,0.0086121320146579,40,results/q1_cardinal_corrected/sigma15/val_images/wavelet
wavelet,15.0,90,0.0010016995261969,81.02947807312012,0.0050974964147931,0.0079630901815905,40,results/q1_cardinal_corrected/sigma15/val_images_circle/wavelet
wavelet,15.0,180,0.0011612863003469,179.3037660598755,0.0066454896731074,0.013687994944249,40,results/q1_cardinal_corrected/sigma15/val_images/wavelet
wavelet,15.0,180,0.0016713517819102,135.19898834228516,0.0085598710481591,0.0136154613721062,40,results/q1_cardinal_corrected/sigma15/val_images_circle/wavelet
wavelet,15.0,270,0.0007590251914231,117.19424858093262,0.0043233847502043,0.0084777340595508,40,results/q1_cardinal_corrected/sigma15/val_images/wavelet
wavelet,15.0,270,0.0010851324662689,87.77853546142578,0.0055746469456233,0.0088251605907088,40,results/q1_cardinal_corrected/sigma15/val_images_circle/wavelet
nlm,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images/nlm
nlm,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images_circle/nlm
nlm,25.0,90,9.263446975383268e-05,14.302854764461518,0.0005870711567749,0.0014495573985981,40,results/q1_cardinal_corrected/sigma25/val_images/nlm
nlm,25.0,90,0.0001410862153416,11.412746131420135,0.0007836845682014,0.0016358112173806,40,results/q1_cardinal_corrected/sigma25/val_images_circle/nlm
nlm,25.0,180,0.000165828707249,25.60411822795868,0.0010431981587824,0.0025245817302646,40,results/q1_cardinal_corrected/sigma25/val_images/nlm
nlm,25.0,180,0.0002521295732108,20.395265436172487,0.0013983538096881,0.0028733754413381,40,results/q1_cardinal_corrected/sigma25/val_images_circle/nlm
nlm,25.0,270,9.018731677312384e-05,13.925011897087098,0.0005732000322975,0.0014761603679086,40,results/q1_cardinal_corrected/sigma25/val_images/nlm
nlm,25.0,270,0.0001379980167,11.16293556690216,0.0007661516514718,0.0016390259894491,40,results/q1_cardinal_corrected/sigma25/val_images_circle/nlm
restormer,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images/restormer
restormer,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images_circle/restormer
restormer,25.0,90,1.822014769380829e-05,2.8132090240716936,0.0001018861895322,0.0002120586292994,40,results/q1_cardinal_corrected/sigma25/val_images/restormer
restormer,25.0,90,2.265159908873871e-05,1.832333153486252,0.000115253161131,0.0002149853211377,40,results/q1_cardinal_corrected/sigma25/val_images_circle/restormer
restormer,25.0,180,2.3559221946453728e-05,3.6375674277544015,0.0001347847090448,0.0002987020934548,40,results/q1_cardinal_corrected/sigma25/val_images/restormer
restormer,25.0,180,1.853592410121421e-05,1.49940797239542,9.503640350490689e-05,0.0001690907826415,40,results/q1_cardinal_corrected/sigma25/val_images_circle/restormer
restormer,25.0,270,1.75307422733331e-05,2.706764137744904,0.0001017021270757,0.0002501683918775,40,results/q1_cardinal_corrected/sigma25/val_images/restormer
restormer,25.0,270,2.2002512671347043e-05,1.779827255010605,0.0001125683023141,0.0001976513827761,40,results/q1_cardinal_corrected/sigma25/val_images_circle/restormer
tv,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images/tv
tv,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images_circle/tv
tv,25.0,90,5.791617135768543e-05,8.942314773797989,0.0003891881405793,0.0048472334506716,40,results/q1_cardinal_corrected/sigma25/val_images/tv
tv,25.0,90,5.075397518954031e-05,4.105590561032296,0.0002796697742552,0.0007067799416853,40,results/q1_cardinal_corrected/sigma25/val_images_circle/tv
tv,25.0,180,2.514414201719242e-05,3.882280671596527,0.0001562378333532,0.0005013754559622,40,results/q1_cardinal_corrected/sigma25/val_images/tv
tv,25.0,180,4.386179267414033e-05,3.5480681329965598,0.0002379394360758,0.0009203103916962,40,results/q1_cardinal_corrected/sigma25/val_images_circle/tv
tv,25.0,270,6.90674546663604e-05,10.664084067940712,0.0004924094892341,0.0048779292640442,40,results/q1_cardinal_corrected/sigma25/val_images/tv
tv,25.0,270,4.9650198992533145e-05,4.016303896903992,0.0002707898471351,0.0007103993867113,40,results/q1_cardinal_corrected/sigma25/val_images_circle/tv
wavelet,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images/wavelet
wavelet,25.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma25/val_images_circle/wavelet
wavelet,25.0,90,0.0015040616326818,232.22862014770507,0.0089376099216372,0.0187242550521687,40,results/q1_cardinal_corrected/sigma25/val_images/wavelet
wavelet,25.0,90,0.0022237557010964,179.8840461730957,0.0114405476416627,0.0209372638801768,40,results/q1_cardinal_corrected/sigma25/val_images_circle/wavelet
wavelet,25.0,180,0.002396920808525,370.08696975708006,0.0142696937826741,0.0285780643545479,40,results/q1_cardinal_corrected/sigma25/val_images/wavelet
wavelet,25.0,180,0.0037159338376114,300.58931999206544,0.0191875425057819,0.0329123429379853,40,results/q1_cardinal_corrected/sigma25/val_images_circle/wavelet
wavelet,25.0,270,0.0015114747730797,233.37321643829347,0.0089505389295132,0.0180750816493846,40,results/q1_cardinal_corrected/sigma25/val_images/wavelet
wavelet,25.0,270,0.0022124073728576,178.9660572052002,0.0115030842893262,0.0197319251248253,40,results/q1_cardinal_corrected/sigma25/val_images_circle/wavelet
nlm,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images/nlm
nlm,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images_circle/nlm
nlm,50.0,90,8.431135800918436e-05,13.017757987976074,0.0005076821509506,0.0011286038957758,40,results/q1_cardinal_corrected/sigma50/val_images/nlm
nlm,50.0,90,0.0001642391801098,13.28563575744629,0.0008359525814064,0.0014566024284141,40,results/q1_cardinal_corrected/sigma50/val_images_circle/nlm
nlm,50.0,180,0.0001523198232508,23.51833302974701,0.0009201861123245,0.0022182895348778,40,results/q1_cardinal_corrected/sigma50/val_images/nlm
nlm,50.0,180,0.0003013735363239,24.37870810031891,0.0015148669562683,0.0026225450241834,40,results/q1_cardinal_corrected/sigma50/val_images_circle/nlm
nlm,50.0,270,7.647804333421994e-05,11.808286368846892,0.0004695585715928,0.0011480997885153,40,results/q1_cardinal_corrected/sigma50/val_images/nlm
nlm,50.0,270,0.0001502257924178,12.152064800262451,0.0007616596616247,0.0013219219525874,40,results/q1_cardinal_corrected/sigma50/val_images_circle/nlm
restormer,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images/restormer
restormer,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images_circle/restormer
restormer,50.0,90,3.74644457563917e-05,5.784547889232636,0.000205889524285,0.0005325596649514,40,results/q1_cardinal_corrected/sigma50/val_images/restormer
restormer,50.0,90,4.397639065740701e-05,3.557338193058968,0.0002309949857037,0.0004425267647793,40,results/q1_cardinal_corrected/sigma50/val_images_circle/restormer
restormer,50.0,180,4.9714673455740913e-05,7.6759952962398526,0.0002774354610599,0.0006288865273247,40,results/q1_cardinal_corrected/sigma50/val_images/restormer
restormer,50.0,180,3.987196804342641e-05,3.225323238968849,0.0002095882220203,0.0004312169570266,40,results/q1_cardinal_corrected/sigma50/val_images_circle/restormer
restormer,50.0,270,3.697376120477372e-05,5.7087857037782666,0.0002110484078508,0.0004696185251338,40,results/q1_cardinal_corrected/sigma50/val_images/restormer
restormer,50.0,270,4.2503791820847926e-05,3.438216727972031,0.0002222977116618,0.0004190273626791,40,results/q1_cardinal_corrected/sigma50/val_images_circle/restormer
tv,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images/tv
tv,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images_circle/tv
tv,50.0,90,0.0002674492499317,41.29443163871765,0.0013562359429475,0.0031960678949908,40,results/q1_cardinal_corrected/sigma50/val_images/tv
tv,50.0,90,0.0003004777356624,24.30624499320984,0.0015178320225323,0.0117145526674181,40,results/q1_cardinal_corrected/sigma50/val_images_circle/tv
tv,50.0,180,0.0001856384999636,28.66277003288269,0.0010408052188238,0.0019572593890255,40,results/q1_cardinal_corrected/sigma50/val_images/tv
tv,50.0,180,0.0002178211750465,17.619990491867064,0.0009942972891766,0.0034458889013513,40,results/q1_cardinal_corrected/sigma50/val_images_circle/tv
tv,50.0,270,0.0003455304536489,53.35024757385254,0.0014954812192085,0.0032195494764423,40,results/q1_cardinal_corrected/sigma50/val_images/tv
tv,50.0,270,0.0003795395278614,30.70171148777008,0.0018244499411501,0.0104890904444171,40,results/q1_cardinal_corrected/sigma50/val_images_circle/tv
wavelet,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images/wavelet
wavelet,50.0,0,0.0,0.0,0.0,0.0,40,results/q1_cardinal_corrected/sigma50/val_images_circle/wavelet
wavelet,50.0,90,0.0020910761056649,322.8642417907715,0.0130222636586856,0.0292887360405209,40,results/q1_cardinal_corrected/sigma50/val_images/wavelet
wavelet,50.0,90,0.0028094363414185,227.26092453002929,0.014489130568421,0.0250344769812387,40,results/q1_cardinal_corrected/sigma50/val_images_circle/wavelet
wavelet,50.0,180,0.0033731026046977,520.8104152679443,0.0207843244679032,0.0467518905950358,40,results/q1_cardinal_corrected/sigma50/val_images/wavelet
wavelet,50.0,180,0.0047449421011387,383.8278564453125,0.0240883521185933,0.0388580763109516,40,results/q1_cardinal_corrected/sigma50/val_images_circle/wavelet
wavelet,50.0,270,0.0020690299393899,319.46029167175294,0.0127195535672797,0.0309680366301635,40,results/q1_cardinal_corrected/sigma50/val_images/wavelet
wavelet,50.0,270,0.0027012131460895,218.50653381347652,0.013559146334332,0.0242784607365778,40,results/q1_cardinal_corrected/sigma50/val_images_circle/wavelet
