sigma,dataset,model,group,averaging,num_noise,noise_mask,se_mask,max_images,mean_rel_err,mean_max_elem_rel_err,mean_e1,save_dir
15.0,val_images,bm3d,fourier_rotation,64,4,none,none,10,0.0005442666946096499,0.00071237344695471,4.2360507814676114e-05,results/q1_equivariance_grid/sigma15/val_images/bm3d
15.0,val_images,nlm,fourier_rotation,64,4,none,none,10,0.0010205754630986,0.0013342557630068998,7.593349576582708e-05,results/q1_equivariance_grid/sigma15/val_images/nlm
15.0,val_images_circle,nlm,fourier_rotation,64,4,circle,circle,10,0.0009198412903767301,0.00127277127566994,8.646649363136884e-05,results/q1_equivariance_grid/sigma15/val_images_circle/nlm
15.0,val_images,restormer,fourier_rotation,64,4,none,none,10,0.00638061680899729,0.007605233552854461,0.0001012296733327142,results/q1_equivariance_grid/sigma15/val_images/restormer
15.0,val_images_circle,restormer,fourier_rotation,64,4,circle,circle,10,0.0018169408112692898,0.00223789625624296,0.00010015117451565796,results/q1_equivariance_grid/sigma15/val_images_circle/restormer
15.0,val_images,restormer-rotated-noise-retrained,fourier_rotation,64,4,none,none,10,0.0038391700799419505,0.008312437645902618,0.00035108673271357,results/q1_equivariance_grid/sigma15/val_images/restormer-rotated-noise-retrained
15.0,val_images_circle,restormer-rotated-noise-retrained,fourier_rotation,64,4,circle,circle,10,0.0035219029180351595,0.007373549992866879,0.00038757906386078,results/q1_equivariance_grid/sigma15/val_images_circle/restormer-rotated-noise-retrained
15.0,val_images,tv,fourier_rotation,64,4,none,none,10,0.0009743265890513501,0.0011752539558027501,4.0863786190963424e-05,results/q1_equivariance_grid/sigma15/val_images/tv
15.0,val_images_circle,tv,fourier_rotation,64,4,circle,circle,10,0.0005162241952256701,0.0007476362757356499,4.649287786821575e-05,results/q1_equivariance_grid/sigma15/val_images_circle/tv
15.0,val_images,wavelet,fourier_rotation,64,4,none,none,10,0.02056813082991525,0.023063530462084682,0.0010887133672217802,results/q1_equivariance_grid/sigma15/val_images/wavelet
15.0,val_images_circle,wavelet,fourier_rotation,64,4,circle,circle,10,0.020444578371516718,0.02260884390974059,0.00135363321109377,results/q1_equivariance_grid/sigma15/val_images_circle/wavelet
25.0,val_images,nlm,fourier_rotation,64,4,none,none,10,0.0014767770314040697,0.0018729139070806297,7.999260326448969e-05,results/q1_equivariance_grid/sigma25/val_images/nlm
25.0,val_images_circle,nlm,fourier_rotation,64,4,circle,circle,10,0.0011711592252703702,0.0016955677391574098,9.851113665865858e-05,results/q1_equivariance_grid/sigma25/val_images_circle/nlm
25.0,val_images,restormer,fourier_rotation,64,4,none,none,10,0.016480571288351183,0.02154283953599869,0.00027473300451052,results/q1_equivariance_grid/sigma25/val_images/restormer
25.0,val_images_circle,restormer,fourier_rotation,64,4,circle,circle,10,0.00982588688135956,0.01364759371446618,0.00025045483248343,results/q1_equivariance_grid/sigma25/val_images_circle/restormer
25.0,val_images,tv,fourier_rotation,64,4,none,none,10,0.00148560454994799,0.0024538598632843902,7.81930979604165e-05,results/q1_equivariance_grid/sigma25/val_images/tv
25.0,val_images_circle,tv,fourier_rotation,64,4,circle,circle,10,0.00104914109844922,0.00205992512652017,8.775933178675177e-05,results/q1_equivariance_grid/sigma25/val_images_circle/tv
25.0,val_images,wavelet,fourier_rotation,64,4,none,none,10,0.025996366939945215,0.027508881784402826,0.00129438676480244,results/q1_equivariance_grid/sigma25/val_images/wavelet
25.0,val_images_circle,wavelet,fourier_rotation,64,4,circle,circle,10,0.02640917547092651,0.02837908739229352,0.00172932382325045,results/q1_equivariance_grid/sigma25/val_images_circle/wavelet
50.0,val_images,nlm,fourier_rotation,64,4,none,none,10,0.00267731507168303,0.00319168617582503,9.472996513088966e-05,results/q1_equivariance_grid/sigma50/val_images/nlm
50.0,val_images_circle,nlm,fourier_rotation,64,4,circle,circle,10,0.00154931676579499,0.00227546872250197,0.0001215443869852346,results/q1_equivariance_grid/sigma50/val_images_circle/nlm
50.0,val_images,restormer,fourier_rotation,64,4,none,none,10,0.10092560175035303,0.1217585961820645,0.00292203127274321,results/q1_equivariance_grid/sigma50/val_images/restormer
50.0,val_images_circle,restormer,fourier_rotation,64,4,circle,circle,10,0.08128285830689433,0.10138311735818813,0.0030188792338278697,results/q1_equivariance_grid/sigma50/val_images_circle/restormer
50.0,val_images,tv,fourier_rotation,64,4,none,none,10,0.00398394448200965,0.0045639903764140505,0.00034714091959004996,results/q1_equivariance_grid/sigma50/val_images/tv
50.0,val_images_circle,tv,fourier_rotation,64,4,circle,circle,10,0.00422878892348485,0.00487086936422036,0.0003641327960408699,results/q1_equivariance_grid/sigma50/val_images_circle/tv
50.0,val_images,wavelet,fourier_rotation,64,4,none,none,10,0.03261532873641462,0.03514465344797208,0.0018365210431728,results/q1_equivariance_grid/sigma50/val_images/wavelet
50.0,val_images_circle,wavelet,fourier_rotation,64,4,circle,circle,10,0.033969240804086184,0.03491216353638121,0.00248456486079735,results/q1_equivariance_grid/sigma50/val_images_circle/wavelet
