E_x_EhSE_hx,E_x_SEavg_x,E_x_e1,E_x_EhSE_minus_SEavg,E_x_EhSE_hx_psnr,E_x_SEavg_x_psnr,sigma,dataset,model,group,averaging,num_noise,noise_sigma,noise_mask,se_mask,max_images,save_dir
0.000876238525206,0.00082378688499,4.882621296612115e-05,5.245164021598804e-05,30.573776562975677,30.84185126462873,15.0,val_images,bm3d,fourier_rotation,8,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/bm3d
0.0008927314958774,0.0008260889175826,5.785590324155732e-05,6.664257829480731e-05,30.492791428955645,30.8297320408742,15.0,val_images,bm3d,fourier_rotation,16,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/bm3d
0.0009004086087521,0.0008288026655116,5.9907146089496085e-05,7.160594324050456e-05,30.455603613884332,30.81548860862423,15.0,val_images,bm3d,fourier_rotation,32,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/bm3d
0.0009455875963,0.0008990423076791,5.267272234165276e-05,4.65452886208968e-05,30.2429823326249,30.462198704922766,15.0,val_images_circle,bm3d,fourier_rotation,8,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/bm3d
0.0009566195182793,0.0009013370313872,6.205500348533324e-05,5.528248689215091e-05,30.19260762294758,30.4511278559973,15.0,val_images_circle,bm3d,fourier_rotation,16,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/bm3d
0.0009611614600744,0.000903228847385,6.435785080628463e-05,5.7932612689413886e-05,30.17203651530822,30.4420220033457,15.0,val_images_circle,bm3d,fourier_rotation,32,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/bm3d
0.0012985066093134,0.0012102756804997,8.245019044914147e-05,8.823092881364268e-05,28.865558354986373,29.17115693416652,15.0,val_images,nlm,fourier_rotation,8,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/nlm
0.0013178100318861,0.001213697928502,9.136741881372828e-05,0.000104112103384,28.801471906902933,29.158893892976057,15.0,val_images,nlm,fourier_rotation,16,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/nlm
0.0013264748635705,0.0012164587187061,9.395989042986588e-05,0.0001100161448643,28.77300975395967,29.14902624540241,15.0,val_images,nlm,fourier_rotation,32,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/nlm
0.0013829539486275,0.0013000091282425,9.254207440333225e-05,8.29448203850009e-05,28.59192281344005,28.8605359820744,15.0,val_images_circle,nlm,fourier_rotation,8,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/nlm
0.0013935271862947,0.0013010836942067,0.0001019665642878,9.244349208800286e-05,28.558845542254357,28.85694765880331,15.0,val_images_circle,nlm,fourier_rotation,16,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/nlm
