signal,operator,angle_deg,psnr
astronaut_sigma15,cv2_affine_rotation,0.0,99.0
astronaut_sigma15,cv2_affine_rotation,5.0,34.46930319403879
astronaut_sigma15,cv2_affine_rotation,10.0,34.15959733850806
astronaut_sigma15,cv2_affine_rotation,15.0,33.6338863558542
astronaut_sigma15,cv2_affine_rotation,20.0,33.084653532424376
astronaut_sigma15,cv2_affine_rotation,25.0,32.57018707525579
astronaut_sigma15,cv2_affine_rotation,30.0,32.166899935019046
astronaut_sigma15,cv2_affine_rotation,35.0,31.840036234694416
astronaut_sigma15,cv2_affine_rotation,40.0,31.65689519490115
astronaut_sigma15,cv2_affine_rotation,45.0,31.58689459471761
astronaut_sigma15,cv2_affine_rotation,50.0,31.64172698100101
astronaut_sigma15,cv2_affine_rotation,55.0,31.84986703357193
astronaut_sigma15,cv2_affine_rotation,60.0,32.14993080608098
astronaut_sigma15,cv2_affine_rotation,65.0,32.571306526599514
astronaut_sigma15,cv2_affine_rotation,70.0,33.03306718207556
astronaut_sigma15,cv2_affine_rotation,75.0,33.62462436238247
astronaut_sigma15,cv2_affine_rotation,80.0,34.1061770776406
astronaut_sigma15,cv2_affine_rotation,85.0,34.429325560526166
astronaut_sigma15,cv2_affine_rotation,90.0,32.24730498957605
astronaut_sigma15,cv2_affine_rotation,95.0,34.431654093068616
astronaut_sigma15,cv2_affine_rotation,100.0,34.0780370824464
astronaut_sigma15,cv2_affine_rotation,105.0,33.60089736964169
astronaut_sigma15,cv2_affine_rotation,110.0,33.053336880723215
astronaut_sigma15,cv2_affine_rotation,115.0,32.53689070310353
astronaut_sigma15,cv2_affine_rotation,120.0,32.118422791761105
astronaut_sigma15,cv2_affine_rotation,125.0,31.83066226716251
astronaut_sigma15,cv2_affine_rotation,130.0,31.64432867581977
astronaut_sigma15,cv2_affine_rotation,135.0,31.577453579067218
astronaut_sigma15,cv2_affine_rotation,140.0,31.621776078139035
astronaut_sigma15,cv2_affine_rotation,145.0,31.845471757440073
astronaut_sigma15,cv2_affine_rotation,150.0,32.145664164489595
astronaut_sigma15,cv2_affine_rotation,155.0,32.54597168653538
astronaut_sigma15,cv2_affine_rotation,160.0,33.036807934423216
astronaut_sigma15,cv2_affine_rotation,165.0,33.60842756715998
astronaut_sigma15,cv2_affine_rotation,170.0,34.07874150073353
astronaut_sigma15,cv2_affine_rotation,175.0,34.44467225808737
astronaut_sigma15,cv2_affine_rotation,180.0,28.36078681839745
astronaut_sigma15,cv2_affine_rotation,185.0,34.43850529386049
astronaut_sigma15,cv2_affine_rotation,190.0,34.04024343714627
astronaut_sigma15,cv2_affine_rotation,195.0,33.59934153568261
astronaut_sigma15,cv2_affine_rotation,200.0,33.0554952987323
astronaut_sigma15,cv2_affine_rotation,205.0,32.572830815059945
astronaut_sigma15,cv2_affine_rotation,210.0,32.140571074998675
astronaut_sigma15,cv2_affine_rotation,215.0,31.831077670724607
astronaut_sigma15,cv2_affine_rotation,220.0,31.630989445312153
astronaut_sigma15,cv2_affine_rotation,225.0,31.576964693004534
astronaut_sigma15,cv2_affine_rotation,230.0,31.649731892833593
astronaut_sigma15,cv2_affine_rotation,235.0,31.851830135836508
astronaut_sigma15,cv2_affine_rotation,240.0,32.165318108124985
astronaut_sigma15,cv2_affine_rotation,245.0,32.5737127242385
astronaut_sigma15,cv2_affine_rotation,250.0,33.088845170558486
astronaut_sigma15,cv2_affine_rotation,255.0,33.619163068869284
astronaut_sigma15,cv2_affine_rotation,260.0,34.114900033642755
astronaut_sigma15,cv2_affine_rotation,265.0,34.515353410240145
astronaut_sigma15,cv2_affine_rotation,270.0,30.635617207833267
astronaut_sigma15,cv2_affine_rotation,275.0,34.47434421244637
astronaut_sigma15,cv2_affine_rotation,280.0,34.119810816626256
astronaut_sigma15,cv2_affine_rotation,285.0,33.63611559852065
astronaut_sigma15,cv2_affine_rotation,290.0,33.087317476162795
astronaut_sigma15,cv2_affine_rotation,295.0,32.60440464913969
astronaut_sigma15,cv2_affine_rotation,300.0,32.18824256327386
astronaut_sigma15,cv2_affine_rotation,305.0,31.840050136502157
astronaut_sigma15,cv2_affine_rotation,310.0,31.646752421680194
astronaut_sigma15,cv2_affine_rotation,315.0,31.58739006498701
astronaut_sigma15,cv2_affine_rotation,320.0,31.65936374934165
astronaut_sigma15,cv2_affine_rotation,325.0,31.8560834053533
astronaut_sigma15,cv2_affine_rotation,330.0,32.17013114943826
astronaut_sigma15,cv2_affine_rotation,335.0,32.59796049693708
astronaut_sigma15,cv2_affine_rotation,340.0,33.08527024077647
astronaut_sigma15,cv2_affine_rotation,345.0,33.63539535533216
astronaut_sigma15,cv2_affine_rotation,350.0,34.14128209897402
astronaut_sigma15,cv2_affine_rotation,355.0,34.50068231991472
astronaut_sigma15,cv2_affine_rotation,360.0,99.0
astronaut_sigma15,fourier_rotation,0.0,99.0
astronaut_sigma15,fourier_rotation,5.0,55.053680144846915
astronaut_sigma15,fourier_rotation,10.0,56.129187258650084
astronaut_sigma15,fourier_rotation,15.0,56.04815276740421
astronaut_sigma15,fourier_rotation,20.0,56.813310622276056
astronaut_sigma15,fourier_rotation,25.0,57.43878097894735
astronaut_sigma15,fourier_rotation,30.0,58.37619246765185
astronaut_sigma15,fourier_rotation,35.0,58.05827734870143
astronaut_sigma15,fourier_rotation,40.0,58.90649149835555
astronaut_sigma15,fourier_rotation,45.0,59.17134764343149
astronaut_sigma15,fourier_rotation,50.0,58.96829310349632
astronaut_sigma15,fourier_rotation,55.0,58.59811736590186
astronaut_sigma15,fourier_rotation,60.0,58.69393978849167
astronaut_sigma15,fourier_rotation,65.0,57.83789409328121
astronaut_sigma15,fourier_rotation,70.0,57.02277513163303
astronaut_sigma15,fourier_rotation,75.0,56.70789355086864
astronaut_sigma15,fourier_rotation,80.0,56.09318354287258
astronaut_sigma15,fourier_rotation,85.0,55.316784904683246
astronaut_sigma15,fourier_rotation,90.0,99.0
