signal,operator,angle_deg,psnr
pure_gaussian_noise,cv2_affine_rotation,0.0,99.0
pure_gaussian_noise,cv2_affine_rotation,5.0,22.37131794014924
pure_gaussian_noise,cv2_affine_rotation,10.0,21.923545768448605
pure_gaussian_noise,cv2_affine_rotation,15.0,21.363586861189518
pure_gaussian_noise,cv2_affine_rotation,20.0,20.74030360610284
pure_gaussian_noise,cv2_affine_rotation,25.0,20.20700440335412
pure_gaussian_noise,cv2_affine_rotation,30.0,19.764134839082516
pure_gaussian_noise,cv2_affine_rotation,35.0,19.43292417630175
pure_gaussian_noise,cv2_affine_rotation,40.0,19.239972723632174
pure_gaussian_noise,cv2_affine_rotation,45.0,19.174649730877462
pure_gaussian_noise,cv2_affine_rotation,50.0,19.215506451429338
pure_gaussian_noise,cv2_affine_rotation,55.0,19.443432274134324
pure_gaussian_noise,cv2_affine_rotation,60.0,19.785371797915627
pure_gaussian_noise,cv2_affine_rotation,65.0,20.217369277633228
pure_gaussian_noise,cv2_affine_rotation,70.0,20.742191877009653
pure_gaussian_noise,cv2_affine_rotation,75.0,21.379212646830858
pure_gaussian_noise,cv2_affine_rotation,80.0,21.956256915731785
pure_gaussian_noise,cv2_affine_rotation,85.0,22.376848874941466
pure_gaussian_noise,cv2_affine_rotation,90.0,32.16041976587336
pure_gaussian_noise,cv2_affine_rotation,95.0,22.35123226964094
pure_gaussian_noise,cv2_affine_rotation,100.0,21.91666755754533
pure_gaussian_noise,cv2_affine_rotation,105.0,21.35579057950136
pure_gaussian_noise,cv2_affine_rotation,110.0,20.735879268972997
pure_gaussian_noise,cv2_affine_rotation,115.0,20.211655853391083
pure_gaussian_noise,cv2_affine_rotation,120.0,19.77924977659316
pure_gaussian_noise,cv2_affine_rotation,125.0,19.430209596845103
pure_gaussian_noise,cv2_affine_rotation,130.0,19.246217144185895
pure_gaussian_noise,cv2_affine_rotation,135.0,19.181818190888695
pure_gaussian_noise,cv2_affine_rotation,140.0,19.24071500572737
pure_gaussian_noise,cv2_affine_rotation,145.0,19.440196960821762
pure_gaussian_noise,cv2_affine_rotation,150.0,19.789166133399696
pure_gaussian_noise,cv2_affine_rotation,155.0,20.234092037929017
pure_gaussian_noise,cv2_affine_rotation,160.0,20.738830403928542
pure_gaussian_noise,cv2_affine_rotation,165.0,21.381942885220653
pure_gaussian_noise,cv2_affine_rotation,170.0,21.96330812930121
pure_gaussian_noise,cv2_affine_rotation,175.0,22.371101485406314
pure_gaussian_noise,cv2_affine_rotation,180.0,29.123650754823835
pure_gaussian_noise,cv2_affine_rotation,185.0,22.372320405924647
pure_gaussian_noise,cv2_affine_rotation,190.0,21.907382997687087
pure_gaussian_noise,cv2_affine_rotation,195.0,21.35788928661547
pure_gaussian_noise,cv2_affine_rotation,200.0,20.761485689875556
pure_gaussian_noise,cv2_affine_rotation,205.0,20.223324417895444
pure_gaussian_noise,cv2_affine_rotation,210.0,19.786900379259443
pure_gaussian_noise,cv2_affine_rotation,215.0,19.430155322559187
pure_gaussian_noise,cv2_affine_rotation,220.0,19.25230949724381
